x Desnivel 3,y Desnivel 3,z Desnivel 3,i Desnivel 3,sep ,x Desnivel 2,y Desnivel 2,z Desnivel2,i Desnivel2
1,20,-6,0,,9,0,,
-4,-48,58,0,,1,-71,81,0
-2,-21,49,0,,-3,-10,51,0
-2,1,-3,0,,-4,-2,-6,0
0,-36,60,0,,0,-40,68,0
0,20,16,0,,-5,44,-6,0
-5,-36,29,0,,-3,-63,46,0
-2,-58,65,0,,-4,25,21,0
-3,40,-16,0,,-7,57,-29,0
-3,-63,66,0,,3,-84,81,0
0,-24,56,0,,-7,62,-25,0
-5,17,-7,0,,-6,10,-8,0
2,-50,72,8,,2,-47,73,0
-4,30,4,78,,-6,48,-5,0
-5,-44,40,123,,-3,-53,51,0
-2,11,29,181,,-6,18,20,18
-5,-20,17,262,,-8,53,-31,94
-3,-17,50,330,,1,-74,83,132
-5,5,-5,366,,-9,52,-22,199
-3,-71,68,377,,2,-65,71,273
-4,42,-5,379,,-10,39,-7,344
-5,-51,52,376,,-4,-55,53,368
-4,20,14,,,-7,24,9,378
,366,,,,-4,-36,37,378
-6,-30,28,303,,-3,10,27,373
-2,0,37,235,,-10,33,-13,355
-6,-8,15,160,,-2,-3,37,283
-1,-17,53,90,,-8,35,-10,202
-7,40,-11,5,,-1,-50,64,128
-3,-55,59,0,,-8,3,,
-5,30,5,0,,2,-1,52,
-8,20,-8,0,,-5,-48,55,0
0,-44,70,0,,-4,24,5,0
-5,18,18,0,,-10,8,5,0
-7,-36,32,0,,2,-32,57,0
0,3,32,0,,-2,19,15,0
-7,37,-15,0,,-9,-35,39,0
-3,-58,70,0,,1,7,20,0
-7,40,-8,0,,-5,20,-3,0
-10,1,1,0,,-2,-45,61,0
3,-33,62,0,,3,1,29,0
-4,34,4,0,,-12,-14,23,0
-7,-47,49,0,,-6,-49,59,0
0,-48,73,0,,-1,27,-4,0
-9,37,-17,0,,-7,-45,60,0
0,-60,74,3,,0,-24,52,0
1,2,34,65,,-6,11,2,0
-9,-13,17,112,,-1,-36,57,0
1,-17,48,169,,0,16,10,26
-9,5,2,234,,-7,-35,43,93
-5,-56,59,309,,0,6,23,128
-2,26,,,,-3,28,-9,194
,4,354,,,-4,-51,64,271
-8,-44,48,367,,0,27,-10,339
1,12,15,381,,-6,-54,64,366
-6,27,-11,372,,0,27,-7,376
0,-52,65,372,,-6,-49,53,374
-3,27,-10,336,,-1,22,7,367
-4,-51,66,259,,-2,24,-16,363
-3,29,-9,185,,-2,-56,75,297
-6,-48,61,115,,-2,39,-23,212
0,24,0,44,,-3,-62,78,144
-6,-42,54,0,,-3,43,,
0,-31,49,0,,,-19,53,
-4,7,3,0,,-1,-64,71,0
-6,-34,48,0,,-4,38,-13,0
1,9,11,0,,-2,-59,61,0
-3,7,-4,0,,0,-39,72,0
-3,-39,59,0,,-3,25,-21,0
0,3,22,0,,1,-60,77,0
