x Desnivel 3,y Desnivel 3,z Desnivel 3,i Desnivel 3,sep ,x Desnivel 2,y Desnivel 2,z Desnivel2,i Desnivel2
-3,-59,60,0,,-1,-7,,
3,-50,61,0,,,44,0,
3,-50,61,0,,-5,56,-22,0
0,11,16,0,,-4,-1,1,0
0,11,16,0,,2,-40,64,0
-8,-28,30,0,,-3,41,-6,0
0,-58,60,0,,-5,-58,50,0
-3,31,-8,0,,0,18,14,0
-3,-50,59,0,,-4,47,-24,0
3,-28,49,0,,1,-71,79,0
-7,10,-4,0,,-1,-10,42,0
-4,-45,48,0,,-5,-2,0,0
0,16,9,0,,1,-33,62,0
-5,-32,41,0,,-4,44,-12,0
0,-43,64,0,,-4,-57,59,0
-5,24,-8,0,,-5,31,8,0
-5,-24,28,62,,-7,36,-23,14
0,-6,28,109,,2,-62,79,84
-5,-15,25,163,,-8,44,-24,133
0,-10,36,243,,1,-66,79,186
-7,-10,15,320,,-1,-5,42,266
0,-19,41,363,,-6,-9,7,325
-5,-2,6,376,,-1,-25,55,365
-5,-44,51,382,,-8,10,-9,375
-2,22,9,377,,2,-41,70,377
-6,,,,,-6,32,-19,373
,-38,40,377,,1,-60,78,363
0,10,20,345,,-8,47,-26,302
-7,-23,27,259,,0,-68,82,231
0,-3,37,196,,-1,-2,41,158
-5,35,-7,118,,-8,-5,10,87
-5,-52,64,46,,0,-25,57,15
-4,31,-2,0,,-8,15,-9,0
-6,-48,54,0,,-4,,,
-1,-39,65,0,,-59,59,0,
-7,27,-12,0,,-5,32,9,0
-1,-52,70,0,,-7,32,-14,0
-6,34,-16,0,,0,-57,73,0
-7,-21,22,0,,-7,37,-17,0
-2,-11,42,0,,-8,-26,25,0
-8,-1,6,0,,0,-8,39,0
-3,-54,64,0,,-9,-5,12,0
-6,31,-2,0,,-3,-54,64,0
-6,-48,51,0,,-6,29,-4,0
0,-40,68,0,,-6,-45,54,0
-7,28,-13,0,,1,-32,57,0
-2,-50,73,0,,-8,15,0,0
-2,11,26,0,,-7,-35,49,0
-9,-23,25,37,,-1,14,13,0
0,-8,41,94,,-7,-32,41,24
-7,37,-12,139,,0,-39,61,91
-2,-57,67,208,,-6,18,-5,134
-5,34,-5,285,,-2,-42,64,200
-6,-55,56,348,,-4,23,-9,279
-2,24,7,368,,-3,-53,67,339
-7,,,,,-2,31,-10,370
,-41,41,376,,-6,-58,63,376
0,11,23,376,,-1,35,-6,373
-9,-24,21,368,,-7,-55,54,372
1,-12,42,357,,0,24,8,356
-5,38,-15,281,,-2,46,-28,184
-3,-57,69,210,,-2,46,-28,163
-1,24,8,0,,-5,-24,19,124
-7,23,-15,0,,-2,,,
-6,-41,39,0,,,-71,83,53
-6,-41,39,0,,-4,52,-22,0
5,-53,64,0,,-3,-75,71,0
-7,33,-8,0,,2,-40,69,0
-7,-23,22,0,,-4,30,-21,0
0,-18,34,0,,2,-66,80,0
-3,34,-5,0,,-2,21,16,0
-4,-56,48,0,,-7,-33,24,0
-3,20,2,0,,3,-13,41,0
-8,22,-2,0,,-3,55,-23,0
2,-52,58,0,,-3,-71,70,0
-6,27,-13,0,,-4,42,-6,0
-6,-24,24,0,,-6,31,-23,0
1,-8,34,0,,2,-62,81,0
-5,32,-10,0,,-4,48,-29,0
-2,-50,63,0,,-6,-32,33,0
-4,26,-2,0,,-2,1,38,0
-7,3,6,29,,-6,52,-26,22
3,-32,49,94,,0,-72,75,90
-1,17,5,136,,-7,47,-16,139
-5,-36,48,200,,-1,-64,68,200
0,11,13,276,,-7,39,-4,280
-4,-32,38,339,,-4,-57,52,340
0,4,20,367,,-3,27,11,369
-3,16,,,,-7,-42,37,377
,-3,377,,,-3,13,30,376
-3,-41,58,379,,-8,-22,16,373
-3,25,-3,374,,-1,-73,76,350
-4,-48,56,364,,-7,52,-19,272
-3,27,-1,303,,-3,-67,72,196
-6,-45,53,224,,-6,48,-6,122
-2,25,7,154,,-8,-57,56,49
-7,-38,45,76,,-4,29,10,0
-1,11,20,5,,-8,-40,,
-6,31,-13,0,,38,0,,
-3,-56,69,0,,0,-64,81,0
-5,37,-10,0,,-8,47,-19,0
-7,-6,10,0,,-2,-67,74,0
-2,-25,54,0,,0,-16,47,0
-6,11,-4,0,,-7,1,4,0
-7,-53,55,0,,-7,-60,64,0
-2,25,8,0,,-5,33,-2,0
-7,29,-13,0,,-7,-45,49,0
-1,-52,73,0,,1,-45,65,0
-7,35,-16,0,,-7,27,-10,0
-9,-21,21,0,,-2,-47,67,0
-2,-8,42,0,,-2,4,24,0
-6,-4,10,0,,-7,-17,30,0
-4,-57,68,0,,0,-5,32,0
-6,37,-5,0,,-5,24,-4,0
-5,-53,56,60,,-4,-43,62,61
-4,25,7,109,,0,-12,38,114
-8,25,-11,161,,-7,-9,16,163
0,-51,72,232,,0,-16,45,241
-7,34,-18,310,,-6,-4,6,308
-2,-62,73,358,,-1,-27,56,357
-4,38,-1,,,-4,8,-6,374
7,375,,,,-6,-48,46,380
-3,-61,71,382,,0,19,15,373
-5,38,-10,369,,-7,-35,32,372
-5,-56,57,366,,0,1,33,349
-2,25,3,321,,-5,-17,10,266
-5,-42,47,238,,0,-16,54,202
-2,16,20,174,,-5,6,-7,126
-7,-30,29,90,,-,,,
1,-59,75,25,,6,-67,67,55
-5,37,-17,0,,-4,40,-2,0
-1,-63,71,0,,-4,-59,45,0
-5,39,-7,0,,3,-66,83,0
-7,6,-3,0,,-4,53,-27,0
5,-43,61,0,,0,-81,81,0
-2,25,7,0,,0,-12,46,0
-6,-42,38,0,,-4,1,-4,0
3,-60,64,0,,-3,-80,67,0
-7,39,-13,0,,-1,44,-4,0
1,-60,64,0,,-6,-53,48,0
3,-23,44,0,,2,-71,82,0
-7,6,0,0,,-5,53,-33,0
-3,-53,58,0,,1,-78,84,0
-2,25,2,0,,1,-13,47,0
-7,22,-9,0,,-7,5,0,0
3,-46,65,0,,-2,-70,76,0
0,10,17,0,,-6,44,-9,0
-5,-25,31,66,,-7,23,-18,61
0,-5,27,110,,3,-53,76,112
-6,-14,23,168,,-8,38,-21,168
-1,-43,59,250,,1,-60,80,238
-4,19,-2,321,,-7,42,-24,318
-3,-42,53,364,,0,-67,76,357
-1,17,,,,-6,45,-17,376
3,376,,,,-3,-65,70,378
-6,-38,47,381,,-6,44,-10,375
-1,17,11,376,,-5,-62,59,365
-7,-35,40,375,,-5,36,4,319
-1,10,20,328,,-9,32,-18,236
-8,-25,30,240,,0,-57,78,164
0,0,33,182,,-7,45,-2,
-5,32,-4,105,,2,87,,
-5,-51,63,31,,-1,-66,79,14
-5,32,-6,0,,-8,50,-19,0
-6,-50,56,0,,-3,-68,73,0
0,-32,60,0,,1,-24,58,0
-7,20,-6,0,,-8,13,-6,0
-7,-41,46,0,,0,-45,66,0
-4,14,18,0,,-4,31,6,0
-8,-30,30,0,,-9,-46,43,0
-3,-58,72,0,,0,-57,71,0
-5,40,-14,0,,-5,40,-16,0
-6,-57,67,0,,-3,-59,72,0
-4,35,-8,0,,-2,-7,36,0
-8,9,-3,0,,-9,-7,14,0
0,-36,65,0,,0,-21,47,0
-3,29,7,0,,-3,29,-3,0
-8,-40,46,0,,-7,-44,59,0
-2,-47,70,0,,-1,-27,51,0
-7,33,-15,31,,-8,7,3,24
-2,-57,72,96,,0,-32,55,88
-7,38,-13,144,,-1,12,9,128
-3,-58,69,212,,-6,-34,47,193
-4,35,-10,293,,-2,10,14,272
-5,-58,63,353,,-5,-36,37,336
-2,30,1,36,,0,6,23,364
8,,,,,-3,23,-11,374
-7,21,-12,378,,-3,-54,68,377
0,-51,72,375,,-3,36,-14,369
-6,35,-20,368,,-4,-61,66,357
0,-62,77,349,,-2,38,-8,289
-5,41,-22,266,,-5,-57,59,217
-3,-60,76,197,,-2,33,3,148
-3,40,-16,112,,-5,-49,41,69
-4,-60,66,44,,-2,16,28,0
-4,33,-3,0,,-3,50,-33,
-4,-54,50,0,,,0,,
2,-49,72,0,,0,-81,85,0
-5,33,-19,0,,-5,62,-24,0
2,-65,73,0,,-5,3,-8,0
0,-1,32,0,,2,-47,72,0
-6,-14,11,0,,-5,49,-6,0
-1,-69,64,0,,-5,-64,46,0
-4,39,-6,0,,0,19,21,0
-4,-53,52,0,,-5,63,-32,0
4,-52,66,0,,0,-84,84,0
-6,33,-19,0,,-5,58,-27,0
2,-60,72,0,,-6,13,-12,0
1,0,28,0,,1,-49,75,0
-6,-11,18,0,,-6,40,-27,0
0,-58,70,0,,-4,-52,52,0
-5,33,-9,8,,-5,20,19,0
-6,2,3,63,,-4,-31,25,60
2,-33,53,111,,3,-72,83,112
-6,15,2,164,,-9,51,-24,168
-4,-38,48,240,,1,-67,76,236
-2,9,14,307,,-8,43,-14,316
-5,-30,36,356,,-2,-64,62,360
1,0,20,373,,-5,36,-1,376
-7,-20,28,380,,-5,-51,50,379
0,-5,32,376,,-3,25,15,375
,,,,,-8,-40,32,370
,,,,,-2,10,29,322
-5,20,0,373,,-9,-19,18,236
-2,-44,53,350,,1,-9,48,172
-4,24,0,280,,-5,50,-1,
-4,-42,54,206,,5,92,,
-3,25,7,135,,-5,-65,68,24
-7,-40,47,57,,-5,41,-6,0
0,-38,60,0,,-7,-56,55,0
-7,24,-8,0,,2,-47,73,0
-1,-49,68,0,,-8,35,-16,0
-2,5,32,0,,-2,-61,73,0
-8,-17,19,0,,-3,8,27,0
-3,-56,66,0,,-9,-22,21,0
-4,35,-9,0,,-3,-64,72,0
-7,-56,61,0,,-4,42,-10,0
-3,32,0,0,,-7,-56,63,0
-8,19,-7,0,,-3,29,-1,0
0,-46,66,0,,-8,15,-3,0
-2,17,16,0,,1,-40,63,0
-8,-30,32,0,,-1,17,13,0
-2,-53,73,0,,-10,-29,42,0
-6,38,-14,0,,0,5,19,0
-5,-55,70,0,,-5,20,-5,29
-5,36,-8,0,,-2,-43,62,93
-9,2,5,50,,-4,20,-3,142
1,-32,61,104,,-4,-40,61,208
-4,29,3,149,,-3,19,-7,286
-6,-45,49,220,,-5,-16,18,345
-2,18,13,294,,-1,-15,45,370
-7,-36,36,354,,-4,-5,6,376
0,3,28,3,,-1,-27,55,375
66,,,,,-4,13,-10,368
-9,-18,19,377,,0,-48,70,350
1,-13,44,375,,-3,32,-21,269
-4,40,-15,368,,-3,-61,80,200
-4,-60,66,348,,-3,47,-29,1
-4,33,-5,268,,15,,,
-6,-49,55,200,,-1,-72,83,42
-2,25,7,130,,-3,52,-22,0
-7,-42,41,57,,-4,2,-12,0
0,12,25,0,,0,-42,74,0
-5,35,-23,0,,-3,34,-27,0
0,-64,75,0,,-3,-63,46,0
-3,44,-15,0,,-4,22,24,0
-8,-8,4,0,,-6,-31,15,0
3,-32,58,0,,0,-91,82,0
-2,38,-2,0,,-4,65,-25,0
-6,-58,46,0,,-2,-79,69,0
1,19,16,0,,3,-56,77,0
-6,42,-16,0,,-6,46,-34,0
1,-68,71,0,,2,-77,89,0
1,-11,39,0,,-2,16,23,0
-8,-2,3,0,,-6,-20,21,0
-3,-63,66,0,,0,-15,51,0
-2,37,-5,0,,-8,57,-28,37
-5,-50,55,0,,-1,-73,73,102
3,-48,69,0,,-8,45,-10,157
-7,30,-16,53,,-3,-57,58,224
3,-57,67,106,,-7,28,10,300
-6,33,-8,162,,-5,-45,37,353
-2,-49,62,236,,-2,13,23,373
-6,24,-6,309,,-7,-27,24,378
-5,-4,12,356,,-1,-2,42,375
2,-26,,,,-8,46,-18,369
45,374,,,,-2,-67,69,332
-8,6,4,380,,-7,46,-12,246
0,-29,53,378,,-5,-60,65,174
-7,11,0,374,,-5,39,3,
-6,-32,36,354,,,106,,
-1,7,21,289,,-8,-50,48,31
-7,-23,31,209,,-3,22,16,0
-1,1,31,140,,-9,-33,33,0
-8,-15,23,61,,0,-64,80,0
0,-11,39,0,,-7,47,-18,0
-5,30,-4,0,,-4,-66,70,0
-6,-50,60,0,,0,-21,49,0
0,-25,53,0,,-8,6,0,0
-7,13,-3,0,,-7,-60,63,0
-1,-43,63,0,,-2,33,2,0
-3,20,12,0,,-9,25,-10,0
-5,38,-15,0,,1,-51,68,0
-7,-17,21,0,,-7,33,-14,0
-7,-17,21,0,,-9,-25,32,0
-2,-59,72,0,,0,-4,32,0
-6,38,-10,0,,-9,-9,21,0
-6,-54,64,0,,-5,-48,62,0
-2,-29,59,0,,-4,24,-3,12
-5,17,-6,0,,-4,-43,58,80
-1,-42,67,0,,0,-23,46,126
-3,21,12,7,,-6,1,8,176
-8,-34,38,79,,0,-25,49,250
-2,4,28,121,,-5,2,5,312
-6,34,-14,182,,-6,-39,49,357
-2,-56,71,260,,0,14,10,374
-6,34,-12,333,,-7,-36,40,375
1,-29,55,363,,0,12,21,372
-3,31,-5,377,,-7,-29,25,367
-6,-49,56,379,,-1,-4,38,333
-3,,,,,-5,-11,8,253
,24,7,368,,-4,-62,73,186
-7,-39,39,366,,-1,43,-,
-1,7,24,318,,15,98,,
-5,33,-18,234,,-5,-65,64,32
-1,-55,76,166,,-3,38,0,0
-5,36,-20,77,,-4,-58,44,0
0,-58,71,15,,1,-66,87,0
-4,33,-10,0,,-3,55,-33,0
-3,-58,62,0,,0,-85,85,0
1,-32,65,0,,-1,-12,51,0
-7,18,-13,0,,-5,3,-11,0
4,-54,69,0,,-4,-85,69,0
-1,16,21,0,,-2,51,-3,0
-8,-32,23,0,,-6,-56,45,0
4,-11,39,0,,3,-82,89,0
-5,45,-12,0,,-5,64,-40,0
-2,-64,60,0,,1,-87,89,0
-2,31,0,0,,1,-23,56,0
-7,26,-15,0,,-7,19,-13,0
4,-57,72,0,,2,-52,79,0
1,14,18,0,,-6,42,-4,30
-7,-25,28,0,,-3,-53,46,97
3,-9,38,0,,-5,18,22,138
-6,40,-16,42,,-5,-28,26,207
-1,-61,65,105,,-2,-4,39,286
-5,32,-4,158,,-6,-11,6,344
-3,-47,52,233,,0,-70,73,368
-3,16,9,301,,-6,43,-12,378
-7,20,-5,354,,-2,-59,63,376
1,-47,59,373,,-6,37,1,374
-7,23,-7,379,,-7,-52,48,352
0,-43,60,3,,-3,27,15,283
77,,,,,-8,-37,36,205
-5,24,-2,373,,0,11,30,140
-3,-46,55,348,,,,,
-6,25,-1,273,,,,,
-4,-43,53,197,,-7,45,-20,58
-2,24,7,126,,-2,-65,75,0
-8,13,2,57,,-7,46,-15,0
0,-37,59,0,,-5,-64,69,0
-2,17,13,0,,1,-27,60,0
-8,-35,38,0,,-8,16,-8,0
-2,-8,38,0,,0,-48,68,0
-4,36,-12,0,,-2,28,9,0
-4,36,-12,0,,-11,-41,40,0
-7,-7,7,0,,-1,-58,72,0
-7,-7,7,0,,-6,41,-15,0
-1,-25,52,0,,-3,-61,70,0
-2,37,-3,0,,-5,38,-10,0
-8,-50,45,0,,-10,0,9,0
-4,20,6,0,,0,-28,52,0
-6,31,-14,0,,-1,28,1,0
-11,-56,70,0,,-8,-41,54,0
-7,37,-16,0,,-2,16,10,0
-6,-57,71,0,,-7,16,-2,58
-1,-10,43,0,,-3,-40,59,111
-8,-2,8,64,,-4,17,0,164
-4,-57,66,115,,-3,-38,58,238
-5,33,0,164,,-3,15,-4,312
-6,-48,55,241,,-6,-24,30,357
-4,20,7,306,,-1,-6,29,375
-6,-40,42,360,,-6,-17,19,377
-1,,,,,-1,-11,44,373
,7,23,368,,-5,-5,4,367
-7,-23,25,378,,-1,-29,58,327
0,-7,37,374,,-3,14,-12,242
-5,37,-17,367,,-1,-43,74,172
-2,-60,69,336,,-4,30,-23,86
-5,34,-10,248,,-1,-59,81,15
-5,-50,64,182,,-2,42,-,
-4,28,-1,103,,29,0,,
-5,-47,49,33,,-3,-30,17,0
-2,18,14,0,,-1,-6,52,0
-5,24,-18,0,,-4,-1,-7,0
1,-53,75,0,,-2,-80,69,0
-5,37,-18,0,,-4,48,-5,0
-5,-25,15,0,,-3,33,-25,0
2,-15,47,0,,3,-74,83,0
-5,0,0,0,,-5,64,-32,0
-4,-65,55,0,,1,-89,83,0
-2,33,5,0,,1,-23,53,0
-8,32,-14,0,,-5,16,-15,0
3,-64,71,0,,-3,-77,72,0
-7,44,-21,0,,-4,47,-4,0
-7,-17,17,0,,-6,-52,49,0
2,-19,46,0,,4,-76,91,0
-8,8,0,0,,-7,57,-37,62
-3,-60,64,0,,2,-80,88,112
-4,31,1,5,,-8,56,-25,170
-7,25,-15,77,,0,-71,74,238
3,-55,70,118,,-8,42,-11,315
-6,35,-12,187,,-3,-61,56,360
3,-57,67,262,,-5,30,7,374
-6,32,-9,330,,-10,34,-22,377
-2,-54,58,366,,3,-57,77,374
2,-25,44,378,,-8,41,-22,367
-9,8,3,381,,0,-63,76,320
3,-,,,,-9,47,-19,234
33,56,376,,,-2,-63,71,162
-9,15,-3,370,,-5,,,
1,-39,59,329,,,45,-10,81
-1,9,19,255,,-6,-59,62,10
-6,-25,32,182,,-5,36,1,0
0,4,30,115,,-10,22,-10,0
-9,-18,24,37,,2,-49,73,0
0,-8,36,0,,-8,36,-16,0
-5,28,-5,0,,-10,-34,32,0
-3,-49,61,0,,0,1,32,0
1,-18,50,0,,-5,40,-14,0
-9,6,3,0,,-4,-63,69,0
-7,-49,53,0,,-3,41,-6,0
-1,24,7,0,,-10,7,4,0
-5,19,-6,0,,1,-36,58,0
-1,-47,67,0,,-8,23,-8,0
-7,34,-12,0,,-9,-41,46,0
-10,-26,28,0,,0,12,19,0
-1,-5,35,0,,-5,30,-8,0
-8,-6,12,0,,-4,-49,64,0
-6,-56,68,0,,-5,27,-6,30
-4,38,-4,0,,-8,-13,24,93
-9,-50,56,0,,1,-16,38,138
-3,26,8,0,,-7,-5,18,204
-6,25,-11,70,,-1,-21,42,286
-2,-53,73,118,,-4,-3,9,343
-6,37,-15,181,,-1,-26,49,368
-4,-59,71,259,,-4,4,3,377
-4,36,-14,329,,-7,-40,49,377
-5,-60,69,,,-1,17,10,372
365,,,,,-4,-39,39,357
-2,34,-9,377,,-1,12,22,294
-6,-53,58,376,,-5,-28,28,210
-1,26,3,369,,-2,0,34,153
-6,22,-13,364,,,,,
-1,-50,73,304,,-2,40,-22,65
-4,32,-19,221,,-2,-65,77,0
-2,-53,76,153,,-3,44,-18,0
-4,33,-19,63,,-3,-69,67,0
-2,-55,73,0,,-5,45,-2,0
-4,31,-14,0,,-2,28,-26,0
-2,-57,67,0,,1,-69,84,0
0,-21,57,0,,-4,22,24,0
-4,6,-8,0,,-5,-34,16,0
-2,-58,53,0,,0,-14,51,0
-3,25,11,0,,-5,66,-23,0
-6,-45,32,0,,-3,-80,67,0
3,-64,70,0,,-4,45,-2,0
-6,48,-15,0,,-5,49,-34,0
0,-70,66,0,,2,-81,92,0
2,-30,54,0,,-6,66,-37,0
-7,18,-11,0,,-6,-15,14,0
-3,-57,54,0,,0,-24,58,6
-2,27,10,0,,-6,16,-15,81
-6,-36,38,0,,-2,-73,70,124
-1,2,29,0,,-8,42,-4,187
-6,44,-24,63,,-2,-52,50,264
1,-69,72,113,,-7,18,19,330
-6,43,-10,175,,-5,-32,25,365
-2,-56,60,253,,0,-2,37,377
-5,25,2,317,,-8,-9,10,377
-7,23,-10,362,,0,-18,54,375
3,-52,65,375,,-9,5,-7,367
-8,31,-11,381,,-2,-61,61,316
0,,,,,-7,37,-1,236
,-49,64,376,,-6,-49,53,162
-6,28,-8,369,,-,,,
0,-48,59,327,,4,27,13,90
-6,27,-1,247,,-8,-40,39,16
-4,-42,55,173,,0,12,26,0
-4,23,6,103,,-8,38,-15,0
-9,8,4,38,,0,-58,73,0
1,-32,56,0,,0,-3,43,0
-2,18,12,0,,-10,-8,8,0
-7,-36,41,0,,-6,-61,63,0
-2,12,23,0,,-2,36,-2,0
-7,24,-7,0,,-8,-53,56,0
-2,-51,64,0,,2,-39,63,0
-5,32,-9,0,,-9,27,-9,0
-10,-15,18,0,,0,-53,66,0
0,-14,43,0,,1,8,24,0
-8,5,5,0,,-10,-19,26,0
-7,-53,59,0,,-3,-54,70,0
-3,28,5,0,,-4,35,-8,0
-8,22,-9,0,,-7,-51,60,0
-2,-47,69,0,,1,-24,48,16
-1,15,19,0,,-7,7,7,76
-9,-26,32,0,,0,-34,53,117
-1,-1,36,0,,-1,16,9,175
-6,38,-12,74,,-8,-33,44,253
-5,-58,67,117,,0,6,14,312
-4,36,-6,175,,-7,-30,40,358
-6,-52,58,254,,1,2,20,373
-4,25,3,317,,-2,17,-8,377
-8,-45,47,3,,-4,-44,62,375
64,,,,,-2,25,-10,368
0,13,16,372,,-5,-53,66,328
-4,30,-15,377,,-1,32,-13,245
-2,-54,71,370,,-5,-54,67,174
-6,34,-17,363,,-,,,
-2,-58,69,313,,1,34,-7,94
-3,33,-13,228,,-5,-55,58,24
-5,-50,66,160,,-3,29,4,0
-2,27,-4,77,,-3,24,-24,0
-5,-48,56,10,,0,-58,83,0
-2,19,6,0,,-2,20,25,0
-4,13,-12,0,,-3,-34,20,0
0,-42,70,0,,-3,-9,48,0
-4,24,-15,0,,-3,56,-24,0
-5,-35,26,0,,-3,-81,65,0
-1,-2,37,0,,-3,49,-1,0
-5,-15,8,0,,-4,42,-26,0
-2,-63,59,0,,1,-80,85,0
-3,38,1,0,,-6,65,-37,0
-8,18,-8,0,,-6,-19,10,0
3,-55,66,0,,1,-23,58,0
1,16,17,0,,-6,21,-14,0
-7,-29,26,0,,-3,-76,75,0
2,-5,38,0,,-8,44,-4,48
-6,48,-18,0,,-4,-53,45,106
-1,-67,69,0,,-5,16,26,154
-4,40,-10,38,,-4,-24,20,232
-6,17,-12,102,,-4,-12,49,308
3,-52,70,148,,-5,-1,-3,357
-7,37,-16,225,,0,-75,73,373
3,-63,72,300,,-7,46,-10,379
-7,40,-17,358,,-3,-58,59,375
0,-64,67,375,,-7,31,7,372
-5,36,-9,381,,-5,-46,38,331
-2,-,,,,-3,16,24,255
51,59,378,,,-9,-26,28,178
-4,25,3,375,,0,1,,
-8,17,-8,353,,,39,117,
1,-42,65,280,,-8,44,-16,37
-7,26,-11,194,,-2,-62,68,0
0,-45,67,124,,-6,40,-7,0
-7,29,-7,46,,-5,-56,63,0
-1,-48,63,0,,2,-31,62,0
0,-5,35,0,,-10,18,-8,0
-8,-10,17,0,,1,-48,66,0
0,-15,47,0,,0,20,16,0
-5,30,-2,0,,-11,-34,35,0
-5,-51,56,0,,-1,-55,68,0
-3,27,5,0,,-7,38,-12,0
-8,14,-3,0,,-3,-59,64,0
0,-42,63,0,,-5,36,-6,0
0,21,14,0,,-10,6,6,0
-8,-32,35,0,,0,-32,58,0
-3,-54,69,0,,-1,27,4,0
-7,38,-14,0,,-9,-40,46,0
-5,-56,69,0,,0,-43,62,7
-1,-15,47,0,,-6,24,-6,75
-8,6,5,0,,-3,-47,62,120
0,-33,61,0,,-4,24,-4,183
-4,31,1,43,,-5,-45,60,261
-7,-46,50,103,,-3,19,-2,327
-2,18,17,151,,-7,-10,20,363
-7,-31,34,230,,0,-19,40,377
-2,-58,72,308,,-5,-3,10,375
-5,36,-16,362,,0,-23,49,370
-4,-61,71,373,,-4,3,-1,364
-3,36,-11,378,,-1,-35,60,315
,,,,,-1,17,-11,230
,,,,,-3,-43,70,160
-5,-53,63,374,,-2,27,-17,73
-5,28,-2,367,,-5,-34,33,2
-4,-46,51,322,,-1,,,
-3,17,9,247,,,3,30,0
-5,-32,43,177,,-3,-23,16,0
-1,7,19,110,,-3,-62,75,0
-5,-25,30,30,,-3,44,-16,0
0,-4,32,0,,-3,-69,63,0
-5,23,-12,0,,-2,-39,66,0
-1,-48,67,0,,-1,25,-21,0
-1,-8,43,0,,1,-65,78,0
-5,-10,4,0,,0,21,26,0
2,-27,56,0,,-6,-25,15,0
-2,27,3,0,,1,-22,52,0
-6,-50,41,0,,-3,58,-20,0
2,-47,63,0,,-4,-72,67,0
-6,34,-12,0,,-3,43,0,0
2,-64,65,0,,-7,49,-31,0
3,-13,41,0,,2,-77,90,0
-3,35,-2,0,,-2,10,28,58
-8,24,-12,0,,-5,-19,13,113
-8,24,-12,0,,-1,-20,57,169
-5,-50,48,0,,-6,11,-9,242
-1,18,15,21,,1,-46,73,312
-7,38,-23,93,,-6,30,-24,360
2,-67,76,130,,2,-61,81,374
-6,46,-17,207,,-8,46,-28,379
1,-66,69,281,,2,-66,82,375
-5,38,-8,343,,-2,1,36,370
-5,-57,54,368,,-8,-14,11,327
-2,24,6,378,,-2,-15,52,245
-8,31,-,,,-8,4,0,182
13,377,,,,2,-30,63,115
2,-53,69,375,,-10,17,-8,31
-7,33,-15,358,,-7,-50,,
-1,-54,67,289,,51,0,,
-5,33,-10,202,,-4,25,12,0
-3,-49,63,128,,-7,-38,38,0
-5,29,2,56,,1,-51,71,0
-5,-46,52,0,,-7,35,-13,0
2,-32,55,0,,-4,-59,68,0
-8,15,-1,0,,-5,37,-11,0
1,-38,64,0,,-10,-8,10,0
-2,16,19,0,,3,-22,52,0
-9,-32,33,0,,-10,11,0,0
0,3,27,0,,-8,-50,52,0
-4,30,-9,0,,-2,23,9,0
-9,-20,22,0,,-8,26,-10,0
2,-8,42,0,,-1,-50,68,0
-11,-1,9,0,,-5,34,-9,0
-8,-56,59,0,,-10,-19,28,0
-1,32,0,0,,0,-9,36,30
-8,17,-5,0,,-7,-7,16,92
-2,-43,69,0,,-5,-52,61,136
-6,33,-13,0,,-1,24,2,204
-11,-33,37,0,,-7,-41,51,280
0,5,29,31,,0,13,7,334
-8,-16,21,100,,-6,-37,47,364
0,-14,47,147,,1,8,12,376
-7,4,2,205,,-4,15,-3,376
-7,-58,63,283,,-3,-40,60,373
-2,30,-1,342,,-3,19,-9,363
-8,-49,54,367,,-4,-47,65,306
-1,18,12,378,,-1,28,-12,223
-8,-,,,,-5,-50,68,153
33,37,373,,,-1,30,-13,65
-1,2,27,368,,-3,-55,66,0
-4,34,-16,354,,,,,
-3,-57,71,282,,,,,
-4,34,-13,202,,-2,30,-7,0
-4,-50,66,133,,-3,2,-4,0
-2,25,-5,49,,-1,-32,67,0
-4,-44,57,0,,-3,31,2,0
-2,16,4,0,,-3,-52,42,0
-5,8,-5,0,,-1,-57,76,0
-1,-33,62,0,,0,40,-24,0
-2,14,14,0,,-1,-72,74,0
-3,-36,35,0,,0,-8,47,0
-3,4,28,0,,-4,5,-6,0
-3,25,-10,0,,-3,-74,61,0
-2,-54,49,0,,-3,41,0,0
5,-41,52,0,,-5,-51,41,0
5,-41,52,0,,1,-74,87,0
-1,22,9,0,,-6,62,-33,0
-1,22,9,0,,1,-83,87,0
-8,-40,33,0,,0,-22,55,38
4,-58,72,0,,-5,14,-15,105
-6,42,-18,0,,1,-50,79,147
-4,-64,69,0,,-6,40,-30,224
1,-16,46,54,,3,-70,88,294
-6,2,-2,109,,-7,52,-33,355
1,-38,60,149,,0,-76,85,369
-7,24,-12,229,,-2,-6,44,379
4,-56,71,301,,-7,-3,4,375
-6,39,-21,3,,1,-28,63,374
60,,,,,-10,16,-13,345
2,-66,72,374,,1,-44,72,273
1,-4,34,380,,-8,31,-18,189
-7,-5,13,376,,4,-,,
1,-25,51,375,,51,76,122,
-9,11,-4,353,,-10,37,-15,34
1,-38,63,282,,0,-57,70,0
-7,23,-11,197,,0,-1,36,0
1,-42,69,127,,-9,-13,15,0
-2,12,22,50,,-1,-56,67,0
-7,-27,28,0,,-6,35,-4,0
-1,1,31,0,,-7,-55,56,0
-8,28,-7,0,,1,-33,57,0
0,-48,63,0,,-9,16,-5,0
0,-9,42,0,,2,-44,64,0
-9,-7,11,0,,0,19,18,0
-4,-52,56,0,,-12,-31,32,0
-2,27,2,0,,-1,-54,65,0
-8,-46,51,0,,-6,35,-10,0
1,-33,59,0,,-3,-55,67,0
-9,22,-6,0,,-3,36,-5,0
0,-49,64,0,,-10,4,7,0
