2©)‚b’ŠbÂ‚j
1,-11,40,58
2,-7,17,57
7,-26,43,46
-4,8,16,33
5,-25,39,8
4,-17,45,0
-1,4,9,0
4,-26,36,0
0,5,26,0
-2,10,5,0

6,-30,55,0
0,-2,36,0
1,-15,21,0
7,-37,56,0
0,15,12,0
2,-5,13,0
4,-24,52,0
1,13,17,0
4,-33,41,3
3,-36,59,0
1,19,0,0
1,-20,24,0
-2,-7,40,10
1,-5,9,33
3,-40,53,42
-2,19,13,56
1,-31,39,63
1,-27,59,82
1,13,1,80
2,-36,61,89
-2,0,36,91
4,-16,23,105
-1,-23,58,74
-1,18,9,63
-1,18,9,68
2,8,0,51
2,8,0,51
4,-29,37,48
-5,9,16,37
0,-21,19,9
1,-32,55,0
-3,13,-3,3
0,-36,50,0
-4,-6,51,0
-1,1,5,0

4,-39,46,0
-2,24,17,0
-1,14,-6,0
1,-37,68,0
-4,14,35,0
3,-24,18,0
-2,-1,50,0
-1,32,-4,0
5,-48,56,0
-1,-18,61,1
0,13,-5,1
3,-38,43,0
-4,21,22,21
3,-23,24,34
-5,2,40,46
-2,29,-4,73
5,-38,57,74
-3,23,7,85
2,5,3,84
6,-32,44,86
-4,9,22,97
7,-24,37,101
-2,2,28,98
1,8,6,92
7,-29,51,73
-1,-5,34,61
1,-12,25,54
0,-7,35,44
-3,9,11,19
6,-26,45,0
-3,10,14,1
-1,-4,15,0
2,-16,48,0
-1,10,15,0
5,-27,40,0
5,-24,54,0
-1,6,5,0

3,-27,34,0
0,-1,34,0
1,13,4,0
6,-41,56,0
2,-9,43,0
1,-8,15,0
6,-43,54,7
2,20,12,0
0,10,0,0
0,-38,61,0
-1,12,26,25
2,-22,24,37
-3,-4,46,64
1,26,-3,62
2,-42,55,76
-1,23,10,87
1,4,1,86
0,-31,62,91
-1,14,23,98
3,-31,36,103
-3,5,33,102
2,-17,22,91
-4,-11,45,58
0,24,1,58
3,-38,50,50
-3,19,16,34
3,13,0,8
-3,-28,59,0
-4,12,30,1
2,-20,21,0
-5,4,41,0
0,21,5,0

3,-36,54,0
-4,-7,48,0
-1,24,6,0
4,-40,50,0
-2,24,18,0
3,10,-2,0
0,-32,67,0
-2,17,29,0
2,-26,23,1
3,-43,66,0
0,32,-5,0
1,-8,9,0
-5,-13,53,13
1,9,-5,38
4,-38,45,46
-5,20,19,55
1,23,-7,69
2,-36,64,81
0,23,-3,88
4,-11,17,91
-3,-11,47,99
5,-3,14,102
0,-19,51,104
2,2,9,100
8,-27,40,69
-3,4,24,62
1,5,10,57
6,-24,48,41
0,8,8,32
4,-15,26,0
6,-25,48,0
-4,7,11,0
3,-13,23,0
1,-5,36,0
0,-10,19,0
8,-28,49,0
-2,9,13,0
-1
,-7,14,0
6,-22,54,0
-1,9,20,0
3,-32,39,0
7,-33,56,0
0,14,3,0
2,-26,31,1
0,-4,39,0
0,27,0,0
5,-47,55,1
-1,-22,54,21
0,11,-4,40
1,-37,70,44
-2,15,27,72
0,-24,23,73
-3,0,45,85
0,-11,10,88
4,-47,59,92
-1,26,7,97
3,-46,52,103
-1,-32,63,91
3,19,-6,82
2,-45,67,63
2,29,-9,60
2,-14,18,48
-8,-11,50,29
2,4,0,10
1,-38,47,0
-4,21,17,1
0,13,-5,0
-3,-26,62,0
-3,13,30,0
3,-22,24,0
-3,7,35,0
-2,1
8,0,0
4,-40,61,0
-2,-2,49,0
2,-8,7,0
2,-43,54,0
-1,27,7,0
0,5,-4,3
2,-42,45,0
-2,24,22,0
2,-29,28,1
2,-43,66,12
0,35,-10,36
3,-46,62,45
-5,-12,53,61
1,8,-1,70
-1,-28,63,87
1,17,-5,89
5,-25,33,93
-3,2,33,99
2,18,2,106
4,-35,56,108
0,15,7,91
5,-8,16,80
0,-16,45,58
2,0,15,56
8,-25,43,42
-4,5,17,32
1,2,11,4
3,-18,46,0
-3,1,24,0
6,-17,33,0
4,-20,49,0
-4,3
,10,0
7,-23,49,0
0,-4,32,0
2,-18,27,0
8,-30,53,0
-2,10,11,0
2,-12,18,0
5,-16,48,0
0,14,16,0
5,-38,45,0
0,14,21,0
0,18,-1,0
2,-27,28,2
-2,1,38,21
1,-10,12,48
4,-47,59,45
0,27,7,61
3,-39,42,69
1,-32,66,82
0,19,-7,86
4,-45,67,91
-2,3,42,99
3,-17,17,106
-3,-12,51,92
2,2,5,92
3,-48,54,68
-3,24,13,63
2,23,-8,45
0,-45,70,42
2,32,-9,18
1,-10,11,4
-5,-11,55,1
1,4,0,0
2,-34,47,0
-4,-19,61,0
-1,9,-1,0
-1,-24,58,0
-4,12
,27,0
3,-26,30,0
3,-29,63,0
1,18,0,0
1,-23,21,0
0,3,44,0
-2,27,-2,1
5,-45,58,0
0,-11,56,0
0,7,-2,1
4,-43,46,10
-3,28,16,36
1,-31,31,48
-3,10,35,63
0,34,-11,64
4,-46,64,85
-2,30,0,88
3,3,3,87
1,-27,61,90
-2,17,18,108
5,-31,39,97
0,6,27,88
1,16,0,80
5,-36,58,70
0,15,4,58
4,-8,21,49
-3,-13,40,33
2,-1,14,4
6,-25,43,0
-4,5,16,0
-3,2,19,0
-2,-1,13,0
-2,-1,13,0
5,-19,39,0
4,-18,48,0
-1
,-2,14,0
4,-24,38,0
-1,1,29,0
1,5,8,0
6,-32,55,0
2,-2,38,0
2,-18,21,0
6,-41,55,0
0,23,7,0
0,2,6,0
5,-42,45,5
0,20,19,24
1,-31,30,39
1,-44,71,52
0,31,-11,64
4,-48,62,76
-3,-12,59,85
1,1,-3,89
0,-30,67,94
3,17,-6,102
3,-40,35,101
-2,14,33,92
0,-23,22,77
-5,-10,48,64
1,37,-7,58
3,-49,57,41
-4,27,13,26
2,24,-14,1
-2,-39,70,0
-1,27,-10,0
3,-11,12,0
-6,-7,5
1,0
2,-2,6,0
4,-30,48,0
-4,15,15,0
0,-2,7,0
0,-15,56,0
-3,16,21,0
3,-33,38,0
4,-24,58,0
-1,14,-4,0
1,-29,29,0
-1,10,37,0
0,-15,16,0
2,-45,59,15
-3,35,-2,41
4,-43,50,52
0,-26,64,64
-1,20,-7,73
4,-39,68,84
0,28,-10,91
3,-16,19,92
-2,-10,48,98
3,-3,11,103
0,-21,53,97
0,18,11,94
6,-33,43,60
-3,7,24,55
0,14,4,52
5,-29,51,0
-1,-9,36,0
-1,-9,36,0
-4,9,12,0
-4,9,12,0
2,-3,20,0
-8,-15,32,0
-2,-6,19,0
9,-22,46,0
-6,-2
,14,0
8,-26,44,0
4,-17,48,0
1,-4,11,0
4,-30,40,0
0,7,26,0
0,7,6,0
3,-29,32,1
1,2,33,0
0,22,1,0
0,-16,17,1
-1,-13,50,27
0,5,0,41
4,-44,48,46
-1,22,20,67
0,-32,28,72
3,-44,71,84
1,29,-8,90
4,-52,65,91
-1,-10,58,102
2,-2,1,106
-2,-29,68,98
2,20,-8,91
1,-44,40,57
-3,15,28,55
0,-20,20,43
-8,-11,53,27
2,42,-10,5
1,-45,54,0
-4,23,15,0
2,24,-14,0
-2,-35,70,0
-6,5,38,0
5,-12,16,0
-5,-5,45
,0
-3,13,7,0
5,-29,53,0
-3,-6,49,0
2,-9,11,0
5,-32,47,0
-3,19,11,3
0,-3,5,0
2,-20,58,0
-3,23,18,0
2,-33,32,3
2,-35,62,28
-1,30,-8,45
3,-43,63,55
0,33,-2,61
-1,1,6,70
-2,-22,59,88
1,14,-6,88
4,-34,39,94
-4,9,30,104
4,-22,25,99
5,-40,60,99
1,20,2,85
7,-39,55,60
0,-16,46,48
1,5,11,46
7,-29,45,38
-3,8,17,5
6,-19,35,0
3,-26,50,0
0,8,11,0
5,-10,29,0
-2,-9,
30,0
-2,3,14,0
6,-22,45,0
-1,-11,35,0
3,-14,27,0
0,-9,37,0
0,4,15,0
1,-13,22,0
3,-13,46,0
0,-7,14,0
5,-35,43,0
0,15,20,0
-1,10,4,1
2,-39,59,5
0,8,34,27
0,-18,15,44
3,-47,62,53
0,31,0,70
3,-46,51,77
1,-28,70,85
1,15,-12,87
5,-44,75,94
-1,13,39,101
0,-27,17,104
-2,-1,51,90
0,-6,4,76
4,-60,62,60
0,38,4,53
1,-45,44,41
-3,-51,77,25
3,43,-22,1
1,-55,73,0
-8,-12,56,0
3,9,-6,0
3,-40,54,0
-6,20,18,0
5,-23,31,0
0,-32,
62,0
-1,12,1,0
5,-16,25,0
-5,1,39,0
0,11,6,0
6,-29,54,0
-1,0,41,7
0,-13,16,0
4,-36,53,0
-3,26,6,0
0,-1,4,3
0,-20,57,22
-3,27,15,46
1,-34,35,51
-2,17,28,68
0,28,-8,70
5,-44,65,80
0,29,-4,86
0,-5,9,93
0,-20,56,101
3,8,3,106
5,-37,44,99
0,13,22,88
0,16,0,69
4,-39,60,55
0,20,2,52
3,-10,23,45
-4,-14,40,16
3,3,12,3
6,-27,43,0
-3,4,19,2
3,6,13,0
4,-16,37,0

-3,-4,24,0
7,-13,34,0
3,-19,43,0
0,-5,19,0
7,-16,36,0
-1,-5,28,0
0,-2,14,0
7,-24,48,0
1,-2,35,0
2,-20,25,0
5,-33,50,0
-2,17,11,0
4,-38,43,3
1,-22,52,30
0,10,0,42
3,-35,34,54
-2,11,33,69
0,-20,13,78
-2,-6,56,87
0,30,1,91
4,-50,54,93
0,-24,69,105
2,11,-8,105
1,-40,72,91
3,31,-10,78
3,-60,73,62
-3,1,44,53
1,-2,4,48
2,-60,65,34
0,40,3,6
2,27,-18,0
-3,-48,80,2
1,39,-21,0
3,-11,13,0
-7,-11,57,0
4,6,-4,0
4,-34,47,0
-3,-23,60,0
1,7,2,0
7,-25,35,0
-5,8,29,0
-1,6,5,0
5,-22,54,0
-4,8,29,0
2,-24,27,0
6,-2
8,55,0
-4,20,2,0
0,-18,19,14
0,0,43,33
-1,-3,6,42
2,-41,51,60
-1,28,11,70
2,-35,41,82
3,-33,65,85
0,24,-7,89
6,-44,66,98
-1,-2,43,103
2,-9,15,100
2,-16,50,91
1,3,7,81
6,-38,49,60
0,13,18,43
0,16,2,43
3,-37,55,30
1,20,1,1
3,-9,24,0
4,-36,54,0
0,14,10,0
3,1,16,0
0,-
21,42,0
-2,4,18,0
6,-19,40,0
1,-22,43,0
2,-4,20,0
8,-18,40,0
-1,-3,23,0
5,-22,37,0
5,-20,48,0
0,-1,14,5
4,-24,32,0
0,3,29,0
-1,13,6,1
3,-36,52,12
0,-5,43,39
0,-6,9,46
3,-42,51,57
0,24,12,63
1,-37,38,79
3,-35,72,86
0,22,-11,89
4,-46,71,94
1,30,-4,102
1,-15,6,93
-1,-15,62,82
0,7,-4,80
2,-53,49,66
-2,29,18,52
0,-35,30,39
0,-60,77,20
3,48,-17,0
1,-56,65,0
-8,-29,70,0
4,27,-18,0
-3,-44,77,0
-6,6,37,0
5,-9,12,0
1,
-40,61,0
-4,-16,55,0
-3,9,18,0
-3,9,18,0
2,-2,8,0
6,-24,39,0
0,-13,48,2
-1,-2,8,1
6,-28,39,0
-5,15,24,1
2,-28,30,12
3,-25,53,33
-2,19,-2,52
4,-36,59,50
-2,29,1,69
-2,-8,11,82
0,-13,51,87
-1,5,2,88
6,-39,45,98
-1,16,23,103
4,-29,33,102
5,-39,61,84
0,22,-1,69
6,-43,59,53
-1,23,6,49
0,1,11,41
0,-24,48,22
-1,15,14,1
5,-24,39,0
2,-33,54,0
1,17,7,0
3,-10,26,0
-2,-13,35,0
5,-5,24,0
5,-2
5,46,0
-2,0,20,0
5,-5,24,0
1,-17,38,0
0,-1,19,0
6,-23,42,0
3,-16,45,0
2,-7,16,0
4,-25,39,0
-2,8,23,0
0,4,8,2
3,-30,54,18
0,8,32,34
1,-21,20,56
-2,-3,47,57
0,26,-1,64
4,-44,55,81
0,25,10,87
0,5,-11,88
3,-35,75,104
2,21,-12,105
1,-36,25,105
0,10,44,82
-2,-19,10,58
-3,-15,57,58
0,13,-5,52
1,-55,55,32
-2,31,15,6
0,-28,25,0
-1,-59,80,1
1,45,-16,1
4,-28,33,0
-4,-40,69,0
-4,-40,69,0
-6,
1,37,0
-6,1,37,0
3,24,2,0
0,-33,56,0
-4,-5,48,0
2,-13,9,0
7,-26,49,3
-4,10,13,0
7,-26,45,0
-1,-8,46,0
0,-2,8,5
4,-30,40,25
-5,21,19,45
-2,7,2,46
3,-25,57,57
-2,19,0,76
0,-22,27,84
-3,2,38,85
0,-12,15,93
7,-40,57,101
-1,21,10,104
5,-38,47,93
0,15,19,82
0,11,4,72
5,-35,57,50
0,5,28,54
3,-16,27,34
-2,-8,36,10
0,22,5,0
5,-34,48,0
-2,-23,49,0
2,10,9,0
4,-
22,37,0
-3,0,26,0
1,9,11,0
2,-29,48,0
-1,-11,34,0
8,-11,31,0
-1,-13,34,0
1,0,17,0
6,-23,45,0
1,-12,38,3
3,-12,22,0
5,-25,43,0
-2,8,16,0
3,-29,39,14
2,-16,48,39
-1,3,5,42
2,-32,36,58
-1,12,30,73
0,-24,21,81
-1,0,48,87
0,23,-3,90
6,-47,61,97
0,28,8,102
1,0,-5,97
2,-30,70,99
1,29,23,81
-1,-43,33,61
-2,15,35,57
3,43,-14,41
2,-63,71,26
1,49,-8,1
1,19,-13,0
-4,-47,79,1
2,44,-23,0
1,-21,23,0
-7,-7,52,0
0,41,-12,0
3
,-46,56,0
-5,20,16,0
5,17,-5,0
-1,-33,65,0
-5,6,32,0
5,-18,24,0
5,-29,57,0
-2,12,5,2
3,-14,21,1
-5,1,40,0
1,-11,13,12
4,-30,49,32
-4,21,9,48
4,-32,46,65
1,-11,52,70
-4,6,3,81
4,-32,41,89
-1,15,22,90
3,-27,32,99
0,3,37,102
0,20,3,99
5,-40,57,92
3,-8,44,73
0,-5,12,62
3,-22,51,58
0,17,15,46
4,-29,40,27
-2,7,25,2
0,21,2,1
2,-15,26,1
-3,-10,38,0
1,0,17,0
3,-31,46,0
-2,8,17,0
4,5,14,0

4,-22,35,0
-1,-4,28,0
6,-16,35,0
1,-24,43,0
3,0,16,0
5,-16,32,0
-1,-9,34,4
1,-2,16,0
4,-21,43,1
-1,-6,33,0
2,-14,20,18
0,-7,43,38
-2,12,13,52
1,-32,44,62
0,16,14,75
0,2,0,80
2,-25,64,87
-1,12,28,90
1,-30,27,99
0,5,44,104
0,22,-4,103
4,-47,62,101
2,31,5,77
-1,-6,3,69
0,-28,63,60
0,23,-8,43
0,-40,37,28
-4,13,33,0
0,-9,10,1
1,-60,68,0
-1,42,-3,0
4,23,-1
3,0
-4,-45,78,0
2,38,-18,0
3,-16,14,0
-6,-12,55,0
7,3,2,0
5,-38,53,0
-5,-22,62,0
1,8,-1,0
5,-25,37,0
-6,8,25,0
0,8,2,0
3,-24,56,0
-6,7,32,1
2,-18,21,20
5,-25,52,37
-3,16,3,46
4,-30,54,54
0,-2,45,76
-3,-5,11,85
0,-13,48,89
-1,18,13,88
7,-33,44,99
-1,12,25,102
3,-27,31,102
2,4,32,77
-1,17,3,61
6,-40,57,56
1,-9,41,50
0,-1,12,31
1,-22,47,7
0,18,13,0
4,-29,39,1
1,-34,56,0
0,20,4,0
1,-13,24,0
0,-11,38,0
0,15,11,0

4,-32,47,0
2,-22,45,0
5,0,17,0
5,-26,41,0
1,0,22,0
3,0,17,0
3,-25,48,0
0,-3,26,0
3,-19,30,0
3,-22,47,0
1,4,10,2
1,-17,25,26
0,-1,36,44
-1,8,9,54
2,-28,53,62
0,15,5,74
