LC!Ibš’j
3,3,29
3,3,29
4,2,30
4,2,30
2,1,33
2,1,33
2,2,29
2,2,29
1,2,31
1,2,31
0,1,32
0,1,32
0,1,29
0,0,28
0,0,28
0,-1,29
0,-1,29
-2,-2,26
-2,-2,26
-3,-3,30
-2,-4,30
-2,-4,30
-2,-3,29
-3,-4,30
-3,-4,30
-1,-2,30
-1,-1,31
-1,-1,31
0,-1,32
0,-1,32
1,-2,33
1,-2,32
1,-2,32
1,0,33
1,0,33
3,-3,36
3,-3,36
3,0,34
3,0,34
3,-1,37
3,-1,37
5,-2,35
4,0,33
4,0,33
5,2,35
5,2,35
4,3,32
4,3,32
5,3,33
5,3,33
3,6,34
3,6,34
3,5,32
3,5,32
4,4,34
4,4,34
0,6,29
0,6,29
0,4,31
0,4,31
-1,5,27
-1,5,27
-2,5,28
-3,3,27
-3,3,27
-6,4,28
-6,4,28
-3,0,32
-3,0,29
-3,0,29
-4,0,26
-4,0,26
-3,-1,29
-2,-2,31
-2,-2,31
-1,-1,32
-1,-1,32
-1,-1,32
0,0,33
0,0,33
3,-1,35
3,-1,35
1,0,34
1,
0,34
1,0,36
1,0,36
3,-1,35
3,0,36
3,0,36
4,1,35
4,1,35
3,2,36
3,2,36
4,3,35
4,3,35
5,5,35
5,5,35
4,4,31
4,4,31
6,4,34
6,4,34
2,5,29
2,5,29
2,4,32
2,4,32
1,4,28
1,4,28
0,3,31
0,3,31
-2,5,32
-2,5,32
-2,2,29
-4,1,30
-4,1,30
-3,0,32
-3,0,32
-3,-2,31
-3,-2,28
-3,-2,28
-6,0,29
-6,0,29
-3,-2,35
-1,-3,29
-1,-3,29
-1,-3,28
0,-2,31
0,-2,31
0,0,29
0,0,29
2,-1,32
2,-1,32
3,0,27
3,0,27
3,-3,33
4,-5,34
4,-5,34
5,-4,35
5,-4,35
7,-3,39
7,-3,39
6,-3,37
4,0,36
4,0,36
6,0,34
6,0,34
4,3,35
4,3,35
6,1,32
6,1,32
3,3,32
3,3,32
4,3,30
4,3,30
2,4,29
2,4,29
