šL©‚b‚j
-2,-29,63,0
1,23,-8,0
1,-43,66,0
-5,3,42,0
4,-11,15,0
2,-43,58,0
1,25,8,0
1,2,3,0

4,-39,46,0
-3,19,18,1
4,-28,36,0
0,-33,62,0
0,25,-4,15
1,-11,17,42
-6,-6,43,54
2,0,9,65
3,-27,49,68
-5,13,17,84
6,-21,36,88
0,-18,48,90
-2,3,10,99
3,-21,49,103
-3,3,32,100
3,-19,27,85
0,2,33,79
-3,10,11,60
6,-32,49,50
-3,19,10,44
0,-3,14,20
1,-20,48,5
0,13,4,0
2,-30,35,0
-2,8,30,0
0,25,-1,0
6,-40,56,0
-1,-13,46,0
3,0,10,0
6,-38,46,0
-1,11,22,0
4,10,6,0
3,-35,54,0
0,0,33,0
6,-19
,27,0
6,-37,52,0
2,13,12,0
2,-6,18,2
-3,-16,41,1
0,11,14,27
5,-27,40,39
-3,4,21,54
4,-19,35,68
0,-22,45,74
0,3,13,87
6,-17,34,88
-2,-7,29,90
5,-16,35,104
-2,-6,31,109
0,-2,11,97
6,-21,49,81
-3,2,11,55
0,-19,24,49
1,-5,38,49
-3,-6,18,36
2,-36,45,9
0,21,14,1
-1,12,5,0
0,-34,57,0
-3,9,30,0
0,-13,20,0
0,-45,60,0
0,30,3,0
1,6,-1,0
0,-31,66,0
-3,17,24,0
3,-28,30,0
0,-40,64,0
2,26,-2,0

3,-44,58,2
-4,-12,49,0
1,5,6,0
3,-37,49,0
-4,21,15,5
0,20,-5,30
-1,-32,61,48
0,22,-3,60
4,-8,19,70
-3,-8,44,76
3,0,12,88
5,-25,44,90
-4,7,19,94
1,0,13,104
1,-16,48,102
1,0,14,102
5,-22,33,88
-2,5,27,64
3,-22,30,56
5,-25,47,45
-1,15,8,38
5,-34,49,8
0,-4,40,1
0,-2,10,0
3,-37,46,0
0,19,17,0
0,14,0,0
4,-36,60,0
-3,3,33,0
4,-16,21,0
6,-40,56,0
-1,17,12,0
6,-3,11,0
2,-25,50,0
0,8,20,0
7,-28,38,0
3,-31,52,0
1,11,9
,0
4,-19,27,0
-4,-6,34,8
1,13,10,30
