x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4
9,-10,33,17,,-33,59,-4,368
9,-9,33,18,,-33,5,42,372
9,-9,34,17,,-29,55,17,363
8,-8,34,17,,-34,21,40,361
8,-8,33,17,,-23,41,39,313
8,-8,34,18,,-26,35,44,232
8,-8,32,17,,-7,32,59,170
8,-8,33,17,,-15,47,46,87
8,-8,33,17,,8,21,75,31
7,-8,33,17,,2,55,40,0
7,-8,32,17,,9,0,81,0
7,-8,32,16,,22,-1,85,0
6,-8,32,17,,17,30,44,0
6,-8,32,17,,22,-13,86,0
6,-7,33,18,,39,11,66,0
4,-7,33,17,,36,-19,83,0
4,-8,30,17,,47,-36,108,0
4,-8,31,17,,48,14,50,0
3,-7,30,17,,45,-44,101,0
3,-8,31,17,,49,11,40,0
2,-8,30,17,,,,,
1,-8,29,17,,,,,
0,-8,29,17,,38,-17,52,0
1,-8,30,17,,48,-33,83,0
0,-9,29,17,,36,-9,32,0
0,-8,29,17,,28,-56,78,0
-1,-8,28,17,,35,4,32,0
0,,,,,16,-4,15,10
-8,27,17,,,21,-69,75,84
-2,-10,27,17,,20,-8,8,125
-2,-9,27,17,,6,-82,66,187
-2,-9,27,17,,17,-38,33,273
-2,-9,26,17,,15,-59,23,339
-3,-11,26,17,,15,-73,44,365
-3,-10,25,17,,18,-46,6,377
-5,-10,26,17,,18,-89,51,379
-4,-11,25,17,,17,-25,-5,373
-4,-11,25,17,,14,-97,50,351
-5,-11,24,18,,8,-4,-19,278
-6,-12,24,18,,11,-88,48,206
-7,-12,23,17,,6,1,-16,136
-5,-12,24,17,,8,-71,39,60
-5,-12,23,17,,4,-6,-15,0
-6,-12,23,17,,4,-2,-29,0
-7,-13,23,17,,12,-72,45,0
-7,-13,22,17,,5,-16,0,0
-6,-12,23,17,,7,-33,12,0
-6,-12,22,17,,18,-57,49,0
-6,-13,22,17,,5,25,-27,0
-7,-12,22,17,,1,-50,40,0
-7,-13,21,17,,-5,-20,26,0
-6,-13,22,17,,-24,13,-25,0
-6,-13,22,17,,-24,-26,24,0
-6,-13,22,17,,-4,,,
-6,-13,22,17,,1,24,-44,0
-6,-13,22,17,,-39,-35,15,0
-6,-13,23,17,,-45,32,-52,0
-5,-13,23,17,,-49,-11,-24,0
-5,,,,,-37,6,-9,0
-13,24,18,,,-43,8,-26,58
-5,-13,23,17,,-28,-5,6,116
-5,-13,23,17,,-40,31,-24,168
-5,-12,23,17,,-22,-5,25,235
-3,-13,24,18,,-36,54,-14,319
-3,-13,24,17,,-24,-6,41,355
-2,-14,24,17,,-34,63,-12,370
-2,-13,25,17,,-24,-2,52,368
-2,-13,25,17,,-33,66,5,362
0,-13,26,17,,-26,6,57,356
0,-13,26,17,,-26,59,21,293
0,-13,28,17,,-18,16,64,213
0,-12,27,17,,-9,53,41,152
1,-14,29,17,,-16,63,32,72
2,-13,29,17,,5,9,86,20
3,-13,30,17,,0,53,34,0
4,-13,31,17,,2,18,63,0
3,-13,31,17,,24,19,70,0
3,-13,31,17,,19,40,42,0
5,-13,32,17,,27,-26,100,0
6,-13,32,17,,40,22,51,0
7,-13,32,17,,35,2,63,0
7,-12,32,17,,52,-24,100,0
7,-12,32,17,,40,4,57,0
8,-12,33,17,,38,-35,88,0
8,-11,32,17,,55,-2,59,0
9,-12,33,17,,44,4,41,0
8,-11,34,17,,43,-49,94,0
9,-10,33,17,,42,8,2,
8,-11,34,17,,9,0,,
9,-11,34,17,,29,-32,53,0
10,-11,,,,36,-24,60,0
34,18,,,,30,3,18,1
10,-11,34,17,,23,-64,72,70
10,-10,34,17,,26,-13,16,118
8,-10,34,17,,3,-76,55,182
9,-10,34,17,,18,-25,16,265
10,-9,34,17,,10,-78,39,338
11,-9,34,17,,20,-54,27,365
10,-8,35,17,,12,-67,21,378
8,-8,33,17,,19,-66,35,379
8,-8,33,17,,16,-47,7,374
8,-9,32,17,,12,-89,42,355
9,-8,33,17,,8,-65,24,236
9,-8,33,17,,13,-81,51,205
8,-8,33,17,,11,-28,9,125
8,-7,33,17,,0,-48,11,57
7,-7,32,17,,4,-38,12,0
7,-8,32,17,,5,5,-33,0
7,-8,32,17,,0,-75,36,0
8,-7,33,17,,9,-47,28,0
6,-7,33,17,,5,-4,-22,0
5,-7,31,17,,14,-40,40,0
4,-7,30,17,,8,14,-9,0
4,-8,31,17,,-4,-35,20,0
4,-8,31,17,,-3,-44,40,0
3,-7,31,17,,-17,34,-35,0
3,-7,31,17,,-23,-40,31,0
2,-7,29,17,,-3,,,
1,-8,30,17,,5,34,-42,0
1,-8,28,17,,-44,-40,9,0
1,-7,30,17,,-43,-18,3,0
1,-8,29,17,,-47,16,-46,0
0,-8,28,17,,-36,-23,7,0
-1,-8,28,18,,-39,32,-45,48
-2,-8,27,17,,-28,-26,12,116
0,-9,27,17,,-35,47,-32,169
-1,-9,27,17,,-24,-15,24,244
-2,-9,27,,,-35,55,-12,324
18,,,,,-28,-4,32,358
-2,-10,27,17,,-32,55,-2,373
-4,-10,26,17,,-32,11,38,368
-4,-10,25,17,,-32,48,21,363
-4,-11,25,17,,-34,25,37,354
-4,-12,25,17,,-22,37,40,283
-5,-11,24,17,,-24,38,42,205
-5,-11,25,17,,-8,30,62,144
-6,-12,23,17,,-15,45,44,61
-6,-12,23,17,,9,21,74,2
-5,-12,24,17,,4,53,39,0
-5,-12,22,17,,8,2,83,0
-6,-13,23,17,,23,2,87,0
-6,-13,22,17,,16,25,45,0
-6,-12,22,17,,22,-14,84,0
-6,-13,23,17,,41,10,68,0
-6,-12,21,16,,36,20,52,0
-7,-13,20,17,,46,-35,108,0
-7,-13,24,17,,45,12,51,0
-7,-13,24,17,,36,-16,69,0
-7,-14,22,17,,56,-21,80,0
-6,-13,21,17,,38,-12,52,0
-6,-14,22,17,,47,-33,83,0
-7,-13,22,17,,4,,,
-7,-14,22,17,,5,4,39,0
-6,-13,22,18,,28,-52,71,0
-5,-13,23,17,,37,-6,37,0
-6,-13,22,18,,15,0,20,16
-5,-13,23,17,,20,-72,73,87
-5,-13,24,17,,21,-10,12,136
-5,-14,,,,9,-82,60,204
,24,17,,,21,-49,38,290
-4,-14,23,17,,10,-48,21,349
-4,-13,25,17,,18,-80,47,368
-4,-13,25,17,,15,-44,4,380
-3,-14,25,18,,20,-87,49,378
-2,-13,25,17,,18,-28,0,373
-2,-13,27,18,,13,-92,49,343
0,-13,27,17,,8,-8,-16,267
0,-13,27,18,,11,-80,43,193
0,-13,28,17,,8,-4,-10,120
1,-14,28,17,,6,-68,37,44
1,-13,29,17,,9,-64,38,0
2,-14,30,17,,5,-6,-29,0
3,-13,30,17,,11,-69,43,0
3,-13,31,17,,8,-13,1,0
4,-13,31,17,,7,-32,13,0
4,-13,32,17,,15,-56,49,0
5,-13,32,17,,5,24,-26,0
6,-12,32,17,,-3,-49,36,0
7,-12,32,17,,-6,-19,24,0
7,-12,32,17,,-25,15,-24,0
7,-13,32,17,,-26,-27,23,0
8,-12,33,17,,-40,25,-45,0
8,-12,32,17,,-41,-36,13,0
9,-12,34,17,,,,,
9,-11,33,17,,-42,34,-51,0
9,-11,34,17,,-49,-6,-26,0
9,-11,34,17,,-38,0,-7,0
9,-10,34,17,,-43,13,-32,81
11,-11,,,,-28,-10,9,129
,34,17,,,-38,39,-26,188
10,-10,34,17,,-23,-10,28,270
10,-9,35,18,,-35,56,-16,344
10,-10,34,17,,-24,-8,41,364
10,-9,34,18,,-33,64,-9,374
11,-9,34,17,,-26,1,49,367
11,-8,35,18,,-34,61,7,363
10,-8,36,17,,-26,11,52,343
9,-8,34,17,,-24,56,26,264
8,-8,33,17,,-19,21,61,189
9,-8,33,17,,-9,48,44,124
10,-7,34,17,,-11,27,64,46
9,-7,34,18,,8,39,59,0
8,-7,33,17,,0,53,35,0
7,-7,32,17,,0,22,63,0
7,-7,32,17,,23,17,71,0
7,-7,33,17,,20,37,41,0
5,-6,31,17,,28,-23,97,0
3,-7,30,16,,41,22,55,0
3,-7,30,17,,36,5,63,0
4,-6,31,17,,50,-27,100,0
4,-6,31,17,,42,4,54,0
6,-4,32,17,,39,-33,84,0
5,-9,30,17,,54,-,,
5,-5,32,17,,6,64,0,
-4,-9,27,17,,45,5,41,0
2,-7,30,17,,43,-51,92,0
1,-7,29,17,,43,8,28,0
1,-8,29,17,,30,-27,48,0
2,-7,28,17,,36,-29,64,0
1,-8,29,17,,14,-18,31,32
0,-8,28,17,,23,-64,69,97
-1,-8,27,17,,25,-15,20,151
-1,-9,27,17,,4,-72,51,221
-1,-9,26,17,,19,-32,23,304
-1,-9,27,17,,9,-69,33,354
-2,-9,,,,21,-65,33,370
,27,17,,,12,-57,16,381
-2,-10,26,17,,20,-74,41,376
-4,-10,25,17,,15,-42,3,372
-4,-10,24,17,,15,-80,46,330
-4,-11,25,17,,9,-13,-16,245
-4,-10,25,17,,12,-78,48,174
-5,-11,25,17,,6,-2,-17,97
-6,-12,24,17,,4,-41,12,28
-6,-12,23,17,,8,-38,14,0
-5,-12,24,17,,3,-30,-7,0
-4,-12,24,17,,8,-72,40,0
-6,-13,23,17,,8,8,-20,0
-7,-13,22,17,,5,-7,-13,0
-7,-13,22,17,,14,-41,40,0
-6,-13,22,17,,3,17,-23,0
-6,-13,22,17,,-4,-34,20,0
-7,-13,22,17,,-11,11,1,0
-8,-13,21,17,,-31,-12,-7,0
-8,-14,21,17,,-24,-40,,
-7,-14,21,17,,27,0,,
-6,-14,22,17,,-36,34,-40,0
-7,-14,22,17,,-45,-40,9,0
-8,-14,20,17,,-44,30,-40,0
-8,-15,21,17,,-47,-28,-5,0
-7,-15,21,17,,-38,25,-28,6
-6,-14,22,17,,-37,34,-44,91
-6,-14,22,17,,-28,-27,16,136
-6,-14,22,17,,-38,18,-14,202
-6,-14,23,17,,-28,8,22,277
-6,-14,23,18,,-36,56,-9,344
-5,,,,,-29,-1,33,363
,-14,23,17,,-33,54,1,375
-5,-14,24,18,,-33,13,35,367
-5,-13,24,17,,-31,45,25,364
-4,-14,25,17,,-35,30,35,341
-4,-14,26,17,,-21,35,43,260
-3,-13,27,17,,-25,40,39,185
-3,-13,27,17,,-5,30,62,120
-2,-13,27,17,,-16,46,46,40
-1,-14,27,17,,9,20,75,0
0,-13,29,17,,5,51,38,0
0,-14,29,17,,9,1,81,0
1,-13,29,17,,23,2,87,0
2,-14,29,17,,16,27,44,0
2,-13,30,17,,20,-13,84,0
3,-13,31,17,,42,9,67,0
3,-13,31,17,,38,21,48,0
4,-13,31,18,,46,-36,108,0
4,-14,32,17,,47,15,53,0
6,-13,32,17,,37,-13,66,0
6,-13,32,17,,56,-27,84,0
7,-12,33,17,,39,-9,49,0
8,-12,33,17,,38,-48,85,
7,-12,32,17,,0,,,
8,-12,34,17,,48,3,44,0
8,-11,34,17,,25,-50,67,0
9,-11,33,17,,32,-57,80,0
9,-10,33,17,,18,0,16,30
10,-11,33,18,,18,-74,74,97
10,-10,34,17,,21,-2,12,142
10,-10,35,17,,10,-46,31,221
10,-10,34,17,,21,-61,44,305
11,,,,,10,-35,12,356
,-9,34,17,,20,-93,51,374
11,-9,33,18,,14,-33,2,382
11,-9,35,17,,19,-94,50,378
10,-8,34,17,,19,-27,-4,373
10,-9,34,17,,14,-92,51,327
11,-8,34,17,,9,-12,-11,241
11,-8,34,18,,8,-74,38,173
10,-8,35,18,,9,-11,-7,98
10,-7,34,17,,6,-63,30,27
9,-7,34,17,,11,-64,38,0
10,-7,33,17,,3,-5,-27,0
9,-6,34,17,,9,-68,41,0
9,-6,34,17,,9,-18,4,0
9,-6,33,17,,7,-28,11,0
7,-7,32,17,,14,-53,47,0
7,-6,31,17,,7,24,-23,0
7,-6,32,17,,-6,-48,35,0
7,-6,32,17,,-8,-22,24,0
7,-6,32,17,,-27,16,-26,0
5,-6,32,17,,-26,-28,22,0
4,-5,30,17,,-41,25,-46,0
5,-6,31,17,,-41,-41,1,
4,-6,31,17,,4,0,,
4,-6,31,17,,-40,37,-54,0
4,-7,30,17,,-50,-5,-27,0
2,-7,30,17,,-36,-1,-4,18
1,-7,30,17,,-42,15,-32,104
1,-8,29,17,,-30,-13,12,149
1,-7,28,17,,-37,43,-31,222
1,-7,29,17,,-23,-12,33,306
0,-8,28,18,,-34,18,13,358
0,-8,28,18,,-30,28,20,367
-1,-8,27,17,,-36,39,13,373
-1,-8,27,17,,-26,21,43,363
,,,,,-34,62,10,355
-1,-9,27,17,,-28,12,51,306
-1,-9,26,17,,-23,54,26,221
-2,-9,27,17,,-18,24,62,157
-3,-10,25,17,,-8,48,45,79
-3,-11,25,18,,-11,27,64,10
-4,-10,24,17,,10,37,56,0
-3,-11,25,17,,2,20,62,0
-4,-11,24,18,,16,0,89,0
-5,-11,24,17,,19,33,44,0
-6,-12,24,17,,16,6,62,0
-6,-13,22,17,,42,-8,86,0
-5,-13,22,17,,42,20,56,0
-5,-13,23,17,,39,-30,97,0
-6,-13,23,17,,51,-25,101,0
-7,-13,21,17,,41,6,55,0
-7,-13,22,17,,50,-41,94,0
-7,-15,21,17,,55,-8,66,0
-7,-13,22,17,,37,-28,66,0
-7,-14,21,17,,4,,,
-8,-14,20,17,,8,-19,70,0
-8,-14,21,17,,28,-25,43,0
-8,-14,22,17,,28,-62,79,0
-7,-14,22,17,,29,3,23,13
-7,-14,22,17,,23,-68,70,87
-8,-14,20,17,,22,-72,67,130
-8,,,,,14,-9,11,206
-15,21,17,,,17,-84,59,285
-7,-14,21,17,,16,-20,6,348
-7,-14,22,17,,9,-101,56,366
-6,-15,22,18,,19,-25,2,381
-7,-14,23,17,,15,-96,48,378
-7,-14,22,17,,19,-35,7,375
-6,-14,22,17,,13,-75,32,353
-6,-15,24,17,,16,-37,16,273
-5,-15,24,17,,6,-52,17,195
-4,-15,24,18,,9,-37,16,127
-5,-14,25,18,,7,-1,-22,45
-4,-14,24,17,,9,-75,42,0
-3,-15,26,17,,6,-4,-24,0
-2,-14,27,18,,2,-26,-10,0
-1,-14,28,17,,8,-47,29,0
-1,-14,27,17,,8,-4,-17,0
0,-14,28,17,,11,-50,32,0
0,-14,28,17,,8,7,-2,0
0,-13,29,17,,3,18,-22,0
2,-13,30,17,,-6,-40,36,0
2,-13,30,17,,-16,32,-31,0
2,-14,31,17,,-30,-9,-8,
3,-13,30,17,,0,,,
5,-13,31,17,,-29,-5,8,0
6,-13,32,17,,-47,6,-32,0
6,-13,32,17,,-46,-38,8,0
6,-12,32,17,,-42,28,-40,0
6,-12,32,17,,-50,-26,-9,0
7,-11,32,17,,-38,24,-26,42
8,-12,33,17,,-43,-8,-13,117
9,-12,33,17,,-32,12,-2,159
9,-10,34,17,,-39,23,-16,238
9,-11,34,17,,-30,4,25,309
9,-10,,,,-33,47,-10,362
33,17,,,,-26,0,39,368
10,-10,34,17,,-32,63,-7,374
11,-10,34,17,,-23,0,54,365
11,-9,35,17,,-35,66,4,360
10,-10,34,17,,-21,5,60,318
10,-8,33,17,,-21,29,45,235
10,-8,34,18,,0,17,75,26
11,-8,33,17,,11,19,75,6
12,-8,34,17,,11,19,75,0
11,-8,35,17,,11,19,75,0
11,-8,36,17,,6,44,44,0
10,-7,34,18,,0,43,47,0
11,-7,35,17,,19,0,84,0
11,-7,35,17,,23,28,57,0
11,-7,34,17,,18,-10,75,0
10,-6,33,17,,38,-20,99,0
9,-6,33,17,,38,19,53,0
9,-6,34,17,,44,-34,101,0
9,-5,33,17,,43,11,52,0
9,-5,33,17,,37,-11,61,0
8,-5,33,17,,55,-28,88,0
8,-5,33,17,,40,-5,46,0
7,-5,32,17,,38,-46,,
7,-6,31,17,,,83,0,
6,-6,32,17,,46,1,44,0
7,-6,31,17,,36,0,27,0
5,-5,32,17,,33,-58,83,0
5,-6,31,17,,17,3,15,30
4,-6,30,17,,17,-41,46,97
3,-7,30,17,,26,-42,43,146
4,-7,30,17,,11,-44,27,226
3,-6,30,18,,22,-65,48,306
3,-7,30,17,,8,-28,9,355
1,-7,29,17,,21,-100,55,373
1,-7,29,17,,13,-26,-2,384
0,-8,27,17,,22,-100,54,378
1,-8,28,18,,17,-22,-6,372
0,-8,27,17,,15,-93,51,316
0,-8,27,17,,11,-13,-12,228
,,,,,9,-72,40,158
,,,,,9,-14,-5,82
-1,-9,26,17,,6,-60,29,9
-2,-9,26,17,,12,-64,39,0
-2,-10,25,17,,3,-6,-27,0
-3,-10,26,17,,9,-67,40,0
-3,-10,26,17,,9,-18,6,0
-4,-11,25,17,,4,-30,9,0
-4,-12,24,17,,13,-56,46,0
-4,-12,24,17,,8,24,-23,0
-5,-12,23,17,,-4,-7,-6,0
-5,-12,23,17,,-5,-22,27,0
-5,-12,23,17,,-26,16,-24,0
-6,-13,23,17,,-31,-31,11,0
-6,-13,23,17,,-32,19,-17,0
-6,-14,23,17,,-51,-21,,
-7,-14,23,17,,,-12,0,
-8,-13,21,17,,-42,7,-15,0
-8,-14,22,17,,-52,-3,-29,0
-7,-15,22,17,,-36,-5,-4,16
-8,-14,20,17,,-42,18,-33,103
-8,-16,21,17,,-29,-16,14,149
-9,-13,22,17,,-38,47,-32,223
-9,-13,22,17,,-25,-17,32,304
-8,-15,21,17,,-32,64,-19,360
-8,-15,22,17,,-27,-11,43,368
-8,-15,21,17,,-32,68,-9,373
-8,,,,,-28,1,49,364
-16,21,18,,,-33,60,12,356
-8,-16,22,17,,-30,17,49,302
-8,-15,22,17,,-23,48,32,219
-8,-15,23,17,,-20,29,55,150
-8,-15,23,17,,-7,42,49,76
-7,-15,22,17,,-11,32,60,2
-7,-15,23,17,,8,31,61,0
-7,-15,24,17,,1,48,35,0
-6,-15,23,18,,1,26,57,0
-6,-15,25,18,,24,13,74,0
-5,-15,25,17,,20,32,45,0
-5,-14,26,18,,28,-21,95,0
-5,-15,26,17,,41,19,57,0
-4,-14,25,17,,36,7,56,0
-3,-14,26,17,,51,-28,103,0
-2,-14,26,17,,42,9,52,0
-2,-14,27,17,,39,-31,,
0,-14,28,17,,,78,0,
0,-15,28,17,,53,-10,70,0
0,-14,29,17,,38,-27,60,0
1,-13,29,17,,43,-54,96,0
1,-13,30,17,,43,13,26,0
2,-13,31,17,,27,-65,83,0
4,-13,32,17,,34,-36,72,20
4,-13,32,17,,13,-13,18,92
5,-12,32,17,,24,-75,71,134
5,-12,31,17,,14,-9,8,205
6,-12,32,17,,15,-91,66,284
7,-12,32,17,,14,-6,-4,345
7,-12,32,17,,16,-116,61,365
8,-10,33,17,,19,-16,-2,381
9,-11,33,17,,15,-98,48,375
9,-10,33,17,,18,-35,7,374
10,-1,,,,11,-74,31,344
0,34,17,,,11,-38,12,264
10,-10,34,17,,7,-48,16,186
10,-10,34,17,,13,-81,51,113
10,-9,34,17,,5,-4,-18,31
11,-9,34,17,,12,-68,40,0
11,-9,35,17,,4,-6,-23,0
12,-8,34,18,,1,-25,-11,0
12,-8,35,17,,9,-48,29,0
12,-8,35,17,,5,-7,-16,0
12,-8,34,17,,11,-47,30,0
11,-7,34,17,,10,9,-3,0
11,-7,34,17,,3,16,-21,0
12,-6,35,17,,-2,-40,38,0
12,-7,34,17,,-19,32,-30,0
11,-6,34,17,,-24,-40,22,0
10,-6,35,17,,-27,-7,8,0
11,-6,34,17,,-50,6,-32,
10,-6,33,17,,,0,,
10,-5,34,17,,-41,-21,7,0
9,-5,35,17,,-48,22,-48,0
9,-5,35,17,,-48,-30,-7,0
6,-7,32,17,,-35,27,-27,79
6,-7,32,17,,-44,-10,-10,134
8,-5,33,17,,-31,15,-2,192
10,-3,35,17,,-40,20,-16,279
4,-6,31,17,,-34,60,-12,341
7,-6,32,17,,-31,-5,35,364
0,-8,28,17,,-33,54,0,373
5,-5,32,17,,-36,16,34,368
5,-6,32,18,,-22,-2,55,363
5,-5,30,18,,-36,68,5,337
4,-6,31,17,,-21,4,63,271
3,-6,30,17,,-25,63,18,190
3,-8,30,17,,-13,14,72,123
2,-7,29,17,,-10,56,35,38
2,-7,28,18,,-3,17,76,0
,,,,,5,44,46,0
1,-8,28,17,,-2,42,42,0
0,-7,28,17,,22,2,87,0
0,-8,27,17,,23,25,57,0
0,-8,28,17,,19,-9,79,0
0,-9,26,17,,36,-23,101,0
0,-9,27,17,,39,21,50,0
-2,-9,26,18,,45,-34,107,0
-2,-10,27,17,,48,16,55,0
-3,-10,26,17,,36,-9,60,0
-3,-11,25,17,,55,-31,88,0
-4,-11,25,17,,54,8,50,0
-4,-11,24,17,,38,,,
-4,-13,24,16,,-46,84,0,
-5,-12,24,17,,47,2,47,0
-5,-13,23,17,,38,1,26,0
-6,-14,23,17,,32,-59,84,0
-7,-14,23,17,,37,-10,45,48
-7,-14,23,17,,21,-41,48,106
-7,-15,22,18,,26,-40,48,164
-7,-15,22,17,,8,-45,22,244
-8,-15,21,17,,20,-68,51,317
-8,-15,21,17,,12,-24,3,362
-8,-15,20,17,,20,-107,63,376
-8,-16,20,17,,12,-15,-8,382
-8,-15,21,17,,21,-110,58,376
-8,-16,21,17,,18,-15,-9,365
-9,-16,22,17,,14,-96,56,295
-9,-16,21,17,,10,-10,-14,209
-9,,,,,8,-72,39,138
-16,21,17,,,9,-17,-4,62
-9,-16,21,17,,6,-55,26,0
-8,-16,22,17,,11,-66,42,0
-9,-16,21,17,,2,-6,-28,0
-9,-16,22,17,,9,-66,38,0
-8,-16,22,18,,10,-22,8,0
-8,-16,22,17,,6,-27,7,0
-8,-15,22,17,,14,-54,45,0
-8,-16,23,17,,6,21,-22,0
-8,-16,23,17,,-5,-43,31,0
-7,-16,24,17,,-3,-22,27,0
-6,-15,23,17,,-24,18,-24,0
-6,-16,25,17,,-26,-30,22,0
-6,-15,24,17,,-42,28,-46,0
-5,-15,26,17,,,,,
-5,-15,25,17,,,,,
-4,-14,26,17,,-41,-40,14,0
-2,-14,27,17,,-42,8,-15,0
-2,-14,26,17,,-52,-4,-27,0
-1,-14,27,17,,-35,-4,-5,49
-1,-14,27,17,,-43,16,-34,122
0,-13,29,17,,-26,-15,13,168
1,-13,30,17,,-37,46,-32,249
2,-13,29,17,,-25,-18,34,326
2,-13,29,17,,-31,64,-21,365
3,-13,31,18,,-25,-14,45,372
4,-12,31,17,,-38,46,11,368
4,-12,31,17,,-28,0,51,362
5,-12,32,17,,-34,60,11,341
6,-12,32,17,,-28,15,48,274
7,-12,31,,,-24,48,33,196
,17,,,,-21,31,57,125
7,-11,33,17,,-8,38,49,50
8,-11,32,17,,-11,34,57,0
9,-10,32,17,,11,30,63,0
9,-10,33,18,,0,49,39,0
10,-10,34,17,,15,1,87,0
11,-10,34,17,,24,10,75,0
10,-9,34,17,,16,11,57,0
11,-8,33,17,,27,-19,92,0
11,-8,34,17,,42,18,58,0
12,-8,33,17,,37,-28,94,0
12,-8,35,17,,51,-28,103,0
12,-8,34,17,,40,8,49,
12,-8,34,17,,,0,,
12,-7,35,17,,52,-46,99,0
13,-7,35,17,,56,-9,72,0
12,-7,35,17,,36,-26,62,0
12,-6,35,17,,49,-22,72,0
13,-7,35,17,,30,-24,39,0
12,-6,34,17,,27,-66,85,0
12,-6,33,17,,30,7,19,52
11,-6,35,17,,23,-74,74,109
11,-5,34,17,,23,-2,19,163
10,-5,34,17,,17,-5,1,238
11,-5,34,17,,15,-96,70,312
10,-5,34,17,,15,-3,-5,360
10,-4,33,17,,10,-115,61,372
10,-4,33,17,,22,-13,-4,381
8,-5,32,17,,14,-105,52,376
8,-4,32,17,,20,-27,0,368
8,-5,33,17,,12,-80,36,304
8,-5,33,17,,15,-38,14,225
6,-4,32,17,,2,-47,15,152
,,,,,11,-44,18,76
6,-5,31,17,,0,-31,1,2
5,-5,31,17,,10,-72,41,0
6,-6,32,17,,7,-4,-22,0
5,-5,31,17,,0,-21,-15,0
5,-6,31,17,,11,-51,31,0
4,-6,29,17,,4,-3,-19,0
2,-6,29,17,,8,-46,29,0
2,-7,28,17,,-3,-39,35,0
3,-7,29,17,,-7,4,8,0
2,-7,29,17,,-7,4,8,0
1,-8,28,17,,-18,33,-28,0
1,-8,28,17,,-31,-6,-11,0
0,-8,27,17,,-27,-7,9,0
0,-8,27,17,,-50,8,,
0,-9,27,17,,-34,0,,
0,-9,27,17,,-41,-22,6,0
0,-10,28,17,,-42,30,-39,0
-3,-10,27,17,,-51,-31,-6,6
-3,-11,25,17,,-34,25,-26,86
-3,-13,24,17,,-45,-10,-10,139
-3,-12,25,17,,-30,15,-2,194
-5,-12,24,17,,-41,22,-15,284
-5,-13,24,17,,-29,2,24,340
-6,-13,23,17,,-33,50,-10,365
-6,-14,23,17,,-26,-4,43,373
-6,-14,23,17,,-33,68,-8,367
-7,-14,23,17,,-25,-5,56,361
-8,-14,22,18,,-34,69,4,330
-8,-16,22,17,,-21,3,63,262
-8,-16,21,17,,-25,63,20,187
-8,-15,22,17,,-15,16,69,115
-8,-16,22,17,,-9,53,39,41
,,,,,-1,21,72,0
,,,,,11,12,82,0
-9,-16,22,17,,-1,48,39,0
-9,-17,21,17,,8,15,70,0
-9,-16,22,17,,23,18,60,0
-9,-16,21,17,,18,26,42,0
-9,-17,22,17,,35,-22,101,0
-9,-16,21,17,,38,20,49,0
-9,-18,21,17,,34,-7,72,0
-9,-17,20,18,,54,-14,91,0
-9,-17,22,17,,38,-8,,
-9,-16,22,17,,,55,0,
-9,-17,22,17,,44,-45,93,0
-9,-16,23,17,,51,11,49,0
-9,-16,23,17,,39,-49,85,0
-9,-16,22,17,,47,-44,93,0
-9,-16,23,16,,37,0,24,0
-7,-16,23,17,,27,-53,67,0
-8,-15,23,17,,35,-7,44,58
-8,-15,23,17,,21,-48,48,115
-7,-15,24,17,,22,-34,45,174
-6,-15,25,17,,12,-47,23,261
-6,-15,25,17,,19,-68,53,329
-5,-15,26,17,,13,-29,1,365
-4,-14,25,17,,17,-103,61,378
-3,-15,26,18,,16,-15,-8,381
-2,-14,26,17,,20,-117,61,376
-2,-14,28,17,,17,-7,-20,356
-1,-13,27,17,,18,-103,60,271
0,-13,28,17,,12,-5,-13,194
1,-13,28,17,,8,-73,42,123
2,-13,28,17,,8,-14,-11,40
3,-12,30,16,,7,-58,28,0
3,-12,30,18,,14,-70,45,0
3,-1,,,,5,7,-28,0
1,30,17,,,6,-32,-2,0
5,-12,30,17,,6,-32,-2,0
5,-11,31,17,,15,-54,43,0
7,-11,32,18,,15,-54,43,0
7,-11,31,17,,7,22,-17,0
7,-10,32,17,,-8,-41,26,0
8,-10,33,17,,-4,-22,28,0
9,-10,34,17,,-25,16,-28,0
9,-9,33,17,,-23,-28,16,0
10,-9,33,17,,-48,29,,
11,-9,33,17,,,-43,0,
10,-8,33,17,,-41,-40,12,0
11,-9,34,17,,-44,36,-53,0
12,-8,33,17,,-52,-8,-28,12
12,-8,35,17,,-32,0,-7,86
12,-7,35,17,,-46,16,-29,139
12,-8,34,17,,-28,-12,9,188
13,-7,35,17,,-40,43,-31,279
12,-7,36,17,,-24,-18,33,343
13,-6,35,17,,-32,66,-17,366
13,-6,36,17,,-29,25,24,374
13,-7,35,17,,-38,45,9,367
13,-6,35,17,,-27,-2,49,361
13,-6,36,17,,-34,62,14,325
12,-5,36,17,,-30,15,49,252
12,-5,35,18,,-24,47,33,177
12,-5,35,17,,-22,31,52,105
11,-5,34,17,,-7,38,55,29
11,-5,35,17,,-11,39,56,0
11,-5,34,17,,10,25,67,0
11,-4,34,17,,1,53,34,0
9,-5,34,17,,16,-2,88,0
9,-4,3,,,24,6,79,0
3,17,,,,16,17,55,0
9,-4,33,17,,27,-20,95,0
8,-4,33,17,,41,19,56,0
8,-4,32,17,,38,-28,95,0
8,-4,32,17,,52,7,70,0
7,-4,33,17,,40,1,,
6,-4,32,18,,1,46,0,
6,-4,31,17,,51,-48,104,0
