x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4
4,-16,28,18,,39,-28,61,0
3,-15,29,17,,31,6,24,0
1,-15,28,17,,16,-62,70,0
-1,-15,27,17,,20,-10,18,0
-3,-14,27,18,,16,-17,12,0
-3,-12,26,17,,14,-76,65,0
-5,-11,26,17,,13,-20,2,0
-7,-11,26,17,,10,-71,42,49
-8,-9,25,17,,17,-48,22,105
-9,-9,26,17,,14,-71,36,165
-9,-7,25,17,,19,-61,25,250
-11,-7,25,17,,15,-60,17,329
-11,-5,25,17,,17,-68,32,366
-12,-5,24,17,,10,-40,6,378
-12,-4,24,17,,11,-64,30,384
-12,-3,25,17,,4,-16,-9,375
-14,-3,24,17,,11,-69,35,366
-14,-1,24,18,,4,-3,-16,312
-14,-2,24,17,,8,-68,32,228
-13,-1,24,18,,3,0,-20,166
-14,0,24,18,,3,-8,-15,87
-14,0,24,18,,16,-46,39,16
-14,0,23,18,,6,16,-17,0
-13,-1,24,18,,3,-27,20,0
-,,,,,-3,2,4,0
11,0,24,18,,-12,27,-26,0
-11,0,24,17,,-18,-35,28,0
-11,0,25,17,,-30,31,-33,0
-9,0,24,18,,-40,-36,12,0
-7,-1,25,17,,-44,25,-39,0
-6,-1,25,18,,-46,-28,-7,0
-5,0,26,17,,-38,-21,0,0
-5,-3,26,17,,-4,,,
-3,-3,24,18,,0,25,-42,0
-2,-4,26,16,,-33,-22,9,0
0,-4,26,18,,-32,36,-35,0
1,-4,25,17,,-31,-11,17,0
2,-6,28,17,,-31,20,5,0
3,-6,28,17,,-38,25,3,40
3,-8,27,17,,-27,17,24,106
5,-9,28,17,,-37,43,5,150
7,-9,28,17,,-24,16,40,212
8,-10,29,17,,-36,50,14,296
9,-11,30,17,,-25,11,49,349
10,-12,30,17,,-25,55,18,367
10,-14,32,17,,-16,13,68,369
14,-16,32,17,,-15,58,30,363
14,-16,33,17,,-17,37,51,361
15,-17,33,17,,2,30,64,330
14,-19,34,17,,-2,41,48,250
15,-20,34,17,,14,16,80,190
15,-20,33,18,,12,28,47,114
16,-20,34,18,,30,-10,92,43
15,-20,34,18,,32,17,51,0
13,-21,34,17,,33,-19,89,0
14,-22,32,18,,49,5,78,0
14,-22,32,18,,44,16,55,0
14,-22,33,18,,47,-47,100,0
14,-21,32,17,,51,9,47,0
1,,,,,43,-15,59,0
2,-22,32,18,,49,-35,83,0
13,-21,30,18,,36,-4,38,0
13,-22,32,18,,33,-48,68,0
14,-21,33,18,,35,-12,44,0
11,-20,32,18,,14,-40,46,0
10,-20,32,18,,26,-32,50,0
8,-18,29,18,,16,-,,
8,-18,30,18,,14,11,0,
7,-16,31,18,,15,-77,64,0
6,-16,30,17,,15,-13,6,0
2,-15,29,17,,11,-37,18,32
0,-15,27,17,,17,-81,47,97
0,-13,28,17,,15,-40,11,152
0,-13,28,17,,18,-83,43,224
-2,-12,28,17,,14,-45,8,303
-5,-11,28,17,,17,-79,38,353
-8,-10,25,17,,11,-35,0,374
-7,-10,26,17,,10,-69,32,382
-7,-9,27,17,,7,-22,0,376
-8,-8,27,17,,5,-29,2,373
-10,-6,26,17,,11,-53,28,348
-11,-6,25,17,,2,-12,-18,264
-11,-5,24,17,,10,-64,32,189
-11,-4,25,17,,3,0,-19,117
-11,-5,25,17,,14,-53,38,38
-12,-3,24,17,,7,16,-17,0
-14,-4,23,18,,4,-5,-3,0
-13,-2,23,18,,2,-25,31,0
-13,,,,,-8,23,-13,0
,-2,24,18,,-21,-29,14,0
-14,0,24,18,,-30,18,-16,0
-14,0,23,18,,-43,-23,-7,0
-14,-2,22,18,,-39,-34,14,0
-13,0,22,17,,,,,
-10,-1,24,18,,-44,28,-47,0
-10,0,24,18,,-39,-31,3,0
-10,0,24,18,,-39,31,-44,0
-10,-1,24,18,,-35,-24,3,0
-8,-1,23,17,,-32,33,-26,0
-7,-2,25,18,,-34,27,-26,0
-5,-2,24,17,,-30,-1,14,0
-5,-2,25,17,,-36,41,-11,37
-4,-4,24,17,,-26,2,32,98
-4,-4,24,18,,-36,54,0,141
-1,-5,25,17,,-37,30,17,196
1,-6,26,17,,-27,29,31,284
1,-5,26,17,,-37,38,24,344
1,-6,26,17,,-23,24,44,364
2,-8,27,17,,-29,46,30,370
3,-8,26,17,,-12,21,63,365
6,-9,28,17,,-18,52,35,358
7,-10,29,17,,0,17,75,342
9,-11,29,17,,-2,52,38,267
9,-13,30,17,,10,7,88,207
9,-13,30,17,,15,40,38,141
11,-16,31,18,,12,8,65,68
14,-16,32,17,,35,5,79,8
15,-17,33,17,,31,0,66,0
14,-18,34,18,,38,-32,104,0
14,-20,33,17,,48,18,61,0
14,-20,33,18,,41,0,59,0
,,,,,51,-40,96,0
,,,,,48,6,45,0
16,-20,35,18,,40,-36,75,0
16,-21,35,18,,50,-18,66,0
15,-21,34,18,,32,-21,48,0
14,-23,33,18,,34,-59,77,0
14,-22,34,18,,33,4,,
15,-22,34,18,,29,0,,
14,-21,34,18,,20,-14,27,0
14,-23,34,17,,30,-54,72,0
13,-22,32,18,,18,-11,8,0
12,-21,34,17,,12,-61,50,0
13,-20,33,18,,16,-36,28,0
8,-19,30,17,,8,-56,33,45
4,-18,31,17,,19,-65,32,103
4,-18,31,17,,12,-56,24,166
9,-17,33,17,,23,-73,33,241
9,-17,33,17,,12,-49,14,322
6,-16,31,17,,18,-76,35,361
0,-17,26,17,,8,-35,1,376
0,-13,26,17,,6,-55,19,382
0,-14,27,17,,11,-37,12,374
0,-13,28,17,,5,-41,8,369
-1,-12,28,17,,11,-43,20,329
-4,-11,27,17,,3,-24,-9,245
-5,-10,28,16,,9,-50,26,180
-6,-10,26,17,,3,-8,-13,100
-7,-9,26,17,,8,-47,25,27
-7,-8,26,17,,11,3,0,0
-9,-7,26,17,,7,17,-17,0
-10,-7,25,17,,8,-43,41,0
-10,-7,25,17,,-12,28,-24,0
-11,-5,25,18,,-24,-6,-5,0
-10,-5,26,18,,-25,-8,8,0
-11,-4,23,17,,-40,5,-27,0
,,,,,-42,-37,11,0
-12,-3,24,18,,-42,25,-36,0
-12,-4,24,18,,-48,-26,-9,0
-12,-2,23,17,,-39,17,-29,0
-12,-3,24,18,,-41,-8,-14,0
-12,-1,23,17,,-33,13,-8,
-12,-2,22,17,,,0,,
-13,0,21,18,,-30,40,-34,0
-12,0,21,18,,-32,-12,16,0
-11,0,24,18,,-31,46,-14,38
-11,0,23,17,,-29,2,28,98
-10,0,23,17,,-33,49,6,138
-10,0,23,17,,-33,17,30,195
-8,-1,22,17,,-31,42,21,281
-7,-2,25,17,,-35,27,37,345
-6,-2,24,17,,-24,37,32,364
-6,-2,23,17,,-29,35,43,368
-4,-4,24,18,,-10,33,49,364
-3,-4,24,17,,-17,39,48,358
-2,-4,25,17,,4,29,66,340
0,-5,25,17,,2,50,41,273
0,-6,26,17,,4,13,79,207
0,-7,27,17,,17,36,47,149
2,-7,26,17,,15,-7,83,67
4,-8,27,17,,29,-8,93,3
5,-9,29,17,,33,15,52,0
6,-9,28,17,,43,-28,104,0
6,-10,29,17,,52,3,80,0
8,-12,29,17,,39,-21,74,0
9,-14,30,18,,53,-22,83,0
11,-15,,,,51,9,50,0
,31,18,,,41,-49,84,0
13,-16,34,18,,51,-42,85,0
12,-16,33,18,,38,4,37,0
13,-18,33,17,,36,-59,78,0
15,-20,34,18,,37,,,
16,-20,36,18,,-22,53,0,
16,-20,36,18,,12,-33,37,0
15,-20,35,18,,27,-45,58,0
15,-21,35,17,,10,-22,24,0
14,-21,34,17,,11,-72,61,0
15,-21,36,17,,19,-20,11,1
14,-21,36,18,,14,-80,45,73
12,-21,34,17,,18,-49,21,116
13,-22,34,17,,8,-64,32,184
13,-22,34,17,,17,-90,45,262
14,-21,34,17,,15,-44,8,336
13,-21,32,17,,19,-79,34,365
11,-20,33,17,,16,-37,9,379
10,-20,32,17,,10,-60,29,381
10,-20,32,17,,8,-32,6,373
10,-19,32,18,,4,-48,11,366
7,-17,32,17,,9,-30,9,318
5,-16,31,17,,4,-12,-15,230
3,-16,29,17,,9,-65,34,164
3,-15,30,17,,4,0,-21,90
2,-14,29,18,,11,-50,32,16
0,-13,29,17,,11,13,-10,0
-1,-12,28,17,,3,-2,-3,0
-3,-12,27,17,,1,-29,32,0
-5,-11,26,18,,-9,20,-10,0
-5,-9,26,,,-23,-24,7,0
,17,,,,-24,11,-7,0
-5,-9,28,17,,-44,-14,-7,0
-6,-9,27,18,,-41,-33,15,0
-8,-8,24,17,,-43,30,-47,0
-9,-8,25,17,,-43,-33,-2,0
-8,-6,25,17,,,,,
-8,-6,25,17,,,,,
-9,-5,25,17,,-38,32,-40,0
-10,-4,24,18,,-41,-19,1,0
-12,-4,23,17,,-33,28,-25,0
-10,-3,23,18,,-34,32,-32,0
-10,-3,23,17,,-32,-8,17,0
-11,-2,23,17,,-33,48,-13,61
-12,-1,23,17,,-26,-2,35,115
-14,-1,22,17,,-35,56,-4,168
-12,-1,21,17,,-26,8,38,230
-11,-1,22,17,,-34,51,16,310
-11,0,23,17,,-30,17,47,355
-11,0,23,17,,-25,47,23,368
-11,-1,22,18,,-24,26,56,370
-10,0,22,17,,-11,41,43,363
-9,-1,23,17,,-15,33,58,355
-7,-2,23,17,,3,38,55,316
-8,-1,24,17,,-2,48,40,236
-7,-2,23,18,,9,12,85,181
