x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4,sep,x Desb 5,y Desb 5,z Desb 5,i Desb 5
-9,-7,25,17,,15,-6,0,0,,11,-4,8,0
-11,-6,27,18,,17,-93,60,26,,17,-51,50,0
-12,-5,25,18,,20,-73,43,94,,15,9,18,0
-13,-5,25,17,,15,-48,15,147,,13,-40,39,0
-13,-3,24,17,,18,-78,44,220,,21,-48,58,0
-13,-3,26,18,,15,-45,5,300,,6,10,0,0
-13,-2,26,18,,17,-86,44,352,,8,-32,25,0
-15,-1,25,18,,12,-24,-8,376,,18,-14,35,0
-15,-2,25,17,,10,-79,40,384,,5,-22,22,0
-14,0,24,17,,7,-10,-9,376,,15,-51,53,0
-13,0,26,17,,9,-71,33,374,,8,7,5,0
-13,1,25,18,,6,-6,-9,348,,2,-20,15,41
-13,0,24,17,,4,-9,-18,266,,21,-31,41,105
-13,0,25,17,,11,-67,34,193,,1,-12,13,153
-12,0,24,17,,3,4,-24,118,,17,-36,46,225
-10,0,25,17,,16,-58,42,43,,1,-4,3,293
-9,0,26,18,,7,21,-22,0,,2,-47,40,345
-8,0,25,18,,3,-9,0,0,,1,,,
-8,0,25,18,,0,-22,28,0,,4,2,17,367
-6,-1,25,18,,-10,25,-18,0,,-4,-35,32,376
-4,-2,26,18,,-21,-31,19,0,,11,-3,25,374
,,,,,-31,23,-20,0,,-8,-20,17,365
-4,-3,27,18,,-42,-26,0,0,,7,-19,40,349
-3,-3,26,17,,-44,12,-19,0,,-10,2,3,282
-1,-4,28,17,,-52,-14,-21,0,,-8,-48,54,209
0,-5,27,17,,-39,-31,4,0,,-1,24,1,139
1,-7,27,17,,-40,33,-,,,-14,-40,39,58
3,-7,29,17,,46,0,,,,-5,10,17,0
4,-8,29,18,,-33,-26,8,0,,-15,-24,25,0
5,-8,29,17,,-33,39,-31,0,,-8,-54,64,0
6,-10,29,18,,-34,-12,13,0,,-11,38,-13,0
8,-9,27,18,,-30,3,14,0,,-12,-50,58,0
9,-12,30,17,,-38,39,-10,22,,-12,33,-2,0
11,-13,32,17,,-25,3,32,89,,-14,-37,46,0
12,-14,32,17,,-36,54,-4,136,,-10,-37,60,0
