x Normal 1,y Normal 1,z Normal 1,i Normal 1,SEP, x Normal 4, y Normal 4, z Normal 4, i Normal 4,SEP, x Normal 3, y Normal 3, z Normal 3, i Normal 3
10,-33,39,134,0,-5,14,12,377,0,-8,14,16,252
-9,11,20,60,0,9,-39,47,373,0,11,-31,41,185
-3,-1,19,0,0,-10,19,10,367,0,-9,16,16,110
7,-25,39,0,0,10,-45,46,338,0,9,-35,38,38
-4,3,19,0,0,-9,23,10,265,0,-7,12,20,0
8,-25,32,0,0,-3,3,14,195,0,0,-9,24,0
-3,0,26,0,0,5,-26,44,126,0,8,-18,35,0
-6,3,17,0,0,-7,6,13,48,0,-5,12,,
9,-32,39,0,0,8,-33,45,0,0,,23,0,
2,-6,27,0,0,-5,7,22,0,0,8,-33,35,0
3,-16,28,0,0,5,-28,34,0,0,0,3,21,0
11,-29,40,0,0,9,-38,51,0,0,-4,2,21,0
-5,8,19,0,0,-8,18,9,0,0,3,-27,35,0
-2,,,,0,1,-21,24,0,0,3,0,24,0
,-11,24,0,0,0,-10,37,0,0,-4,9,18,0
7,-18,35,0,0,-1,-4,17,0,0,9,-33,38,0
-4,-2,19,0,0,7,-36,38,0,0,5,-9,28,0
8,-30,40,0,0,-6,15,25,0,0,-2,-9,27,0
-2,8,20,0,0,-8,13,14,0,0,8,-32,42,0
-6,5,14,0,0,8,-36,41,0,0,-4,8,17,0
11,-36,44,2,0,-2,-2,34,0,0,-4,-1,20,0
-7,10,13,68,0,-2,-6,17,0,0,7,-26,38,0
2,-24,28,116,0,1,-16,42,0,0,-6,3,19,0
6,-10,35,168,0,-8,24,16,0,0,4,-26,37,63
-2,-12,19,249,0,6,-37,37,0,0,2,-7,24,108
10,-26,40,319,0,5,-33,46,22,0,1,-18,30,159
-4,4,16,360,0,-7,21,7,91,0,10,-37,47,232
10,-38,45,369,0,9,-44,51,130,0,-4,9,10,302
-6,17,10,377,0,-10,28,8,184,0,9,-40,46,353
9,-43,46,369,0,2,-10,18,262,0,-4,8,15,365
2,-8,32,366,0,1,-18,41,327,0,6,-30,36,376
1,-9,20,331,0,0,3,15,363,0,0,2,26,375
3,-22,41,258,0,4,-27,,,0,-7,16,8,367
-3,7,14,193,0,45,373,,,0,11,-45,48,355
7,-39,43,118,0,-5,15,11,378,0,-8,24,8,295
-5,11,21,43,0,7,-34,45,375,0,9,-44,50,218
7,-30,33,0,0,-7,5,29,368,0,-8,25,11,156
-4,-2,27,0,0,6,-18,25,332,0,-3,5,11,77
-7,15,12,0,0,-5,-2,32,259,0,7,-34,51,14
8,-38,46,0,0,4,-11,22,186,0,-7,16,3,0
0,-9,32,0,0,1,-10,34,118,0,9,-38,33,0
1,-9,23,0,0,-2,-7,23,38,0,-5,10,31,0
8,-34,42,0,,11,-32,34,0,,,,,
-6,8,18,0,,-7,6,23,0,,-8,30,3,0
-2,3,16,0,,-3,-3,22,0,,11,-55,52,0
5,-25,43,0,,10,-22,39,0,,-12,30,10,0
-5,2,31,0,,-5,-2,19,0,,0,0,13,0
3,-14,20,0,,6,-28,33,0,,4,-30,47,0
-3,-9,39,0,,1,-1,24,0,,-7,23,22,0
-10,19,1,,,-6,4,19,0,,6,-30,30,0
5,0,,,,11,-28,40,0,,6,-43,48,0
7,-34,40,0,,-6,8,19,0,,-8,28,8,0
1,-19,43,0,,-3,-14,26,0,,2,-9,18,0
-5,9,14,0,,7,-15,32,0,,-3,-16,42,0
6,-32,35,18,,-5,8,20,0,,0,10,12,0
-8,9,25,85,,7,-32,40,0,,7,-37,39,0
6,-23,28,127,,10,-22,41,0,,-9,13,23,0
-3,0,35,171,,-5,4,15,0,,-5,18,7,55
-9,27,8,245,,10,-34,42,0,,7,-40,51,111
10,-46,46,317,,2,0,26,29,,-6,22,10,153
-10,24,12,360,,2,-23,28,96,,9,-39,44,220
10,-41,42,374,,6,-10,32,133,,-3,-11,39,301
-8,20,20,376,,-7,16,15,199,,3,-5,17,352
8,-30,31,372,,10,-44,43,280,,2,-19,40,367
-8,6,28,365,,-4,13,16,339,,-2,4,15,377
6,-16,24,319,,7,-39,40,365,,6,-23,40,377
9,-37,45,248,,,,,,,-7,8,15,370
-8,20,14,177,,,,,,,8,-24,26,357
8,-35,39,106,,0,6,19,374,,-5,4,30,298
-8,12,21,30,,2,-23,33,376,,5,-18,26,221
11,-31,34,0,,8,-42,47,373,,-2,-1,30,159
-6,5,25,0,,-7,20,9,365,,0,-15,25,77
-2,4,21,0,,9,-45,48,313,,11,-35,37,7
9,-25,31,0,,-9,23,9,246,,-7,11,20,0
-4,-1,26,0,,8,-39,46,172,,10,-34,37,0
8,-24,32,0,,-6,14,18,103,,7,-18,35,
11,-30,40,0,,-6,8,15,24,,0,,,
-6,5,17,0,,8,-34,46,0,,-5,-3,21,0
3,-16,27,0,,-7,11,10,0,,10,-25,35,0
4,-10,30,0,,5,-24,33,0,,-1,5,22,0
-1,-1,,,,-1,1,29,0,,4,-29,35,0
1,24,0,,,-7,15,10,0,,10,-29,38,0
10,-29,37,0,,9,-38,44,0,,-5,9,18,0
-5,7,19,0,,0,-12,35,0,,9,-33,39,0
-5,-5,18,0,,-2,-3,16,0,,6,-8,29,0
9,-21,41,0,,5,-21,42,0,,-2,-10,27,0
-5,1,15,0,,-7,11,28,0,,7,-33,40,0
4,-33,38,0,,3,-21,24,0,,-3,9,17,0
0,3,25,37,,7,-34,41,0,,-4,0,22,0
-7,17,12,218,,-9,20,14,0,,8,-27,39,0
0,-13,25,238,,7,-37,41,0,,2,2,19,0
10,-47,48,258,,1,-17,44,0,,3,-26,36,60
10,-47,48,297,,-4,8,13,0,,2,-8,24,105
-8,14,13,350,,7,-35,35,0,,-4,9,14,152
5,-44,36,366,,-7,12,23,52,,10,-38,45,224
2,14,27,374,,6,-25,29,112,,-3,10,11,300
-6,16,12,372,,9,-44,52,151,,8,-39,46,354
9,-52,32,368,,-10,29,7,220,,-3,8,15,366
-16,12,5,349,,12,-47,46,297,,-3,5,12,377
3,-47,43,279,,-11,24,12,350,,8,-36,48,375
-8,23,11,214,,10,-43,4,,,-7,17,9,367
8,-41,43,137,,0,368,,,,9,-45,49,358
6,-32,44,68,,-8,19,21,377,,-8,24,7,300
-6,11,12,0,,9,-28,31,373,,0,-4,14,226
8,-40,47,0,,-7,5,29,368,,3,-21,45,163
-4,0,28,0,,5,-17,24,339,,-4,4,12,87
4,-16,29,0,,10,-37,43,266,,5,-33,49,21
8,-39,46,0,,-8,19,15,192,,-9,17,16,0
-7,14,14,0,,10,-34,40,122,,9,-39,35,0
8,-35,41,0,,-9,12,20,41,,10,-45,56,0
0,-21,37,0,,11,-32,34,0,,-8,28,4,0
-2,5,17,0,,-6,6,24,0,,10,-53,51,0
7,-24,33,0,,-3,0,22,0,,-2,-8,,
-7,2,30,0,,9,-24,37,0,,37,0,,
-,,,,,-4,2,24,0,,1,-4,14,0
7,14,13,0,,7,-26,33,0,,9,-49,42,0
7,-35,42,0,,10,-29,38,0,,-7,24,20,0
-9,20,12,0,,-6,4,20,0,,6,-32,31,0
1,-1,16,0,,4,-20,31,0,,4,-42,45,0
0,-17,41,0,,5,-6,28,0,,-6,28,8,0
-9,20,17,0,,-3,-13,26,0,,1,-10,20,0
8,-35,35,3,,9,-31,37,0,,-2,-15,41,0
5,-30,42,68,,-4,9,20,0,,-1,9,12,0
-6,16,11,120,,-4,-5,22,0,,6,-37,39,0
8,-40,50,164,,11,-22,41,0,,-8,12,22,0
-9,24,7,234,,-6,4,14,0,,-5,18,7,63
10,-47,48,313,,2,-33,36,0,,6,-41,50,115
-9,27,10,354,,3,3,25,10,,-7,23,10,160
1,-4,18,369,,-8,9,13,76,,9,-39,44,228
2,-21,41,378,,12,-43,47,122,,-2,-14,40,308
-3,11,11,375,,-7,17,13,180,,3,-2,16,356
5,-33,45,373,,11,-47,43,262,,2,-22,42,368
-7,20,11,339,,-3,16,15,326,,-3,7,14,378
7,-37,46,267,,-4,2,18,363,,6,-26,41,376
-6,1,30,204,,9,,,,,-6,10,14,369
5,-12,24,129,,-36,43,368,,,8,-22,24,349
-2,-11,34,53,,-5,16,11,377,,-6,1,33,283
1,-6,21,0,,9,-41,46,372,,5,-15,24,209
11,-34,37,0,,-8,21,11,366,,-1,-4,32,147
-7,9,21,0,,9,-46,47,321,,0,-13,25,64
11,-30,35,0,,2,-17,38,248,,11,-33,36,0
7,-25,37,0,,-3,3,15,181,,-8,9,23,0
-2,1,20,0,,6,-28,43,110,,10,-32,35,0
8,-26,35,0,,-7,8,13,32,,8,-19,,
-2,-2,24,0,,8,-36,44,0,,37,0,,
-4,5,16,0,,-4,3,22,0,,-4,-3,21,0
9,-28,39,0,,5,-22,33,0,,10,-27,37,0
-5,5,18,0,,8,-36,47,0,,0,2,24,0
,,,,,-7,14,11,0,,3,-27,32,0
1,-14,26,0,,1,-16,25,0,,10,-29,38,0
3,-12,33,0,,0,-14,35,0,,-5,9,20,0
-6,7,18,0,,-1,-2,17,0,,0,-17,30,0
10,-31,42,0,,6,-29,36,0,,6,-11,30,0
6,-15,40,0,,-5,9,27,0,,-4,-8,24,0
-3,-5,17,0,,-7,12,14,0,,7,-32,38,0
10,-25,42,20,,7,-34,42,0,,-4,9,20,0
-3,5,23,84,,-3,-4,34,0,,-4,2,20,0
5,-31,32,126,,-1,-5,16,0,,9,-30,38,0
2,0,31,173,,1,-16,42,0,,2,0,23,0
-7,14,10,252,,-7,22,16,0,,1,-24,34,61
11,-45,46,321,,6,-36,37,0,,11,-36,42,112
-6,16,14,361,,5,-32,44,42,,-5,11,15,166
10,-43,41,372,,-7,17,8,103,,10,-39,45,243
-3,13,20,378,,9,-42,52,144,,-5,10,12,315
5,-31,32,369,,-9,28,7,200,,7,-39,45,360
-2,0,31,365,,4,-13,21,279,,-2,7,16,368
2,-16,21,322,,-2,-16,38,339,,5,-28,37,377
10,-46,49,244,,1,1,14,365,,0,0,27,375
-9,25,10,174,,4,-27,47,375,,-9,17,7,367
9,-45,45,97,,-5,15,10,376,,9,-45,49,350
-9,16,19,26,,6,-,,,,-8,24,6,286
9,-36,33,0,,36,45,374,,,0,-4,15,214
-5,4,27,0,,-8,5,28,363,,4,-20,44,152
-7,18,12,0,,7,-17,24,309,,-4,3,13,73
6,-19,29,0,,-5,-4,35,238,,7,-31,47,7
-2,-11,32,0,,3,-6,21,171,,-7,16,16,0
3,-8,22,0,,0,-15,36,103,,8,-38,37,0
10,-38,40,0,,0,-3,20,28,,9,-41,56,0
-6,12,20,0,,12,-30,34,0,,-8,25,5,0
7,-25,34,0,,-7,5,25,0,,3,-28,26,0
3,-28,44,0,,-3,1,19,0,,0,-6,,
-7,,,,,8,-26,38,0,,37,0,,
,15,11,0,,-4,0,25,0,,-9,27,9,0
6,-16,22,0,,8,-24,32,0,,7,-47,41,0
-5,-5,38,0,,11,-30,39,0,,-8,24,20,0
1,-4,17,0,,-6,5,18,0,,-7,16,13,0
7,-36,44,0,,11,-29,39,0,,5,-40,44,0
-11,20,17,0,,4,-8,30,0,,-4,3,32,0
-4,4,14,0,,-1,-12,23,0,,1,-10,20,0
5,-26,43,58,,11,-31,37,0,,6,-44,46,0
-9,14,23,113,,-6,8,20,0,,-8,27,13,0
8,-31,33,158,,8,-32,40,0,,6,-38,40,0
-7,9,27,219,,10,-21,41,0,,3,-32,47,0
7,-24,26,298,,-5,3,15,0,,-5,19,7,54
-3,-4,34,346,,4,-33,38,0,,7,-25,29,110
1,-9,20,368,,0,5,27,38,,-6,0,34,149
10,-44,44,376,,-8,8,13,97,,4,-10,20,213
-9,26,15,374,,13,-42,47,137,,0,-15,38,288
10,-39,36,373,,-7,18,13,205,,2,0,16,339
-8,15,23,342,,12,-47,44,288,,9,-37,39,364
7,-27,30,272,,-5,16,16,343,,-9,14,20,375
-6,6,28,208,,7,-42,38,,,10,-27,31,376
5,-17,28,135,,367,,,,,-7,7,28,369
-1,-7,31,65,,-1,9,20,375,,7,-21,26,356
-8,17,17,0,,-6,16,12,375,,-6,0,31,302
11,-38,39,0,,10,-43,45,370,,-8,15,15,225
-6,12,21,0,,-8,21,10,355,,11,-30,41,159
0,-1,23,0,,10,-48,48,282,,-8,12,20,79
8,-24,37,0,,-8,24,10,213,,11,-32,35,5
-5,6,20,0,,9,-41,45,140,,-7,7,21,0
8,-31,37,0,,-6,14,19,68,,-1,-7,24,0
9,-29,38,0,,6,-33,34,0,,8,-19,36,0
-3,7,17,0,,9,-38,45,0,,-5,7,24,0
5,-20,33,0,,-8,16,12,0,,8,-29,33,0
2,-4,26,0,,3,-19,32,0,,9,-27,,
-7,7,16,0,,0,-7,30,0,,,35,0,
9,-31,40,0,,-8,14,13,0,,-5,2,20,0
4,-10,31,,,9,-36,41,0,,4,-24,32,0
,0,,,,-7,11,18,0,,4,-3,27,0
-1,-10,26,0,,-4,1,18,0,,-5,8,20,0
5,-14,35,0,,6,-25,42,0,,9,-31,35,0
-4,10,12,0,,-6,7,29,0,,7,-13,32,0
6,-37,44,8,,3,-18,22,0,,-3,-6,24,0
-2,8,18,65,,8,-35,42,0,,10,-21,38,0
-3,-1,13,115,,-10,21,12,0,,-3,7,20,0
11,-33,49,169,,8,-37,42,0,,3,-29,34,0
-6,10,8,238,,3,-17,42,0,,10,-32,38,0
11,-45,48,316,,-6,7,15,0,,-7,6,17,45
-5,17,11,356,,8,-38,37,10,,11,-38,42,104
9,-43,45,368,,-7,14,22,81,,-6,12,15,153
7,-23,41,376,,6,-28,32,126,,10,-40,44,229
-4,8,12,372,,-5,5,31,168,,-4,9,14,295
9,-38,46,368,,-10,28,6,243,,-2,-3,21,354
-6,19,9,340,,13,-49,48,316,,8,-31,42,366
8,-45,50,264,,-11,28,11,358,,-4,11,11,377
0,-8,35,207,,1,,,,,9,-38,48,374
0,-4,18,133,,0,-45,44,370,,-8,18,8,368
3,-26,45,63,,-9,24,15,375,,10,-45,49,350
-3,8,10,0,,9,-34,34,369,,-8,23,7,285
9,-40,36,0,,-7,9,26,364,,-1,-1,16,210
-6,9,26,0,,5,-20,26,319,,4,-23,43,145
-5,20,9,0,,9,-38,45,248,,-5,3,14,65
9,-44,47,0,,-8,22,12,178,,7,-31,46,0
-2,-8,32,0,,10,-37,42,104,,-7,11,18,0
4,-9,23,0,,-8,14,19,27,,7,-34,35,0
7,-41,42,0,,11,-34,35,0,,8,-39,,
-7,16,17,0,,-6,7,24,0,,,53,0,
-1,8,14,0,,-3,2,20,0,,-8,21,7,0
3,-30,46,0,,8,-25,39,0,,4,-25,25,0
-5,17,9,0,,-4,1,24,0,,0,-7,35,0
6,-19,24,0,,7,-25,34,0,,-9,22,11,0
-7,-3,35,,,9,-30,39,0,,7,-42,40,0
0,,,,,-5,5,18,0,,-7,21,22,0
-9,25,8,0,,4,-17,31,0,,-6,13,13,0
8,-38,46,0,,4,-8,29,0,,6,-36,43,0
-1,-13,42,0,,-7,6,18,0,,-3,2,32,0
-2,1,14,0,,10,-29,37,0,,0,-10,20,0
10,-38,36,66,,5,-15,35,0,,7,-41,44,0
