x Normal 1,y Normal 1,z Normal 1,i Normal 1,SEP, x Normal 4, y Normal 4, z Normal 4, i Normal 4,SEP, x Normal 3, y Normal 3, z Normal 3, i Normal 3
-4,5,29,53,,6,-31,37,96,,2,-36,52,0
3,-16,23,112,,11,-30,37,135,,-5,23,4,30
9,-51,54,154,,-6,5,18,197,,8,-25,25,99
-10,35,6,224,,12,-34,41,276,,-7,0,37,133
12,-52,47,301,,-5,8,16,331,,4,-11,19,190
-11,27,13,350,,8,-38,45,362,,-1,-13,41,267
8,-41,39,367,,6,-14,29,37,,2,-2,13,331
-8,16,23,375,,4,,,,,10,-41,41,360
7,-24,28,374,,-3,-6,22,375,,-9,18,19,375
-4,0,34,368,,9,-23,39,368,,10,-32,32,375
-10,29,8,342,,-6,5,14,363,,-8,13,26,368
10,-43,46,266,,8,-36,49,309,,8,-25,25,360
-10,25,13,192,,-7,18,4,245,,-7,4,33,304
9,-37,40,122,,2,-26,34,171,,5,-15,22,229
-8,13,22,49,,2,0,27,114,,-1,-5,36,165
9,-29,31,0,,-1,-20,26,28,,-9,20,16,89
7,-32,41,0,,3,-13,35,0,,10,-38,37,16
-6,11,16,0,,-6,21,8,0,,-9,14,22,0
11,-32,41,0,,9,-45,49,0,,10,-34,34,0
-1,-6,32,0,,6,-23,45,0,,8,-24,39,0
4,-14,25,0,,-4,5,10,0,,-5,5,,
10,-34,38,0,,6,-40,40,0,,19,0,,
-6,7,20,0,,-5,9,23,0,,7,-31,31,0
10,-27,36,0,,-6,18,7,0,,0,0,25,0
6,-17,35,0,,8,-41,47,0,,-8,8,22,0
-6,-2,21,0,,0,-5,37,0,,11,-32,38,0
9,-23,36,0,,-3,-1,16,0,,-4,11,21,0
-2,0,27,0,,3,-28,45,0,,-2,-11,30,0
5,-21,32,0,,-6,18,20,0,,7,-14,29,0
11,-26,4,,,4,-29,32,0,,-4,6,20,0
2,0,,,,7,-41,53,0,,6,-27,36,0
-6,8,15,0,,-8,32,5,0,,-2,3,22,0
0,-20,29,0,,0,-14,23,0,,-5,1,24,0
6,-10,32,43,,0,-14,40,28,,4,-23,38,0
0,-14,24,105,,0,3,10,89,,4,-4,22,0
9,-20,37,148,,10,-49,47,134,,1,-21,35,43
-4,9,20,210,,-9,27,17,190,,10,-29,40,102
8,-35,37,289,,9,-39,34,267,,-3,3,15,147
-1,3,22,338,,-9,10,26,,,8,-32,45,213
5,-29,33,366,,,328,,,,-3,5,12,282
2,-4,25,374,,5,-23,26,364,,8,-35,45,345
-5,13,13,374,,-3,-4,37,372,,8,-23,40,365
9,-37,43,368,,-10,32,6,377,,-4,1,14,376
-7,14,15,358,,11,-46,44,372,,8,-32,47,374
8,-39,41,298,,-11,24,14,357,,-7,13,9,369
-7,16,16,233,,11,-38,38,292,,9,-43,47,360
6,-35,39,160,,-9,16,21,219,,3,-11,38,303
8,-33,45,88,,8,-26,31,151,,-3,-5,15,226
-8,11,13,9,,-6,4,29,87,,5,-22,45,164
11,-40,45,0,,6,-19,24,14,,-5,5,10,87
-9,17,12,0,,12,-34,40,0,,8,-37,51,22
1,-15,27,0,,-8,12,19,0,,-6,16,19,0
3,-13,34,0,,12,-32,38,0,,6,-37,33,0
-7,16,12,0,,3,-13,36,0,,-4,8,32,0
9,-39,42,0,,0,-8,21,0,,-10,31,,
-4,10,19,0,,11,-32,33,0,,2,0,,
-4,8,14,0,,-5,4,25,0,,11,-57,52,0
6,-32,45,0,,7,-25,31,0,,2,-16,41,0
,,,,,11,-23,35,0,,-1,3,12,0
,,,,,-7,4,22,0,,8,-49,41,0
-4,1,31,0,,3,-18,27,0,,-6,22,22,0
1,-12,19,0,,1,-6,31,0,,4,-28,29,0
8,-40,41,0,,-7,8,23,0,,7,-47,47,0
-10,24,14,0,,12,-31,38,0,,-7,32,8,0
8,-39,42,0,,-6,10,17,0,,1,-6,16,0
4,-26,48,0,,-4,-7,24,0,,-2,-20,45,0
-8,17,7,0,,11,-22,35,4,,-8,29,11,0
6,-34,34,7,,-6,-2,21,75,,7,-41,41,0
-6,9,28,66,,7,-32,36,120,,-9,16,23,0
-9,26,5,116,,1,2,24,163,,-6,24,5,56
10,-50,54,163,,3,-27,33,238,,7,-46,53,112
-11,34,5,236,,4,-7,25,301,,-8,28,6,150
13,-52,47,309,,-6,9,16,349,,4,-11,19,218
-11,30,11,354,,9,-38,43,365,,0,-13,41,291
9,-45,40,368,,-4,1,,,,1,0,14,344
-8,22,20,375,,2,14,377,,,1,-24,44,362
8,-29,30,372,,7,-36,42,372,,-3,10,11,377
-6,5,30,365,,-4,12,17,367,,11,-32,34,374
-10,29,8,330,,-8,6,14,346,,-8,12,26,369
10,-45,48,254,,9,-35,48,278,,8,-25,26,355
-9,28,11,185,,-8,17,7,213,,-6,2,31,292
9,-40,42,114,,9,-40,51,145,,6,-14,23,219
-9,17,19,43,,-9,19,9,76,,-1,-5,36,154
10,-32,33,0,,-2,-18,26,0,,-2,-9,21,76
8,-32,43,0,,5,-15,35,0,,11,-37,36,1
-5,12,16,0,,-3,-5,20,0,,-8,12,22,0
8,-23,30,0,,8,-42,48,0,,11,-33,35,0
-3,-4,28,0,,-5,17,14,0,,8,-24,40,0
4,-17,26,0,,-6,5,12,0,,-5,,,
10,-36,40,0,,8,-35,47,0,,,3,19,0
-6,10,19,0,,-3,8,21,0,,7,-29,29,0
10,-30,37,0,,2,-22,28,0,,0,0,26,0
6,-16,34,0,,8,-39,47,0,,-4,6,21,0
-4,-3,20,0,,-9,23,14,0,,11,-31,38,0
9,-27,32,,,7,-40,37,0,,-4,10,21,0
,0,,,,6,-27,45,0,,-2,-11,28,0
-3,4,24,0,,-7,18,8,0,,7,-15,29,0
6,-24,36,0,,4,-29,34,0,,-4,4,22,0
10,-26,40,0,,-4,9,29,0,,7,-26,35,0
-5,6,16,0,,-9,30,4,0,,10,-22,36,0
1,-24,32,0,,10,-52,52,1,,-5,2,22,0
4,-5,28,50,,-10,32,6,68,,8,-28,36,0
1,-18,27,109,,-1,0,14,116,,3,-7,22,0
11,-38,45,157,,3,-29,49,160,,2,-20,34,63
-5,11,16,230,,-4,17,3,226,,11,-30,40,112
9,-39,41,303,,9,-43,55,297,,-4,3,17,162
-2,7,19,348,,-8,16,23,348,,8,-31,43,233
6,-32,36,366,,6,-28,28,366,,-2,3,14,302
1,1,23,375,,-4,0,,,,8,-34,44,354
-7,12,13,372,,,32,375,,,-1,4,17,367
10,-38,44,367,,2,-8,19,375,,-4,2,13,377
-7,15,13,349,,0,-16,41,368,,8,-33,46,374
9,-41,44,278,,-11,26,13,348,,-7,13,10,369
-8,18,12,216,,10,-40,39,272,,10,-43,50,349
7,-39,42,139,,-10,19,20,196,,-8,23,7,286
-4,11,22,70,,9,-29,33,127,,8,-46,49,210
-8,11,13,0,,-5,4,28,61,,4,-21,45,148
9,-40,45,0,,6,-20,25,0,,-4,4,11,68
-2,-1,26,0,,-2,-8,34,0,,8,-35,50,2
3,-17,28,0,,-7,12,17,0,,-6,17,18,0
2,-12,33,0,,13,-34,39,0,,7,-38,34,0
-8,17,13,0,,4,-14,38,0,,-4,8,30,0
8,-39,42,0,,0,-7,20,0,,-8,29,3,0
3,-24,39,0,,10,-33,35,0,,11,-55,51,0
-4,9,13,0,,-5,4,24,0,,1,-12,39,0
7,-32,46,0,,9,-23,32,0,,,,,
-4,3,30,0,,10,-24,36,0,,,,,
-11,25,12,0,,-7,3,22,0,,0,0,12,0
-11,,,,,4,-20,27,0,,7,-48,40,0
25,12,0,,,1,-8,32,0,,-5,20,23,0
-1,1,17,0,,1,-12,26,0,,-7,21,10,0
-1,1,17,0,,12,-31,39,0,,6,-44,47,0
4,-23,47,0,,-6,10,18,0,,-7,30,8,0
-6,12,9,0,,-3,-9,23,0,,0,-6,16,0
7,-38,35,13,,10,-20,36,26,,0,-20,46,0
-8,13,24,81,,-5,-4,21,96,,-8,29,12,0
-9,22,6,125,,12,-30,40,135,,7,-39,41,0
10,-47,54,176,,,,,,,4,-38,54,0
-10,31,5,254,,,,,,,-7,24,2,51
11,-52,50,321,,-8,5,17,195,,7,-26,27,109
-11,31,8,357,,4,-28,33,273,,-6,-1,37,151
11,-47,44,372,,3,-6,25,328,,3,-10,18,219
-8,26,18,375,,0,-18,29,364,,0,-16,43,292
7,-35,33,369,,6,-15,32,373,,0,2,11,344
-7,10,27,361,,-4,-5,20,375,,3,-26,46,364
-9,26,8,317,,8,-24,39,368,,-9,20,18,376
10,-42,48,241,,10,-35,47,296,,11,-32,33,374
-9,28,12,171,,-1,7,23,277,,-9,12,26,368
8,-42,42,99,,-1,7,23,243,,7,-24,26,353
-8,19,17,31,,2,-24,32,171,,-5,3,32,290
-2,3,15,0,,1,-2,30,105,,5,-14,25,217
7,-29,43,0,,-9,18,12,27,,-1,-5,34,152
-5,11,15,0,,10,-42,45,0,,-10,18,16,68
7,-26,30,0,,-7,18,12,0,,11,-36,37,0
-3,-1,26,0,,-4,-5,21,0,,-8,1,,
-5,10,15,0,,6,-23,41,0,,3,22,0,
11,-36,41,0,,-6,4,14,0,,10,-33,36,0
-7,11,16,0,,6,-34,37,0,,9,-24,39,0
1,-9,24,0,,-4,6,24,0,,-6,2,18,0
5,-16,33,0,,-6,15,9,0,,7,-29,30,0
-6,8,21,0,,7,-37,45,0,,0,0,26,0
9,-28,36,0,,1,-7,36,0,,-6,7,21,0
,,,,,-4,0,14,0,,10,-30,37,0
7,-20,36,0,,7,-37,36,0,,3,-6,27,0
-6,0,18,0,,-7,17,23,0,,-3,-12,27,0
7,-27,34,0,,-8,17,7,0,,8,-16,30,0
-1,4,21,0,,8,-38,52,0,,-4,6,24,0
-6,4,17,0,,-4,10,30,0,,5,-27,35,0
13,-32,42,33,,1,-19,24,0,,9,-22,35,0
-8,7,14,94,,0,-8,38,28,,-5,3,21,0
0,-22,29,135,,-11,31,8,98,,4,-22,35,0
7,-8,32,190,,11,-51,48,141,,5,-6,25,0
-2,-14,23,273,,-9,31,14,200,,-7,3,22,53
9,-22,38,330,,11,-47,38,284,,10,-32,40,106
-5,-3,18,363,,-9,17,22,340,,-4,5,17,152
10,-31,42,373,,6,-33,30,366,,8,-32,43,223
-6,11,13,374,,11,-50,,,,-2,4,16,291
10,-38,45,366,,,52,376,,,-2,-8,23,349
-8,17,11,354,,-9,33,5,377,,8,-25,40,365
0,-14,23,290,,11,-49,46,372,,-4,3,14,376
5,-14,38,225,,-11,29,11,350,,9,-33,46,370
-2,-1,17,150,,10,-43,41,274,,-7,13,10,368
7,-29,44,79,,-10,22,18,199,,0,-19,24,351
-7,8,12,8,,8,-32,36,128,,4,-12,37,288
6,-36,34,0,,-5,8,24,64,,-2,-5,16,213
-3,5,25,0,,6,-23,26,0,,5,-21,44,150
-7,19,11,0,,12,-38,42,0,,-5,2,14,72
11,-45,48,0,,-7,16,16,0,,8,-33,48,4
-8,19,11,0,,12,-37,40,0,,-5,13,18,0
0,-10,24,0,,3,-13,35,0,,10,-44,56,0
5,-30,44,0,,0,-7,20,0,,1,13,36,0
-11,3,22,0,,11,-35,38,0,,-,,,
-11,3,22,0,,-4,8,21,0,,3,20,0,0
-8,19,9,0,,-3,0,20,0,,6,-21,28,0
-8,19,9,0,,9,-24,38,0,,2,-11,28,0
3,-17,3,,,-8,3,19,0,,-4,-3,11,0
1,0,,,,4,-22,29,0,,9,-43,43,0
-2,-4,36,0,,2,-5,31,0,,-14,14,17,0
-4,-8,15,0,,-6,9,19,0,,0,-30,31,0
8,-41,50,0,,12,-32,43,0,,7,-42,47,0
-10,24,13,0,,4,-9,32,0,,-7,29,9,0
9,-41,39,8,,-2,-12,25,0,,0,-7,16,0
5,-31,47,73,,8,-37,43,7,,0,-19,44,0
-7,17,7,117,,-4,8,20,69,,-8,29,12,0
8,-42,54,165,,8,-36,38,117,,6,-40,40,0
-6,11,28,237,,11,-28,40,173,,4,-37,50,1
5,-24,24,310,,-7,4,16,245,,-7,24,2,67
-4,-5,35,352,,12,-37,43,316,,8,-48,55,117
1,-7,18,368,,1,-21,30,360,,-6,0,37,157
3,-19,44,376,,10,-39,45,3,,3,-9,17,222
-4,12,10,374,,68,,,,,-1,-17,43,298
9,-40,36,369,,-6,17,10,377,,1,3,11,348
-8,15,23,340,,7,-38,43,368,,11,-43,41,365
7,-25,28,266,,-5,13,16,365,,-9,19,20,377
-6,4,32,205,,5,-33,37,320,,10,-31,32,374
4,-13,23,133,,8,-33,47,249,,-8,8,28,369
0,-12,36,63,,-8,17,8,183,,7,-21,24,348
-9,21,17,0,,9,-41,48,111,,-5,0,34,283
12,-38,39,0,,-8,19,11,34,,4,-11,22,209
-7,13,23,0,,10,-43,46,0,,10,-36,42,139
-3,7,16,0,,3,-16,36,0,,-9,16,18,61
8,-30,42,0,,-3,-2,20,0,,12,-34,35,0
-5,3,24,0,,6,-25,41,0,,-8,10,24,0
8,-25,30,0,,-5,13,17,0,,8,-30,33,0
10,-34,41,0,,7,-32,38,0,,9,-24,39,
-6,10,16,0,,6,-34,45,0,,0,,,
10,-30,39,0,,-5,15,10,0,,-5,2,18,0
3,-12,32,0,,8,-36,44,0,,8,-27,30,0
0,-7,21,0,,1,-9,37,0,,1,-2,28,0
1,,,,,-3,0,14,0,,-6,6,21,0
0,-28,35,0,,8,-37,38,0,,10,-30,35,0
-7,5,23,0,,-8,17,21,0,,5,-7,27,0
9,-26,36,0,,-7,18,6,0,,-3,-11,27,0
8,-20,37,0,,7,-37,53,0,,8,-16,31,0
-5,-2,20,0,,-6,11,29,0,,-4,5,23,0
4,-29,37,24,,2,-20,25,0,,6,-27,35,0
0,-1,26,86,,-1,-6,36,44,,11,-23,36,0
3,-24,31,129,,-11,30,7,106,,-5,4,20,0
5,-5,31,181,,11,-49,50,153,,3,-24,33,0
-7,8,14,255,,-10,31,12,228,,4,-4,25,1
12,-40,44,324,,11,-46,39,306,,-7,4,22,66
-6,10,16,357,,-10,19,20,353,,9,-34,39,112
9,-36,39,370,,6,-32,30,367,,-4,7,17,159
-1,8,20,379,,,,,,,9,-34,42,232
3,-28,32,369,,,,,,,-2,5,16,298
10,-36,44,362,,-3,5,32,375,,-2,-7,23,353
-9,16,11,316,,2,-12,19,374,,9,-27,40,365
12,-43,47,237,,0,-13,40,367,,-4,5,15,377
-9,23,10,171,,-11,29,11,334,,8,-33,46,372
9,-45,47,96,,11,-43,42,256,,-7,14,9,369
-8,18,16,29,,-9,21,20,186,,0,-21,25,351
9,-41,35,0,,9,-32,34,115,,3,-9,35,291
11,-39,48,0,,-6,6,28,50,,-2,-7,18,218
-9,20,11,0,,7,-22,25,0,,5,-20,42,152
4,-27,31,0,,12,-40,44,0,,-5,1,15,77
0,-6,29,0,,-8,16,18,0,,6,-45,44,6
1,-12,24,0,,11,-38,40,0,,-5,15,16,0
9,-45,44,0,,4,-16,36,0,,-5,12,5,0
-6,18,15,0,,1,-6,21,0,,9,-41,55,0
-3,7,16,0,,12,-35,37,0,,-,,,
5,-32,44,0,,-6,7,23,0,,2,9,27,0
-8,10,26,0,,8,-25,32,0,,2,-25,25,0
5,-23,2,,,11,-25,37,0,,0,-9,37,0
5,0,,,,-8,5,20,0,,-7,25,9,0
-4,-2,35,0,,5,-20,28,0,,0,-3,15,0
-10,27,7,0,,1,-5,31,0,,4,-26,47,0
8,-43,48,0,,-8,8,17,0,,-5,21,23,0
-1,-13,41,0,,11,-31,41,0,,2,-28,27,0
-4,2,14,0,,-6,10,14,0,,-2,0,34,0
5,-26,45,61,,-3,-13,25,0,,-7,28,8,0
-9,20,19,114,,11,-16,35,45,,6,-45,48,0
8,-36,36,162,,-6,-6,20,105,,0,-18,45,0
-7,15,24,231,,12,-27,40,151,,-4,12,8,0
7,-30,29,307,,-8,3,16,218,,6,-42,41,0
-4,1,31,346,,5,-32,37,296,,-8,17,22,31
-10,30,6,368,,3,0,25,339,,7,-28,28,101
9,-48,48,375,,0,-24,31,366,,8,-49,57,141
-10,31,11,374,,7,-,,,,-9,33,3,199
10,-43,40,369,,10,30,375,,,12,-51,50,277
-9,22,19,337,,-3,-8,23,374,,-11,29,9,337
8,-32,33,260,,8,-40,42,368,,10,-46,44,363
-6,11,26,194,,-5,14,17,356,,-9,22,17,375
4,-20,28,121,,5,-37,37,291,,10,-32,32,376
0,-5,33,56,,-2,11,21,223,,-8,9,27,368
-10,23,12,0,,3,-28,34,150,,-8,22,9,356
12,-43,42,0,,1,0,28,88,,9,-40,47,293
-7,18,19,0,,-10,20,11,6,,-9,23,10,221
-1,3,17,0,,10,-45,45,0,,10,-37,42,152
7,-29,41,0,,-7,21,13,0,,-9,17,17,77
-7,8,21,0,,-3,0,20,0,,11,-33,34,0
8,-29,33,0,,7,-26,41,0,,4,-20,38,0
9,-34,41,0,,-5,14,16,0,,-2,0,19,0
-5,12,16,0,,5,-33,37,0,,9,-29,33,0
9,-32,38,0,,8,-36,43,0,,,,,
2,-9,30,0,,-6,18,11,0,,,,,
1,-10,23,0,,7,-37,45,0,,-5,4,27,0
10,-29,38,0,,1,-10,35,0,,-6,4,18,0
-5,7,19,0,,-3,1,13,0,,9,-31,37,0
-1,-5,22,,,7,-38,38,0,,-6,5,21,0
,0,,,,-7,19,20,0,,3,-17,28,0
5,-18,34,0,,-7,18,7,0,,5,-9,31,0
-4,-6,21,0,,7,-37,52,0,,-6,8,24,0
5,-30,39,26,,-10,25,6,0,,9,-29,31,0
0,0,22,80,,1,-21,26,2,,8,-18,32,0
-5,0,16,124,,-1,-5,35,65,,-4,-2,22,0
11,-31,44,181,,0,-7,18,115,,7,-26,33,0
-7,6,12,255,,11,-49,52,162,,-2,3,24,0
11,-38,45,327,,-11,32,11,244,,-6,6,20,0
-4,10,15,360,,11,-48,43,317,,10,-32,38,0
9,-36,42,373,,-9,22,16,355,,-7,6,20,32
8,-22,40,379,,7,-36,35,3,,1,-17,30,97
-5,4,14,373,,69,,,,,7,-15,30,135
10,-34,46,364,,-4,9,28,377,,-3,-11,27,208
-8,15,10,317,,3,-18,23,375,,9,-22,33,280
10,-42,49,235,,11,-50,48,367,,-3,-4,22,338
-9,23,7,177,,-10,31,9,329,,6,-34,40,362
9,-47,48,99,,10,-45,44,249,,0,4,19,374
5,-20,43,34,,-10,24,16,175,,2,-25,35,375
-5,1,12,0,,8,-36,37,103,,1,-3,27,369
8,-36,48,0,,-6,10,24,30,,-8,14,10,362
-7,15,24,0,,8,-25,27,0,,10,-42,49,301
6,-33,33,0,,11,-41,45,0,,-8,22,7,236
11,-45,49,0,,-7,18,15,0,,8,-43,49,166
-8,21,10,0,,12,-40,42,0,,-5,19,11,96
9,-47,44,0,,-8,12,16,0,,7,-42,43,18
1,-17,36,0,,1,-7,21,0,,8,-32,46,0
-2,5,16,0,,7,-22,39,0,,-6,12,8,0
8,-36,39,0,,-5,8,21,0,,5,-33,36,0
-8,13,23,0,,8,-26,34,0,,-,,,
6,-27,27,0,,9,-25,38,0,,1,6,27,0
7,-41,50,0,,-8,4,17,0,,-8,19,6,0
-9,27,6,0,,5,-21,29,0,,10,-47,51,0
3,-1,,,,0,-4,30,0,,-8,22,9,0
2,23,0,,,-7,7,18,0,,-2,-4,16,0
-2,-9,40,0,,12,-30,41,0,,5,-24,45,0
-11,25,10,0,,-6,8,16,0,,-6,18,22,0
10,-44,40,62,,-2,-16,27,0,,3,-28,27,0
-11,21,17,116,,9,-15,34,42,,7,-40,46,0
10,-39,38,170,,-5,6,19,101,,-8,27,8,0
-8,18,23,242,,9,-36,40,142,,7,-45,47,0
8,-32,31,316,,-2,8,21,204,,0,-16,43,0
-6,7,29,351,,7,-34,36,281,,-3,9,10,0
-10,27,7,370,,1,0,25,330,,7,-42,41,0
11,-46,47,376,,-8,9,16,362,,-8,18,20,41
-11,31,11,374,,12,-3,,,,6,-30,31,105
11,-45,40,367,,9,44,373,,,9,-49,57,147
-11,25,18,318,,-6,16,14,377,,-10,33,3,212
9,-37,35,240,,8,-39,41,367,,13,-52,52,290
-7,16,24,172,,-7,13,17,361,,-12,30,8,343
5,-26,30,98,,6,-36,38,303,,10,-48,42,364
-3,1,29,40,,10,-33,48,231,,-9,23,17,375
-9,22,13,0,,-9,18,8,163,,10,-33,34,374
12,-42,42,0,,11,-44,50,85,,-9,10,27,367
-8,20,18,0,,-11,21,9,8,,7,-21,25,343
0,-2,20,0,,12,-48,46,0,,-5,-1,35,272
7,-25,38,0,,4,-16,37,0,,-8,24,11,200
-6,12,19,0,,-3,-1,19,0,,10,-37,43,128
8,-33,37,0,,9,-43,44,0,,-10,16,18,46
10,-30,40,0,,-6,16,17,0,,11,-33,34,0
-4,10,18,0,,6,-34,37,0,,-7,8,24,0
9,-32,38,0,,7,-37,44,0,,-3,2,20,0
1,-5,28,0,,-7,19,11,0,,8,-26,,
2,-13,27,0,,2,-15,26,0,,,39,0,
10,-31,39,0,,0,-10,36,0,,-7,3,26,0
-6,8,18,0,,-3,0,13,0,,7,-25,28,0
9,-,,,,9,-40,39,0,,10,-32,36,0
28,40,0,,,-10,21,18,0,,-6,6,21,0
6,-17,32,0,,-6,17,7,0,,11,-28,36,0
-5,-8,24,0,,7,-35,53,0,,4,-9,31,0
7,-31,40,48,,-6,13,27,0,,-3,-9,24,0
-2,1,19,100,,3,-25,27,10,,10,-28,31,0
5,-29,37,149,,-2,0,34,76,,-5,5,25,0
1,1,24,201,,-11,29,8,123,,7,-26,33,0
-6,5,12,276,,11,-50,51,174,,10,-23,37,0
11,-38,46,337,,-10,32,10,256,,-6,5,19,0
-7,11,14,362,,12,,,,,3,-25,33,0
10,-38,43,375,,-50,43,325,,,4,-5,28,17
-4,14,16,375,,-10,24,16,360,,1,-19,29,88
6,-35,37,367,,6,-39,36,373,,11,-35,40,129
-3,5,25,354,,-5,13,25,375,,-6,8,18,187
-7,15,7,298,,4,-21,24,370,,10,-35,40,270
9,-41,52,225,,0,-6,35,363,,-2,5,18,328
-8,24,4,168,,-1,-3,16,314,,6,-33,39,363
11,-49,52,82,,11,-47,44,236,,0,2,19,369
3,-14,40,15,,-9,27,15,168,,-5,7,14,377
-2,-4,13,0,,9,-38,39,94,,11,-33,44,369
7,-31,48,0,,-7,13,22,27,,-8,14,13,366
-7,23,18,0,,7,-27,29,0,,9,-40,46,322
8,-40,37,0,,11,-41,44,0,,-8,19,10,253
-4,7,25,0,,-8,20,14,0,,-3,-4,18,181
-8,22,8,0,,12,-41,42,0,,6,-22,40,112
4,-23,27,0,,1,-13,34,0,,-7,1,16,34
0,-10,35,0,,0,-8,21,0,,8,-32,44,0
-1,2,19,0,,11,-39,40,0,,-3,8,20,0
8,-41,43,0,,-5,10,20,0,,4,-29,35,0
-9,16,18,0,,8,-28,37,0,,9,-39,51,0
-4,16,,,,8,-25,37,0,,-7,18,9,0
,9,0,,,-7,3,18,0,,9,-43,48,0
5,-40,52,0,,6,-22,30,0,,,,,
-7,8,28,0,,0,-3,28,0,,,,,
4,-16,25,0,,-6,7,19,0,,2,-13,37,0
8,-43,50,0,,11,-30,42,0,,-1,-1,16,0
-11,26,9,0,,-6,6,15,0,,7,-37,39,0
10,-43,41,57,,-2,-18,29,0,,-5,14,27,0
0,-21,44,110,,8,-13,33,57,,-8,16,11,0
-1,6,12,157,,-2,-11,23,116,,8,-40,45,0
5,-29,48,218,,10,-22,40,168,,-9,25,10,0
-7,13,8,291,,-6,-3,15,244,,-2,-5,17,0
7,-39,48,343,,7,-3,,,,2,-17,45,0
-8,22,8,364,,5,38,315,,,-9,28,13,0
5,-23,26,376,,2,1,25,350,,7,-41,40,0
-2,0,35,376,,11,-37,45,372,,-8,18,21,44
0,-8,16,373,,4,-8,37,376,,-8,24,3,104
2,-18,41,358,,-1,-5,29,369,,10,-49,56,149
-10,25,16,294,,9,-37,41,366,,-10,34,4,216
10,-38,38,217,,-6,13,10,339,,12,-53,50,292
-8,19,23,149,,0,-40,29,262,,-12,31,8,344
6,-31,32,70,,-13,5,14,200,,11,-48,44,365
-4,5,29,8,,-2,-32,28,109,,-9,26,17,375
-9,20,13,0,,-5,-4,28,50,,8,-34,34,374
12,-42,44,0,,1,-17,21,0,,7,-39,47,367
-9,21,17,0,,12,-47,45,0,,-8,24,7,349
0,-8,19,0,,-9,23,13,0,,10,-42,47,274
5,-22,36,0,,-3,0,16,0,,-9,25,11,204
-6,13,19,0,,12,-32,34,0,,9,-38,43,136
9,-34,36,0,,-10,7,9,0,,-9,17,17,63
-4,7,23,0,,5,-33,35,0,,12,-34,33,0
-5,8,18,0,,-4,2,25,0,,6,-24,40,0
11,-30,37,0,,-8,21,12,0,,-4,4,18,0
0,-2,26,0,,8,-40,46,0,,9,-27,,
3,-1,,,,0,-13,39,0,,,31,0,
5,29,0,,,-2,3,12,0,,-4,2,26,0
10,-30,39,0,,8,-41,39,0,,-5,5,15,0
-7,7,18,0,,-11,21,18,0,,11,-32,39,0
0,-11,27,0,,7,-33,35,0,,-7,8,20,0
6,-13,29,0,,8,-38,53,0,,2,-15,26,0
-3,2,17,85,,-11,24,6,0,,5,-11,32,0
-3,2,17,97,,10,-45,47,46,,-6,8,23,0
-5,-6,20,109,,-3,-3,35,105,,10,-29,33,0
7,-31,40,158,,1,-11,20,152,,8,-19,34,0
1,3,20,213,,2,-13,42,212,,-6,0,20,0
-5,1,15,286,,-3,0,11,2,,6,-27,35,0
11,-35,44,343,,85,,,,,-2,4,23,0
-7,9,11,364,,5,-30,46,339,,-6,5,19,0
11,-38,45,375,,-7,16,9,363,,12,-34,40,0
-4,16,15,375,,8,-40,36,375,,-8,7,17,62
-5,-3,18,368,,-5,16,24,375,,1,-19,29,113
8,-30,45,349,,4,-24,26,369,,7,-14,31,161
-7,11,7,290,,-2,-3,35,355,,-2,-11,25,240
10,-39,54,214,,0,-7,17,300,,9,-23,35,307
-8,23,4,151,,13,-47,46,225,,-4,-2,21,355
12,-51,53,67,,-9,28,14,156,,10,-31,40,366
-12,27,6,0,,8,-42,40,81,,-5,9,14,377
-1,-12,15,0,,-7,16,21,9,,2,-24,33,368
5,-24,48,0,,8,-32,32,0,,2,-4,29,367
-4,8,9,0,,10,-41,45,0,,0,-16,24,337
9,-49,41,0,,-9,20,14,0,,4,-14,37,267
8,-40,50,0,,12,-43,43,0,,-3,-2,17,199
-8,22,8,0,,2,-11,32,0,,6,-24,41,127
6,-32,31,0,,1,-10,24,0,,-5,16,16,51
-1,-1,30,0,,11,-41,42,0,,6,-38,38,0
0,-5,21,0,,-5,13,17,0,,-2,6,21,0
7,-46,46,0,,7,-32,37,0,,-5,12,10,0
-9,23,15,0,,8,-24,37,0,,9,-,,
-2,,,,,-7,4,18,0,,38,50,0,
,11,9,0,,7,-24,32,0,,0,0,28,0
3,-36,51,0,,1,0,25,0,,0,-18,24,0
-8,16,22,0,,-8,8,16,0,,8,-41,46,0
5,-24,31,0,,9,-29,43,0,,-5,16,14,0
6,-43,52,0,,2,-4,24,0,,6,-33,38,0
-10,26,5,2,,-2,-20,31,2,,5,-26,44,0
11,-45,47,74,,7,-11,31,62,,-9,15,10,0
-10,25,13,121,,-5,8,13,111,,3,-22,24,0
9,-42,44,177,,10,-38,46,162,,-1,-5,36,0
1,-23,46,247,,-3,11,16,234,,0,-3,16,0
-4,7,8,309,,8,-38,42,309,,7,-42,47,0
7,-34,47,352,,1,6,23,346,,-9,26,13,0
-7,18,10,369,,-6,6,13,36,,-6,11,8,0
9,-38,46,377,,7,,,,,7,-37,49,13
-4,5,31,374,,12,-38,48,375,,-7,16,23,87
2,-14,20,368,,-6,17,12,372,,7,-29,31,130
0,-10,39,338,,9,-42,45,367,,-5,3,33,174
-2,1,15,272,,-7,16,16,345,,3,-14,17,248
3,-22,43,204,,7,-41,42,272,,0,-16,43,315
-9,23,17,133,,-5,15,17,210,,-11,32,8,357
