x 2fases 1,y 2fases 1,z 2fases 1,i 2fases 1,,x 2fases 5,y 2fases 5,z 2fases 5,i 2fases 5
7,-47,23,288,,1,11,24,0
9,-38,24,350,,,,,
12,-31,30,402,,-4,-14,23,0
-1,-19,27,436,,8,-24,25,0
4,4,3,,,6,-25,18,7
5,490,,,,5,-47,30,99
-2,5,31,545,,8,-35,14,198
0,28,32,555,,7,-47,16,298
-4,30,25,495,,9,-41,37,360
-6,4,43,432,,6,-24,9,408
0,25,19,368,,8,-24,54,432
-7,-15,33,320,,2,16,6,481
6,-13,21,238,,-3,-25,50,540
1,-28,26,93,,1,51,16,567
0,-31,15,0,,-7,-4,49,510
8,-48,29,0,,-4,35,21,440
1,-51,32,0,,-6,0,36,375
13,-39,19,0,,-9,-30,51,326
3,-34,28,0,,2,10,8,261
-3,-28,22,0,,0,-40,33,120
10,-9,34,0,,9,-27,19,0
-7,-2,36,0,,5,-25,15,0
-4,4,40,0,,6,-58,37,0
-2,30,22,0,,9,-22,12,0
-11,14,38,0,,7,-26,10,0
-4,26,29,0,,7,-31,47,0
-2,35,17,0,,6,1,19,0
-12,-5,43,0,,0,-18,50,0
2,8,16,0,,-4,-6,56,0
-5,-12,25,0,,-2,33,10,0
-2,-27,23,0,,-7,8,56,0
7,-30,21,62,,-5,40,23,0
-2,-45,31,172,,-5,,,
10,-37,23,266,,,37,16,0
5,-36,26,343,,-10,0,47,0
6,-25,,,,-3,15,12,0
,28,391,,,-7,-14,27,0
0,-15,26,433,,0,-20,27,0
-1,-2,47,490,,2,-24,18,26
1,24,15,548,,0,-42,27,125
-8,1,42,560,,8,-40,27,225
-4,39,24,514,,6,-36,19,309
-7,6,41,441,,9,-32,37,373
-8,26,24,375,,0,-15,15,418
1,29,7,315,,3,-14,52,456
-8,-30,41,255,,-4,23,23,520
6,-5,11,133,,-2,-7,43,562
0,-43,30,3,,-7,40,24,545
2,-43,30,0,,-7,6,40,480
10,-35,17,0,,-5,27,24,403
5,-52,32,0,,-5,30,16,344
9,-39,32,0,,-2,-20,37,277
5,-19,16,0,,-3,-5,17,178
3,-34,35,0,,5,-37,24,31
4,8,26,0,,7,-38,27,0
2,18,13,0,,4,-33,22,0
-3,-6,53,0,,10,-52,28,0
3,29,28,0,,8,-28,26,0
-8,13,37,0,,8,-21,16,0
-8,2,51,0,,8,-28,39,0
-1,30,12,0,,4,7,29,0
-4,6,30,0,,3,3,35,0
2,-8,27,0,,0,4,34,0
2,0,13,0,,-4,16,32,0
3,-32,32,0,,-5,19,35,0
4,-40,28,29,,0,22,24,0
5,-38,21,128,,-5,10,37,0
14,-49,25,248,,-2,9,28,0
8,-40,27,322,,2,3,22,
9,-30,21,,,,0,,
,386,,,,-3,-18,23,0
10,-35,35,415,,4,-24,28,0
2,-5,24,456,,7,-31,18,25
1,2,39,510,,8,-47,33,127
-3,13,28,558,,13,-41,27,241
-3,28,32,534,,7,-50,18,324
-2,22,28,459,,11,-32,35,387
-8,10,41,390,,3,-26,12,424
0,15,23,332,,6,-9,54,457
-7,-16,28,289,,1,15,6,504
7,-24,20,160,,-5,-28,54,555
-2,-37,24,7,,0,62,11,547
5,-27,13,0,,-7,-13,53,471
5,-56,35,0,,-5,40,17,400
7,-36,16,0,,-7,-13,35,344
12,-34,18,0,,0,-7,26,289
6,0,35,0,,3,-16,17,174
-5,4,30,0,,-3,-51,33,18
-5,4,30,0,,10,-22,17,0
-6,1,34,0,,4,-52,25,0
-3,11,38,0,,9,-38,30,0
1,33,29,0,,10,-12,9,0
-11,10,41,0,,0,-49,44,0
-10,7,47,0,,8,-23,44,0
-3,34,15,0,,-3,8,18,0
-11,-14,40,0,,-2,-19,56,0
-1,1,23,0,,1,41,13,0
-2,-19,26,0,,-11,1,51,0
0,-30,22,0,,-8,8,52,0
10,-22,14,93,,-,,,
-1,-50,31,201,,8,36,14,0
10,-35,20,286,,-11,4,42,0
4,-36,28,363,,1,12,23,0
9,-20,31,400,,-3,8,16,0
-3,-10,29,454,,-3,-30,35,0
-2,,,,,0,-27,24,0
,5,44,512,,1,-28,18,98
3,32,17,561,,11,-49,35,207
-13,1,49,552,,6,-26,17,288
-1,41,19,486,,5,-45,35,354
-11,2,43,409,,9,-29,37,406
-4,22,19,344,,0,-11,17,447
5,17,8,293,,0,-5,51,501
-8,-32,43,200,,-2,23,15,556
8,-9,8,78,,-4,8,51,569
7,-28,17,0,,-6,44,18,498
5,-47,32,0,,-8,2,43,438
11,-33,16,0,,-3,27,25,358
5,-45,26,0,,-6,-10,28,312
11,-29,32,0,,1,-15,28,219
1,-19,17,0,,3,-21,16,87
2,-36,44,0,,5,-44,29,0
3,24,20,0,,8,-37,27,0
0,19,14,0,,11,-41,19,0
-1,0,55,0,,9,-55,31,0
-1,39,20,0,,9,-20,23,0
-7,8,38,0,,9,-31,32,0
-6,-5,53,0,,7,-25,44,0
0,31,12,0,,1,12,25,0
-6,0,30,0,,-2,2,34,0
3,-14,26,0,,0,18,29,0
3,-7,11,0,,-7,24,30,0
4,-41,30,0,,0,19,29,0
6,-47,30,87,,,,,
4,-36,16,187,,0,15,29,0
11,-56,29,284,,-9,7,32,0
9,-27,24,355,,0,0,25,0
,,,,,2,-7,22,0
,,,,,0,-18,24,0
8,-34,27,401,,6,-31,30,0
0,-10,31,436,,6,-34,16,78
2,8,19,477,,9,-49,33,182
0,-3,42,532,,10,-38,11,284
-6,25,22,555,,7,-53,42,352
0,19,35,508,,11,-24,34,403
0,13,35,439,,2,-27,16,436
-9,20,30,373,,2,2,49,482
2,-7,28,320,,3,10,11,534
-4,-10,20,260,,-5,13,58,560
8,-37,27,114,,-3,67,6,520
3,-44,27,0,,-8,-22,57,442
3,-44,27,0,,-3,46,11,375
6,-27,14,0,,-8,-28,38,330
6,-27,14,0,,0,-1,23,249
12,-31,21,0,,4,-31,19,110
-6,-29,27,0,,-5,-61,36,0
1,-13,28,0,,13,-18,13,0
-8,0,26,0,,2,-61,32,0
-3,6,30,0,,10,-24,22,0
-6,16,36,0,,11,-8,6,0
0,36,28,0,,0,-47,52,0
-11,6,42,0,,9,-8,41,0
-11,11,44,0,,-4,4,23,0
-2,25,18,0,,-4,-21,60,0
-9,-17,39,0,,-2,51,8,0
1,2,20,0,,-9,32,18,0
-1,-29,29,0,,-7,9,50,
-5,-42,33,41,,,0,,
12,-20,14,150,,-3,44,13,0
1,-55,36,249,,-12,-5,42,0
11,-25,16,321,,1,9,20,0
-1,-,,,,-4,4,13,0
38,32,389,,,-4,-22,27,0
10,-8,28,423,,2,-28,23,26
-5,-9,33,486,,0,-32,20,132
-1,16,38,544,,10,-50,34,241
-8,22,24,564,,6,-22,16,316
-8,17,45,513,,6,-43,39,381
0,40,13,439,,10,-22,36,427
-12,-2,47,364,,1,-8,24,468
2,18,16,309,,-3,4,46,523
-6,-26,32,236,,-6,19,19,566
2,-16,18,97,,-5,15,47,548
10,-15,8,0,,-5,32,15,465
-1,-52,34,0,,-9,-3,47,397
13,-33,19,0,,0,25,20,331
9,-34,18,0,,-7,-19,28,282
5,-45,36,0,,4,-16,24,157
10,-7,15,0,,3,-30,19,29
1,-21,23,0,,10,-48,32,0
3,1,46,0,,8,-37,25,0
0,31,14,0,,10,-43,18,0
-4,-10,50,0,,12,-35,38,0
-3,9,50,0,,8,-13,19,0
-4,37,10,0,,9,-32,39,0
-5,-2,45,0,,0,14,26,0
0,25,23,0,,-1,13,22,0
0,27,9,0,,5,6,39,0
-3,-30,40,0,,-2,26,30,0
3,-16,23,0,,-8,31,28,0
6,-26,19,0,,,,,
9,-50,31,89,,,,,
9,-35,23,189,,-2,8,33,0
11,-47,19,290,,0,13,34,0
9,-42,33,35,,-6,3,23,0
8,,,,,3,-12,26,0
6,-23,11,405,,0,-11,20,0
8,-25,48,433,,4,-39,31,0
2,13,16,484,,11,-40,27,77
1,-6,40,538,,5,-42,19,188
-2,27,24,554,,10,-44,26,280
-3,17,36,496,,7,-44,24,358
-3,15,34,424,,9,-18,30,402
-7,16,22,358,,3,-24,22,439
1,-20,34,307,,1,-30,63,487
-6,-12,27,220,,4,41,0,534
7,-28,18,73,,-8,-20,68,559
2,-41,31,0,,0,64,0,519
12,-34,13,0,,2,24,12,452
12,-61,33,0,,-11,1,51,384
4,-29,19,0,,1,16,9,336
11,-35,29,0,,-6,-34,42,276
7,-34,40,0,,9,-5,5,154
2,-3,27,0,,4,-45,24,19
5,1,36,0,,9,-34,28,0
-3,10,28,0,,11,-22,15,0
-8,12,37,0,,2,-62,34,0
-1,35,27,0,,13,-15,16,0
-14,6,46,0,,8,-13,8,0
-10,18,38,0,,4,-36,56,0
0,10,21,0,,-2,28,8,0
-10,-22,41,0,,-3,-2,30,0
3,3,16,0,,-3,24,38,0
3,-13,12,0,,-4,54,4,0
-6,-44,31,66,,-9,-10,62,
13,-26,14,174,,0,,,
3,-56,39,266,,-8,15,43,0
12,-16,13,339,,-7,24,20,0
,,,,,-2,-16,36,0
,,,,,0,8,14,0
-5,-42,38,397,,-2,-31,30,0
10,4,24,429,,-2,-40,34,21
1,7,21,488,,7,-22,16,129
-5,-5,51,547,,6,-52,32,234
-2,42,12,569,,10,-28,22,308
-11,-1,56,505,,2,-36,26,381
-2,41,8,438,,9,-14,35,415
-4,22,23,360,,0,-7,28,465
-8,-3,37,309,,-1,-16,55,528
1,-6,15,242,,0,39,10,568
-4,-32,34,91,,-8,-2,57,548
13,-23,13,0,,-3,46,9,473
2,-46,28,0,,-11,-9,48,400
10,-40,26,0,,2,21,16,336
9,-34,21,0,,-2,4,15,295
3,-44,31,0,,0,-29,36,178
14,-12,27,0,,4,-19,13,49
0,-18,32,0,,7,-48,29,0
1,-17,53,0,,13,-47,32,0
1,33,11,0,,8,-32,18,0
-1,11,23,0,,8,-42,20,0
-5,19,43,0,,11,-28,36,0
-3,49,8,0,,4,-16,17,0
-8,-10,52,0,,9,-24,44,0
0,25,15,0,,0,20,23,0
0,16,8,0,,-2,13,23,0
-4,-22,31,0,,0,12,40,0
6,-17,22,0,,-6,33,25,0
5,-35,22,24,,,,,
3,-50,32,124,,-4,8,34,0
8,-38,19,226,,0,2,39,0
12,-51,23,310,,-8,16,23,0
10,-29,32,381,,-4,-6,22,0
4,-25,16,412,,4,-17,25,0
3,-9,46,,,0,-31,22,0
,453,,,,7,-46,33,44
0,12,18,509,,5,-34,12,159
1,-10,48,555,,8,-57,36,258
-6,40,19,531,,12,-29,12,339
-2,5,41,469,,2,-43,45,399
-5,24,30,398,,9,-11,29,424
-4,1,21,344,,1,-18,31,471
3,-26,36,291,,-1,20,35,526
-3,-4,16,186,,0,6,27,564
6,-44,24,43,,-9,31,42,535
2,-33,27,0,,3,57,-3,463
3,-23,8,0,,-12,-23,63,385
9,-67,41,0,,3,35,4,337
6,-46,34,0,,-7,-40,41,288
6,-24,12,0,,5,-3,12,145
4,-26,41,0,,11,-17,9,17
-3,-2,24,0,,-1,-55,36,0
1,1,40,0,,11,-28,13,0
1,10,32,0,,2,-57,35,0
-6,17,28,0,,5,-38,33,0
-5,26,38,0,,5,-15,13,0
-7,16,32,0,,-2,-37,37,0
-13,12,41,0,,3,18,31,0
1,19,17,0,,-3,-4,36,0
-1,-5,29,0,,-7,-10,60,0
-5,-9,26,0,,-3,54,5,0
5,-28,19,0,,-6,15,33,0
-1,-45,32,56,,-9,21,37,0
11,-21,15,173,,-7,13,22,0
4,-57,37,257,,-,,,
5,-23,16,329,,9,-25,43,0
,,,,,0,4,14,0
,,,,,0,-10,15,0
7,-34,32,389,,-2,-39,31,36
3,-10,34,426,,6,-28,18,142
6,11,26,484,,2,-45,26,243
-4,-5,42,546,,8,-41,29,306
-5,34,26,569,,4,-21,18,385
-5,11,39,509,,8,-32,46,416
-9,26,31,442,,-2,12,15,474
-3,40,9,368,,-1,-11,54,535
-11,-15,46,310,,-4,41,10,572
2,6,9,254,,-7,-2,58,535
-3,-34,36,108,,-5,25,33,456
9,-21,13,0,,-8,16,26,388
11,-32,18,0,,-1,1,35,327
3,-48,32,0,,-3,-5,19,277
13,-31,18,0,,2,-29,31,138
9,-34,25,0,,5,-27,16,20
7,-27,35,0,,3,-41,23,0
2,-5,19,0,,11,-47,31,0
0,-15,40,0,,8,-31,19,0
0,22,29,0,,9,-40,23,0
4,33,9,0,,9,-22,34,0
-2,7,32,0,,2,-8,14,0
-7,29,36,0,,7,-16,49,0
0,45,5,0,,0,6,40,0
-8,-14,56,0,,-2,11,26,0
-5,3,38,0,,-3,20,38,0
2,0,13,0,,-5,40,18,0
-4,-31,37,0,,-4,22,23,0
7,-19,16,0,,-1,4,39,0
4,-44,25,65,,0,22,2,
7,-50,31,168,,6,0,,
8,-40,18,260,,-3,-18,25,0
10,-49,30,33,,6,-14,21,0
4,,,,,4,-16,13,0
10,-19,27,397,,9,-48,37,73
7,-28,24,422,,5,-35,9,178
0,8,38,472,,5,-52,25,273
0,27,11,530,,14,-34,23,350
0,-7,54,560,,2,-43,29,406
-6,47,11,516,,12,-2,28,429
-2,-9,50,447,,-2,-18,36,485
-4,6,46,384,,1,27,27,537
-7,20,13,331,,-4,5,35,561
2,-32,41,268,,-12,-9,69,510
1,-4,9,164,,4,51,-2,441
6,-54,30,24,,-13,-21,59,366
10,-48,38,0,,5,24,3,325
6,-31,9,0,,-6,-39,40,248
12,-59,26,0,,6,-13,11,88
7,-29,26,0,,11,-28,15,0
4,-31,21,0,,1,-49,33,0
11,-38,47,0,,11,-35,15,0
-4,10,20,0,,7,-45,21,0
1,-1,41,0,,6,-31,32,0
0,17,32,0,,2,-15,17,0
-8,28,27,0,,-3,-28,42,0
-4,19,38,0,,0,24,26,0
-8,22,30,0,,1,27,9,0
-14,16,38,0,,-9,-2,59,0
3,4,21,0,,-4,40,29,0
-3,-12,29,0,,-8,,,
-2,-11,21,0,,,7,40,0
7,-35,24,10,,-14,-6,59,0
-3,-44,32,123,,-2,37,5,0
11,-29,16,230,,-5,-3,26,0
5,-52,37,309,,-2,-13,31,0
5,,,,,1,-18,17,0
-18,14,375,,,-3,-41,31,55
4,-33,35,412,,10,-28,20,170
1,-1,34,456,,6,-46,26,262
0,9,25,516,,8,-35,29,325
-5,0,42,560,,1,-21,18,396
-7,38,24,556,,9,-26,47,428
-5,8,42,481,,-2,18,15,487
-10,29,23,411,,-1,-4,38,545
-3,2,30,338,,-1,30,31,573
-9,-19,42,293,,-9,12,36,520
4,-3,14,195,,-6,27,27,446
-3,-36,32,42,,-7,9,32,378
10,-27,16,0,,-1,0,28,326
10,-40,21,0,,-1,6,13,273
5,-45,30,0,,-1,-29,31,125
14,-29,21,0,,8,-29,18,5
0,-34,32,0,,5,-39,24,0
7,-21,35,0,,10,-46,29,0
2,0,22,0,,7,-38,26,0
-1,-9,41,0,,9,-29,16,0
1,28,25,0,,10,-37,38,0
-6,32,25,0,,2,-4,17,0
0,37,9,0,,5,-9,31,0
0,37,9,0,,-1,12,36,0
-4,6,35,0,,0,24,16,0
-8,-13,52,0,,-2,5,45,0
-3,3,28,0,,-4,29,3,
1,-12,21,0,,2,0,,
-2,-31,36,0,,-6,13,31,0
7,-28,15,29,,-6,-6,45,0
6,-44,24,136,,-1,17,17,0
10,-47,29,242,,0,-27,29,0
11,-36,16,328,,5,-27,35,0
,,,,,2,-24,15,1
8,-39,39,385,,0,-49,29,88
5,-12,8,415,,11,-35,17,202
7,-25,35,454,,6,-58,29,293
-3,19,31,517,,15,-23,20,366
0,0,31,558,,-2,-44,33,415
-5,34,30,534,,11,8,23,440
-2,42,8,463,,-4,-18,39,502
-6,-9,55,398,,4,36,24,549
-3,31,12,331,,4,49,3,559
0,-32,35,294,,-12,-10,64,492
2,-11,19,173,,3,47,1,429
3,-42,20,29,,-12,-23,54,357
9,-52,33,0,,6,15,8,316
3,-31,16,0,,1,-15,21,238
8,-42,14,0,,-3,-32,27,64
9,-48,38,0,,10,-32,16,0
0,-17,9,0,,3,-50,34,0
6,-34,33,0,,11,-40,26,0
-1,5,30,0,,7,-38,22,0
-5,13,19,0,,5,-29,32,0
2,5,42,0,,11,-8,20,0
-2,29,30,0,,-3,-20,45,0
-9,16,40,0,,2,26,23,0
-4,11,40,0,,0,29,12,0
-9,27,27,0,,-10,1,43,0
-13,9,33,0,,-3,39,25,0
4,-5,24,0,,-10,8,41,0
-3,-13,29,0,,-14,1,51,0
-2,-19,20,0,,0,22,,
7,-39,27,69,,12,0,,
3,-33,21,177,,-6,-11,29,0
13,-38,18,264,,-3,-14,25,0
6,-41,33,,,4,-26,21,0
,343,,,,-3,-38,27,91
6,-19,19,392,,10,-35,25,201
1,-26,35,429,,5,-40,25,289
-1,5,35,485,,8,-34,29,349
2,13,28,547,,0,-18,19,409
-8,5,43,561,,7,-19,51,442
-4,39,23,519,,-2,12,29,507
-9,4,44,446,,-2,-2,38,557
-8,30,19,380,,-5,34,28,564
-2,-11,35,305,,-6,10,39,495
-5,-7,23,249,,-7,26,25,421
7,-10,12,108,,-7,5,31,357
-3,-40,31,0,,-6,-18,41,300
13,-30,19,0,,0,-1,15,223
4,-48,32,0,,1,-31,27,69
3,-40,29,0,,8,-35,24,0
14,-25,24,0,,6,-33,20,0
-4,-5,44,0,,9,-50,30,0
-7,3,44,0,,9,-31,26,0
-7,3,44,0,,9,-22,13,0
3,32,21,0,,8,-35,44,0
3,32,21,0,,5,-12,32,0
-1,32,16,0,,4,-4,34,0
-10,5,51,0,,-3,-7,51,0
-3,29,23,0,,1,26,14,0
-9,-3,34,0,,-3,9,34,0
-8,-12,45,0,,-2,31,27,0
5,1,10,0,,-6,6,36,0
0,-18,23,0,,-6,-6,45,0
4,-37,27,6,,,,,
10,-34,21,104,,,,,
6,-41,22,217,,0,9,13,0
9,-52,32,292,,-3,-13,15,0
12,,,,,6,-28,32,0
,-29,12,369,,8,-18,16,15
7,-35,45,403,,3,-51,31,110
5,-4,10,440,,10,-36,13,228
-1,-8,56,499,,7,-58,32,309
3,26,6,548,,14,-14,19,380
-3,2,38,554,,-2,-43,39,423
-3,36,25,487,,10,21,20,459
-5,2,39,421,,3,16,9,507
-6,-4,50,363,,-5,-7,58,556
-1,16,10,310,,0,48,7,554
1,-32,36,223,,-8,-2,45,486
5,-16,16,82,,-3,33,20,416
4,-47,22,0,,-4,-2,36,350
11,-50,34,0,,-2,-4,25,308
4,-36,14,0,,1,-18,21,211
10,-54,33,0,,-1,-41,26,43
11,-34,36,0,,10,-31,15,0
-1,-20,16,0,,0,-52,30,0
6,-11,47,0,,10,-39,25,0
-3,17,22,0,,5,-35,19,0
-2,-2,40,0,,-2,-46,35,0
-3,40,26,0,,10,1,21,0
-9,30,26,0,,-2,0,22,0
-6,12,39,0,,-3,-3,52,0
-3,32,20,0,,3,33,19,0
-11,-5,33,0,,-13,2,46,0
4,-6,25,0,,-10,7,55,0
-3,-13,25,0,,-2,38,13,0
-2,-28,20,1,,-13,-1,48,0
7,-39,26,94,,-,,,
-3,-44,28,208,,3,16,21,0
12,-38,21,283,,-7,-16,28,0
3,,,,,0,-20,24,0
-35,33,364,,,6,-16,11,16
8,-17,23,401,,-1,-41,30,117
-2,-17,35,452,,9,-38,26,226
-1,11,33,519,,5,-38,23,306
0,15,30,567,,10,-30,32,373
-14,8,47,549,,0,-16,19,418
0,37,19,483,,4,-26,44,460
-12,5,45,406,,-3,23,24,525
-4,24,16,345,,-6,-6,42,566
-5,-20,36,281,,-5,40,24,546
-2,-9,18,178,,-8,7,41,474
7,-35,25,36,,-8,27,24,403
-4,-42,32,0,,-3,31,12,339
15,-35,20,0,,-5,-24,37,278
3,-44,32,0,,2,-4,17,177
2,-37,26,0,,1,-38,27,32
14,-23,24,0,,8,-37,26,0
0,-23,36,0,,8,-32,18,0
8,-7,38,0,,8,-53,30,0
0,9,26,0,,12,-24,26,0
-7,-3,43,0,,7,-17,12,0
1,34,20,0,,7,-32,46,0
-1,31,18,0,,4,-2,29,0
-8,7,46,0,,0,-2,36,0
-3,25,24,0,,-2,-4,50,0
-5,-3,35,0,,-2,30,18,0
-7,-17,36,0,,-7,13,,
6,-6,13,0,,37,0,,
3,-19,20,0,,0,25,24,0
4,-45,30,53,,-7,3,37,0
9,-32,15,158,,-4,-6,39,0
7,-42,19,256,,-2,0,13,0
9,-52,34,,,-2,-17,18,0
,325,,,,7,-32,29,0
10,-24,9,391,,8,-27,15,67
7,-32,47,412,,8,-49,32,166
5,6,11,456,,10,-39,13,273
0,-14,47,517,,6,-54,36,339
3,30,16,559,,13,-11,15,400
-6,4,45,536,,1,-38,45,432
0,32,24,466,,5,27,17,478
-3,29,14,392,,2,12,13,533
-6,-3,42,343,,-3,4,56,561
0,2,12,300,,0,42,8,532
2,-32,37,192,,-8,-10,48,459
5,-23,16,54,,-3,39,18,389
2,-34,13,0,,-7,-16,36,336
12,-51,35,0,,0,-3,22,276
4,-35,13,0,,5,-27,20,149
8,-45,18,0,,1,-40,27,4
9,-26,34,0,,15,-18,15,0
1,-10,13,0,,0,-59,32,0
7,-25,48,0,,11,-31,21,0
-4,24,16,0,,14,-20,14,0
-5,12,20,0,,-3,-43,40,0
-2,24,45,0,,7,12,19,0
-5,43,20,0,,-3,1,25,0
-10,-1,46,0,,-1,3,46,0
-2,34,18,0,,4,41,16,0
-8,11,24,0,,-12,2,50,0
0,-14,30,0,,-,,,
3,-7,21,0,,8,6,52,0
-5,-32,27,0,,-6,39,15,0
13,-30,18,97,,-12,6,41,0
6,-42,27,199,,1,6,20,0
6,-39,25,283,,1,7,13,0
11,-33,27,358,,-6,-16,25,0
-5,-26,26,402,,0,-27,24,0
9,-8,,,,4,-29,19,94
,31,441,,,-2,-46,30,197
-7,0,42,502,,9,-39,25,281
4,27,21,555,,4,-34,23,351
-7,17,32,555,,10,-25,35,403
-9,24,36,496,,-1,-11,20,451
-3,21,27,414,,-1,-3,51,513
-16,10,35,350,,-1,24,12,562
6,-2,18,289,,-8,8,56,565
-9,-25,36,200,,-3,39,10,490
3,-13,14,52,,-8,0,44,428
5,-41,29,0,,-4,27,23,355
7,-34,24,0,,-6,-13,28,302
15,-36,17,0,,0,-15,28,210
1,-43,32,0,,5,-21,17,65
15,-20,23,0,,6,-48,32,0
13,-18,23,0,,10,-34,24,0
0,-19,43,0,,8,-43,20,0
2,20,18,0,,7,-55,35,0
-1,9,25,0,,13,-14,19,0
-3,16,42,0,,4,-35,37,0
0,40,17,0,,7,-25,49,0
-8,3,47,0,,1,17,16,0
-10,3,45,0,,-4,-4,41,0
2,19,14,0,,2,28,24,0
-5,-12,30,0,,-5,32,17,0
2,-12,24,0,,-4,8,42,0
8,-7,14,0,,0,21,25,0
0,-49,31,40,,-8,2,,
12,-34,20,146,,33,0,,
8,-50,21,252,,-3,-10,34,0
8,-63,41,316,,0,-6,13,0
14,-12,10,392,,2,-37,34,0
2,-47,47,4,,9,-37,28,39
12,,,,,1,-43,17,138
5,16,10,462,,12,-46,28,247
-2,-16,54,526,,8,-44,21,328
2,39,11,561,,10,-24,32,391
-7,2,48,526,,1,-25,21,427
-3,4,51,458,,0,-28,48,465
-3,31,14,381,,3,29,13,518
-3,-12,41,336,,-8,-16,52,561
-3,-4,13,276,,0,56,12,533
3,-34,31,133,,-7,-15,52,454
6,-30,19,6,,-2,41,13,388
2,-35,13,0,,4,25,8,336
12,-54,34,0,,-9,-35,43,283
6,-47,27,0,,9,1,4,185
6,-38,16,0,,-6,-61,39,29
8,-23,33,0,,5,-33,26,0
0,-11,17,0,,6,-44,19,0
4,-13,48,0,,4,-51,33,0
0,10,37,0,,13,-21,16,0
-8,11,27,0,,-2,-40,28,0
-5,7,49,0,,9,-4,38,0
-2,35,19,0,,3,21,16,0
-11,14,32,0,,-7,-17,52,0
-2,22,27,0,,0,12,43,0
-10,-6,31,0,,-6,34,20,0
-9,-17,34,0,,-,,,
6,-16,19,0,,11,-4,54,0
-5,-36,28,33,,-5,43,16,0
15,-32,19,149,,-12,-7,41,0
-1,-49,34,254,,-8,-19,43,0
14,-26,,,,1,7,12,0
,14,321,,,-4,-24,31,0
-5,-36,36,394,,1,-27,21,31
13,-3,24,423,,2,-35,21,134
5,-7,34,483,,9,-48,33,237
-8,6,38,543,,11,-32,21,313
3,27,23,571,,1,-36,26,378
-13,13,46,517,,10,-18,32,422
0,31,18,451,,-1,-8,25,473
-5,16,30,372,,-2,7,46,531
-10,6,27,324,,-6,22,19,568
3,-13,24,248,,-9,15,50,544
-6,-21,29,109,,-3,33,11,459
15,-30,17,0,,-10,-6,48,388
1,-46,32,0,,0,27,19,328
10,-34,19,0,,-7,-22,31,271
9,-44,30,0,,2,-15,24,141
1,-37,31,0,,4,-31,17,8
15,-16,25,0,,9,-47,34,0
-3,-19,36,0,,12,-34,23,0
0,-8,44,0,,6,-44,23,0
2,23,17,0,,5,-53,38,0
-2,9,29,0,,11,-9,12,0
-5,23,40,0,,6,-34,46,0
0,41,14,0,,6,-14,51,0
-9,-3,48,0,,-3,17,16,0
-9,5,43,0,,-5,-8,45,0
3,12,12,0,,-1,35,20,0
-5,-23,32,0,,,,,
5,-12,22,0,,,,,
4,-36,22,8,,-5,8,38,0
0,-55,35,105,,-2,0,47,0
13,-31,15,219,,-1,22,28,0
7,-57,29,3,,-9,-5,28,0
0,,,,,3,-11,23,0
11,-25,27,370,,1,-8,10,0
3,-33,20,412,,2,-44,36,0
6,-6,43,439,,12,-39,28,99
4,28,3,488,,2,-45,18,202
-3,-20,61,550,,11,-48,25,290
-1,50,3,550,,9,-39,24,365
-4,-8,55,486,,10,-20,32,405
-3,37,14,409,,1,-21,26,447
0,31,12,346,,0,10,39,495
0,-23,42,304,,6,28,12,546
-1,-5,9,225,,-8,-6,55,556
3,-43,32,72,,1,51,12,501
8,-41,30,0,,-10,-15,54,417
3,-37,13,0,,2,37,7,369
10,-57,37,0,,4,4,14,322
7,-40,27,0,,-6,-25,38,244
6,-36,18,0,,11,-16,9,105
10,-38,41,0,,-7,-56,34,0
-2,-2,17,0,,16,-26,12,0
2,-9,50,0,,6,-55,27,0
1,16,32,0,,6,-36,26,0
-9,14,33,0,,15,-15,16,0
-5,10,50,0,,-5,-40,33,0
-4,30,21,0,,8,9,33,0
-14,14,36,0,,2,22,18,0
0,16,24,0,,-8,-12,55,0
-11,-15,32,0,,-3,24,40,0
-6,-34,25,32,,-6,25,24,0
-6,-34,25,58,,-10,11,44,0
9,-24,13,99,,-2,48,9,0
14,-41,23,205,,,,,
-1,-43,31,3,,-12,-19,46,0
0,,,,,1,6,15,0
15,-23,17,364,,6,-27,18,13
-7,-32,39,411,,6,-27,18,40
11,4,25,448,,12,-19,14,99
-8,-3,42,521,,2,-42,26,197
-8,13,34,562,,8,-44,31,284
-1,28,26,542,,8,-21,18,356
-14,15,46,468,,2,-37,40,403
-2,29,18,389,,3,8,16,437
-14,-3,39,326,,-2,-7,32,494
6,0,15,274,,-1,16,38,550
2,-19,27,163,,-8,19,24,562
-4,-23,24,15,,-8,18,45,513
14,-37,20,0,,-4,28,16,432
1,-40,28,0,,-13,-11,51,356
13,-35,18,0,,0,7,11,309
7,-38,33,0,,-6,-29,34,226
6,-21,24,0,,6,-15,19,84
15,-16,26,0,,3,-39,22,0
-3,-11,36,0,,1,-51,34,0
2,18,30,0,,12,-35,21,0
2,24,19,0,,5,-44,24,0
-9,7,50,0,,7,-48,40,0
-5,27,34,0,,7,-5,11,0
-3,16,26,0,,2,-15,18,0
-9,-7,50,0,,4,-4,49,0
4,20,13,0,,1,28,15,0
1,0,16,0,,-1,-9,47,0
-3,-30,35,0,,0,8,49,0
8,-16,16,0,,-5,36,11,0
3,-44,24,80,,-6,0,42,0
11,-44,30,187,,0,24,25,
10,-37,13,286,,,0,,
7,-50,44,349,,-4,22,12,0
9,-7,1,397,,2,-28,38,0
