x Desb 5,x Desb 4 ,x Desb 3,x Desb 2 ,z Desb 5 ,z Desb 4,z Desb 3 ,z Desb 2 
17,17,4,5,32,74,-29,-24
10,12,1,9,6,-4,44,41
11,16,1,0,30,69,23,-30
4,12,-18,0,-9,-5,-17,32
11,15,-19,-3,35,1,27,-32
4,20,-36,-2,-16,59,-34,25
8,17,-44,1,32,-8,2,-13
3,23,-41,-1,-20,56,-16,19
3,14,-48,-4,-15,22,-22,1
16,14,-37,-11,39,16,-8,-22
6,9,-42,-17,-17,25,-29,30
3,2,-32,-30,20,-17,9,-25
-3,13,-39,-33,4,35,-26,14
-12,2,-35,-42,-26,-6,9,-33
-18,1,-38,-41,28,-22,-3,0
-30,14,-34,-39,-33,39,18,-30
-40,-2,-31,-41,12,-34,14,-37
-44,5,-33,-32,-39,5,22,14
-46,12,-24,-42,-7,19,40,-32
-38,5,-36,-35,0,-17,19,24
-4,9,-16,-38,,41,55,-17
0,-10,-24,-29,-42,-24,27,35
-33,-15,-4,-28,9,25,78,34
-32,-28,-14,-32,-35,-19,31,6
-31,-37,10,-19,17,8,84,61
-31,-44,1,-26,5,-29,35,
-38,68,4,,3,,68,24
-27,-53,20,-26,24,-13,92,44
-37,-44,18,-16,5,-43,3,44
-24,-32,9,-16,40,5,,48
-36,-37,31,0,14,-34,99,66
-25,-37,42,-9,49,12,82,32
-25,-33,32,9,18,-15,65,81
-16,-35,39,4,68,25,102,43
-15,-33,51,18,30,4,58,80
-17,-38,37,31,51,-9,88,91
2,-25,56,21,64,49,57,46
-2,-36,44,44,48,8,42,102
14,-37,45,32,80,26,93,48
12,-24,49,47,47,42,58,103
30,-29,28,41,92,32,53,45
32,-10,45,44,51,63,61,100
33,-14,17,45,89,32,37,40
49,-11,18,32,78,72,77,84
44,0,20,53,55,43,11,75
47,-7,6,28,100,38,56,38
51,14,20,30,47,85,16,67
43,15,6,24,59,55,41,24
49,12,19,13,83,74,20,59
36,26,6,23,38,99,22,26
33,33,17,9,68,46,34,38
35,43,10,12,44,108,3,58
14,48,15,17,46,52,40,10
26,46,10,8,50,105,-15,43
16,54,12,14,,48,47,41
14,45,7,8,0,47,-22,1
15,51,2,16,64,93,15,51
15,41,7,16,6,,5,
11,,-3,35,18,373,-3,0
17,37,5,7,47,88,43,26
15,30,0,16,11,15,-31,18
18,17,-2,12,43,75,-19,-19
14,23,10,13,8,15,36,24
17,10,2,2,38,59,,-7
11,11,14,4,0,15,0,34
10,15,1,2,32,-9,43,-18
7,20,-2,-3,0,74,-4,16
5,13,-22,0,2,-14,5,-11
11,19,-18,-10,28,65,34,2
2,18,-31,3,-18,-7,-37,9
10,15,-40,-4,32,7,16,-6
3,20,-40,1,-19,46,-39,26
14,12,-46,-6,38,-9,1,-14
7,15,-39,-19,-17,31,-30,20
4,8,-40,-26,-3,8,-46,-11
2,6,-31,-36,31,11,16,-2
-8,14,-41,-39,-13,44,-12,-10
-21,0,-36,-47,14,-25,17,-17
