x Desb 5,x Desb 4 ,x Desb 3,x Desb 2 ,z Desb 5 ,z Desb 4,z Desb 3 ,z Desb 2 
12,21,12,12,30,80,36,17
18,18,0,12,32,1,-16,24
16,8,4,6,6,28,23,0
16,15,4,10,55,47,-5,27
13,10,0,-1,-4,8,7,-19
8,13,,12,32,56,,36
8,13,6,-9,1,9,31,-32
3,14,0,5,-36,35,-26,30
3,18,1,-8,-36,56,-1,-35
1,14,13,9,-12,-10,25,39
9,20,3,-1,42,50,-13,19
5,13,-3,-14,-26,-3,25,-19
5,11,-13,-14,-14,-3,-12,-19
17,13,-25,-29,45,41,11,-14
7,5,-21,-20,-9,-20,28,20
-4,7,-41,-30,23,27,-30,-18
0,9,-39,-46,38,0,10,4
-19,3,-46,-40,-36,-23,-46,-28
-20,10,-36,-51,32,37,7,-12
-38,4,-36,-30,-42,-28,-34,-15
,15,-37,-44,,46,8,-12
-42,3,-37,-34,10,-19,-24,15
-44,-5,-42,-37,-3,31,8,-27
-50,-16,-32,-38,-42,-28,7,22
-34,-29,-39,-31,6,16,13,-4
-42,-29,-29,-37,-39,-21,25,31
-26,,-36,-2,11,,12,
-31,-48,-23,7,-17,-5,53,42
-22,-40,-32,-29,28,-21,12,5
-34,-54,-16,-21,-15,-26,67,60
-27,-35,-22,-24,37,-7,20,14
-32,-45,1,-14,-9,-27,81,69
-30,-30,-2,-14,46,8,56,24
-29,-37,-8,-4,15,-29,30,77
-35,-25,,2,43,30,,73
-23,-29,,0,33,6,,38
-25,-36,10,15,45,17,88,86
-7,-30,5,9,58,23,34,36
-15,-36,9,17,48,-10,50,72
10,-28,20,31,72,51,87,69
2,-32,23,32,39,13,45,79
10,-32,30,44,83,51,95,79
23,-20,43,40,84,56,96,44
16,-31,36,44,50,19,52,104
23,-10,50,46,86,72,105,46
40,-14,50,35,64,32,66,56
37,-13,39,48,88,60,83,88
47,9,55,31,108,55,57,34
46,1,48,40,50,36,33,87
45,15,43,40,100,84,96,46
49,25,40,24,39,65,24,51
38,16,23,33,,65,46,59
20,41,37,12,0,85,63,18
48,34,19,18,83,63,32,54
34,53,14,17,33,98,62,20
28,45,12,15,79,,3,47
36,0,14,20,26,366,64,
23,42,15,,69,86,1,73
21,56,11,3,79,66,56,-15
17,38,12,8,6,63,-10,22
10,50,14,14,67,72,51,36
17,30,15,9,-2,43,2,6
11,34,10,19,63,72,41,56
17,22,12,9,-2,22,5,-6
14,30,7,18,51,76,-23,41
17,17,13,3,6,2,49,0
16,15,4,10,31,71,-22,21
14,13,0,5,24,24,4,4
10,9,9,2,7,29,18,2
9,13,-2,4,31,37,-26,18
6,13,2,-8,-13,-7,,-24
11,12,-65,-9,44,52,0,-24
3,18,3,1,-12,3,-19,22
5,12,0,1,20,-6,-21,22
6,20,14,3,-1,53,41,-4
7,11,8,-7,-31,-16,3,16
18,17,-6,4,52,52,7,32
9,12,1,-20,22,21,33,-23
-4,4,-15,-22,-5,0,-25,24
-7,11,-20,-36,22,26,28,-29
-16,4,-23,-46,-29,-22,15,-15
-24,9,-47,-35,20,30,-24,-3
-34,7,-35,-50,-21,-15,3,-31
,1,-49,-31,,-17,-39,0
,17,-32,-31,,44,9,-27
-47,-3,-40,-41,-7,-25,-40,0
-47,0,-30,-36,-24,37,14,-9
-50,,-36,-47,-23,,-35,1
-38,-22,-29,-33,-10,-34,22,30
-40,-24,-33,-32,-40,27,-12,-13
-31,-35,-27,-31,6,-37,40,4
-36,-42,-30,0,-28,8,7,
-30,-43,-32,-26,13,-40,38,35
-32,-34,-26,-33,1,9,35,17
-33,-40,-31,-20,20,-44,31,56
-30,-31,-14,-27,11,15,55,17
-37,-32,-21,-12,21,-35,37,70
-25,-40,-8,-15,37,-9,76,25
-39,-25,-6,0,20,21,37,81
-20,-37,4,1,52,-4,,29
-27,-23,,11,24,42,0,88
-7,-31,14,15,76,8,85,76
-16,-34,9,11,30,29,53,46
6,-27,12,32,85,31,72,91
6,-36,25,31,57,8,90,50
4,-24,21,42,63,60,42,105
17,-20,37,35,92,46,100,45
16,-32,36,37,40,31,51,85
18,-6,33,48,62,65,69,67
40,-12,49,40,85,33,89,74
38,-7,44,47,52,76,48,72
42,7,43,40,103,41,97,32
50,-2,52,44,59,42,47,87
41,21,38,35,54,84,48,30
53,18,47,27,96,45,82,29
43,19,37,31,39,81,31,73
38,44,39,15,77,70,83,15
47,32,27,15,58,79,16,34
30,54,18,18,,85,74,48
9,358,20,11,0,,2,13
32,42,7,19,88,64,27,
29,56,14,-95,15,91,41,0
9,40,11,6,38,42,13,5
24,48,15,4,55,91,51,-6
14,38,10,19,23,24,-11,59
15,28,16,9,54,63,59,-17
11,34,14,21,7,47,-12,62
16,15,10,6,59,41,42,-17
20,33,10,10,-4,56,42,14
17,12,11,11,56,16,34,27
18,16,7,7,-5,60,-12,-7
14,15,1,13,49,4,-15,37
10,10,10,-3,-6,49,34,-22
11,9,-4,11,31,13,-26,38
7,14,,-8,6,-13,,-38
6,17,,6,18,66,,34
12,14,-1,-8,51,-13,7,-34
3,19,4,7,-36,52,1,36
11,17,2,-1,43,47,0,-16
8,12,12,0,26,-12,38,26
3,15,3,1,-12,50,-14,28
15,7,-4,-27,40,-2,-12,-20
6,8,-3,-21,-11,20,30,23
0,8,-20,-41,23,10,-25,-30
0,1,-25,-46,42,-31,11,-5
-19,11,-28,-39,-33,39,-5,-14
-21,4,-47,-52,30,-25,-10,-19
-37,4,-40,-31,-4,0,-14,-8
2,11,-50,-44,,30,-27,-22
-41,-8,-33,-34,10,-16,0,8
-42,-4,-43,-37,2,29,-30,-17
-49,,-31,-41,-42,,11,
-34,-27,-40,,3,-32,-31,0
-41,-22,-32,-32,-40,26,7,1
-25,-40,-35,-34,11,-41,-15,-9
-40,-38,-28,-26,-31,14,42,44
-23,-48,-34,-28,24,-54,-7,3
-35,-34,-25,-34,-14,1,55,31
-27,-36,-30,-20,35,-40,15,43
-33,-39,-25,-27,-4,9,53,27
-33,-29,-19,-13,42,-24,34,64
-29,-40,-13,-15,17,9,56,31
-34,-27,-3,2,40,8,57,78
-23,-34,-8,0,39,-15,30,31
-26,-24,,13,44,45,,92
-7,-35,11,13,59,-8,87,62
-15,-30,12,15,46,50,72,61
8,-24,7,32,75,49,51,79
2,-39,19,32,40,10,86,68
9,-19,24,43,81,60,47,90
22,-24,21,40,85,31,53,49
17,-27,44,42,44,49,98,100
22,-6,33,48,86,49,52,52
39,-14,39,39,66,28,88,88
36,1,49,47,83,81,69,94
47,10,38,34,108,63,79,31
48,-5,49,39,50,53,97,88
45,26,46,32,101,71,41,22
49,24,43,26,40,42,91,44
,24,48,33,,94,61,67
,43,24,16,,57,47,14
38,36,40,18,52,92,64,50
48,57,15,17,83,68,33,28
36,40,18,12,32,80,56,40
28,57,14,17,78,,10,73
35,,14,5,32,374,60,-16
16,35,11,8,15,55,3,
21,52,13,4,75,80,50,0
20,30,10,12,8,35,-6,43
6,33,10,8,66,82,-6,1
17,23,13,16,33,13,44,48
15,24,13,9,23,81,44,-11
15,31,14,20,44,28,-2,49
18,8,3,4,6,45,24,-20
18,12,10,10,51,34,52,20
17,18,3,5,-5,-17,-24,10
14,14,7,0,50,69,40,-3
8,14,8,4,-19,-8,14,22
11,14,-6,-8,48,1,,-24
6,15,,4,-16,57,0,25
8,14,2,-9,39,-14,21,-31
4,20,2,12,-15,58,-18,40
4,17,4,-6,-29,22,21,-22
12,15,12,-8,45,8,34,6
5,13,2,-8,0,34,-18,13
7,8,0,-21,12,-23,35,-22
18,9,-6,-18,49,41,11,23
5,5,-25,-35,-27,-18,-12,-22
1,0,-22,-39,40,-25,20,7
-5,14,-31,-41,26,40,-21,-30
-24,2,-43,-45,-25,-25,3,-8
-24,15,-43,-30,24,48,-28,4
-4,-3,-46,-40,,-29,-13,-33
1,-3,-33,-29,-44,39,-17,14
-39,,-33,-41,15,,14,-28
-45,-22,-38,-32,-52,-34,-31,26
-49,-27,-34,-34,-24,21,19,-10
-37,-34,-32,-40,-9,-34,-7,
-43,-45,-35,2,-26,5,30,0
-28,-42,-31,-24,6,-34,10,39
-40,-50,-31,-32,-24,-9,32,10
-22,-35,-26,-18,25,-19,35,60
-36,-49,-32,-26,-14,-13,32,13
-24,-29,-17,-13,41,-3,56,69
-34,-43,-21,-15,-12,-15,18,23
-24,-25,-8,0,52,27,74,81
-33,-31,0,4,5,-7,76,67
-26,-31,-6,-2,57,31,,44
-26,-31,57,17,21,13,0,83
-18,-35,2,10,64,-9,73,38
-9,-25,8,22,41,57,52,79
-16,-35,7,29,32,6,33,63
5,-39,25,30,86,25,91,85
0,-21,21,44,34,50,43,72
2,-31,22,39,63,25,71,75
24,-4,42,46,70,70,81,107
19,-11,36,43,42,38,49,44
27,-9,43,43,100,69,102,98
40,8,44,49,51,79,51,81
35,-3,41,30,63,36,58,39
52,3,52,39,100,68,90,79
40,25,40,29,57,58,44,27
38,18,39,22,88,71,81,59
55,45,45,28,59,78,44,47
44,34,20,15,41,70,67,26
43,45,32,19,94,103,37,62
42,54,18,14,2,54,55,10
9,45,15,15,,95,37,58
29,75,8,17,53,,25,64
36,55,14,7,60,53,40,-9
30,39,12,,18,76,16,
23,50,13,18,72,56,48,64
26,27,12,7,16,57,-7,-18
3,33,16,9,55,53,54,24
18,18,15,13,16,37,-11,25
10,31,13,9,39,60,52,10
20,21,11,13,27,1,-17,32
12,12,9,5,21,69,42,-10
19,18,9,12,35,66,32,36
16,17,3,0,7,-7,-12,-24
12,13,9,11,42,67,32,38
8,18,4,-8,24,-15,-9,-34
13,15,,4,51,28,,30
11,18,,-1,9,34,,9
0,16,0,-7,11,2,10,-13
4,16,5,8,12,52,29,32
5,13,1,-8,-33,-2,-26,-17
0,11,2,0,36,30,0,33
9,10,11,-13,28,3,24,-2
5,8,-2,-28,-22,-30,-11,4
14,14,-3,-29,40,55,24,0
8,11,-12,-38,-9,17,-10,-30
-4,0,-24,-37,20,-10,8,13
-3,12,-23,-41,40,24,28,-40
-17,4,-41,-37,-35,-10,-30,3
-23,14,-39,-35,31,41,7,-31
-3,-8,-46,-37,,-24,-40,4
5,-3,-38,-32,-42,33,1,12
-44,-24,-39,-43,9,-35,-32,
-43,-24,-36,,3,,2,0
-47,38,-37,-30,-46,369,-18,32
-36,-40,-28,-36,7,-41,31,-12
-39,-41,-37,-27,-45,8,-14,43
-28,-46,-29,-24,12,-49,40,26
-35,-41,-35,-34,-32,6,-5,26
-24,-36,-25,-19,24,-33,55,51
-35,-42,-30,-27,-12,2,14,21
-28,-27,-25,-11,32,-19,55,66
-32,-41,-14,-13,-2,7,68,27
-32,-26,-21,2,38,33,19,83
-32,-33,0,-1,21,-13,85,27
-34,-29,-2,14,37,39,57,89
-22,-31,-3,15,40,-2,51,67
-24,-34,10,13,42,46,88,52
-8,-24,6,32,62,57,35,88
-15,-39,,30,44,6,,57
9,-36,8,46,74,41,48,99
4,-23,27,37,39,36,83,51
8,-28,24,39,83,42,48,92
23,-12,30,47,87,75,91,62
16,-13,40,40,45,27,63,73
22,-2,35,38,84,80,51,55
41,11,47,39,68,69,104,87
36,-2,43,38,52,45,47,66
46,23,39,38,108,80,77,66
45,22,56,27,51,47,69,36
36,23,46,32,69,87,40,70
56,43,43,17,80,61,88,13
38,36,43,17,52,89,32,41
47,55,30,18,83,74,77,38
4,41,34,11,,73,24,28
5,,14,17,39,,66,68
28,58,24,7,71,78,15,-7
37,38,6,0,37,51,41,
15,50,11,14,20,85,51,57
20,34,16,15,73,29,11,48
21,32,9,9,12,85,49,-2
9,25,13,17,60,11,-2,50
21,16,13,9,38,82,44,-11
10,32,17,19,21,31,4,48
18,9,9,8,47,39,40,-19
15,13,14,14,4,36,0,43
20,16,8,0,49,-15,-19,-23
18,12,9,8,0,70,46,31
13,11,6,6,49,-10,-21,25
8,13,0,-8,-16,50,8,-26
11,17,7,3,43,60,13,27
8,15,0,-9,-10,-14,,-32
6,20,8,8,37,56,0,36
9,12,1,-2,38,-18,24,-21
5,16,4,-6,-29,4,-17,-3
11,12,1,-4,43,37,-16,23
8,5,10,-16,1,-17,34,-17
7,10,8,-21,13,39,1,17
15,2,2,-32,49,-12,-20,-14
5,6,0,-42,-26,18,33,0
-3,6,-12,-42,36,0,-20,-21
-6,3,-23,-48,24,-30,-10,-15
-25,16,-26,-33,-24,50,16,-11
-26,-3,-43,-37,23,-28,-27,-34
-40,-3,-40,-31,-45,,7,11
-41,50,-46,-40,13,363,-41,-24
,-19,-35,-35,,-29,8,21
-42,-28,-39,-33,-51,18,-41,-4
-49,-35,-31,,-26,-27,14,
-38,-45,-37,,-7,-4,-31,
-43,-49,-30,-37,-32,-51,25,-1
-28,-36,-35,-23,9,10,-7,40
-38,-39,-32,-30,-26,-42,27,8
-23,-32,-33,-19,28,14,10,60
-35,-31,-30,-22,-16,-28,35,12
-24,-44,-28,-16,41,-16,34,69
-33,-22,-30,-13,-9,30,31,25
-26,-38,-15,-4,49,-10,55,75
-34,-25,-20,4,7,47,35,73
-26,-28,-8,0,52,18,78,37
-24,-40,-6,15,26,20,36,87
-19,-24,-5,10,61,42,32,35
-9,-41,13,18,44,18,86,69
-11,-30,8,30,64,56,,74
8,-26,0,31,59,21,0,72
0,-22,11,44,35,62,70,88
0,-5,24,37,63,75,89,55
23,-16,22,37,71,27,43,55
20,7,37,39,41,83,99,85
28,11,41,39,97,55,84,85
41,0,32,47,55,32,64,93
36,18,53,28,63,90,91,29
50,21,47,43,100,40,55,70
42,31,43,39,54,100,93,49
39,41,53,23,84,49,89,45
54,41,40,29,,104,47,57
6,57,49,16,0,56,83,18
45,44,34,19,41,93,34,55
43,,37,17,92,,72,19
43,58,26,15,28,58,26,52
30,46,15,15,48,35,61,65
36,45,21,2,64,99,13,
14,42,7,8,31,19,48,0
23,27,19,17,69,94,21,58
25,33,7,12,20,9,35,26
4,6,15,10,51,79,44,23
19,28,13,13,23,62,-3,28
9,17,16,7,33,7,53,6
21,14,15,15,33,71,-4,31
12,12,13,8,16,10,45,-8
20,5,12,12,41,41,-14,36
15,14,7,0,3,21,44,-21
15,20,9,8,46,-13,30,32
9,12,1,1,-16,63,-10,4
12,18,8,-8,48,-9,26,-11
6,16,6,-1,-17,47,,15
4,11,1,-8,12,2,0,-19
8,11,-2,9,14,-18,11,35
3,12,5,-5,-7,52,0,-21
8,8,2,0,40,10,-23,37
8,8,8,-12,-20,9,31,8
5,13,12,-28,-13,52,19,-5
14,3,-1,-27,40,-30,-6,11
3,10,-5,-36,-23,36,24,-28
-4,5,-10,-38,20,-20,-7,10
-11,4,-25,-42,1,-17,6,-36
-31,13,-27,-41,-7,44,0,-3
-24,-5,-39,-35,,-32,-29,-24
27,-3,-43,-40,,39,9,-34
-36,-24,-45,-31,-40,-36,-39,15
-45,-27,-40,-43,9,29,0,-27
-44,-48,-37,-31,-40,-31,-30,28
-47,6,-38,-34,-5,,1,
-38,-40,-35,,-28,3,-15,0
-37,-50,-40,-40,-44,-41,0,12
-28,-32,-33,-24,16,9,13,33
-38,-41,-38,-33,-14,-37,6,20
-28,-25,-30,-18,22,15,30,52
-36,-35,-32,-25,-9,-30,9,19
-29,-40,-25,-13,33,1,54,70
-33,-24,-31,-12,1,19,12,23
-33,-40,-15,1,35,2,68,82
-31,-29,-16,4,25,40,35,58
-35,-31,-13,10,35,0,57,88
-21,-34,-2,16,43,42,59,76
-25,-23,-6,13,39,55,29,42
-5,-39,9,33,62,6,47,95
-16,-22,19,31,46,63,,49
9,-23,7,42,75,40,0,106
5,-28,19,39,38,38,86,43
9,-5,29,38,81,63,83,80
23,-11,24,47,87,29,51,72
16,-3,30,44,44,79,88,41
20,11,44,44,84,76,98,97
42,-2,35,40,67,38,53,34
38,8,48,39,48,78,105,44
46,26,48,38,108,51,74,74
47,21,39,29,53,84,73,31
37,45,53,20,66,65,70,63
56,35,39,25,84,81,60,40
39,57,44,15,49,80,87,32
38,40,41,21,85,70,36,49
0,73,28,14,,,71,7
48,56,33,14,44,85,35,62
25,40,14,12,67,46,56,5
32,49,25,1,80,87,24,
18,34,6,6,16,28,39,2
18,24,19,16,74,77,34,52
21,35,3,8,12,28,21,7
10,11,17,12,31,57,32,36
21,34,9,14,44,36,9,9
10,9,12,11,12,38,41,27
20,10,16,11,51,77,10,15
14,19,9,5,2,-11,32,6
19,8,16,10,50,65,4,19
19,8,4,0,-4,49,25,-8
14,19,9,7,51,-2,42,27
9,10,,-1,-11,59,,-9
8,16,6,-6,38,-14,-16,5
9,12,-1,-3,-7,22,9,-2
6,17,8,-7,30,31,8,0
11,13,3,4,38,0,-23,20
3,14,-3,-7,-27,48,23,-9
9,14,5,0,41,-13,-16,29
9,12,1,-13,4,38,-13,-12
7,13,11,-26,11,50,29,14
14,0,2,-20,47,-35,-13,26
7,8,-7,-37,-23,40,7,-31
-6,4,-5,-37,35,-29,13,13
-8,4,-12,-41,24,4,-18,-42
-27,7,-24,-36,-26,27,19,7
-26,-10,-31,-37,22,-,-16,-34
-41,16,-46,-41,-46,,-5,-26
-41,-9,-40,-31,1,26,-19,12
4,-29,-46,-42,,-31,-18,-19
-40,-26,-38,-30,-54,24,-39,27
-50,-43,-34,-,-27,-47,12,
-36,-36,-37,35,-4,15,-31,2
-42,-43,-34,-37,-32,-51,19,25
-30,-34,-35,-26,12,-1,-3,19
-37,-47,-34,-32,-31,-25,24,37
-23,-35,-31,-20,33,10,12,40
-34,-32,-29,-28,13,-25,32,31
-30,-36,-27,-11,20,19,38,57
-36,-29,-32,-14,13,4,29,36
-26,-38,0,3,43,17,77,76
-34,-26,-6,3,10,45,42,43
-28,-33,-7,3,51,-8,32,67
-23,-28,-7,16,26,57,32,61
-18,-23,1,15,62,48,72,63
-8,-38,1,31,45,13,72,79
-11,-19,1,29,64,59,,45
10,-25,1,36,56,25,45,106
2,-21,10,41,62,58,35,51
16,-8,23,41,89,44,95,97
19,-13,19,50,44,23,40,98
16,4,22,37,62,84,66,46
42,12,33,45,86,59,79,94
42,1,35,45,56,54,62,59
39,27,43,39,97,72,101,60
51,20,46,41,101,58,56,62
41,31,40,34,55,95,53,29
50,45,53,23,94,54,92,70
55,42,40,25,66,98,42,31
37,59,40,17,66,62,74,16
4,42,45,22,,,55,64
8,-41,20,0,70,370,54,
28,56,34,15,43,61,50,3
28,39,14,12,79,65,44,39
29,48,18,13,23,67,44,35
23,26,5,2,70,46,21,16
22,32,17,12,67,60,44,50
14,20,10,9,11,31,17,-5
17,7,14,13,59,74,45,50
16,23,11,12,6,12,-2,-1
9,10,16,10,56,62,45,34
19,17,14,12,2,66,3,0
15,19,13,5,48,-5,41,21
19,13,16,10,7,64,23,8
13,22,4,-2,32,-9,2,2
16,14,11,5,16,24,26,24
6,12,10,-4,17,36,-7,-21
9,14,1,-4,16,0,27,16
7,14,6,-4,-22,40,,-14
9,12,23,-4,42,9,0,16
6,13,0,3,-24,24,-21,4
2,8,1,-3,-10,5,21,-20
8,12,5,0,29,48,-15,35
8,12,2,-16,-17,48,6,-21
11,10,11,-28,32,25,18,-10
8,2,7,-26,-2,-20,-8,17
3,11,-6,-43,-22,35,18,-29
-6,3,-9,-38,36,-24,-2,9
-16,12,-18,-39,-31,47,-18,-27
-30,-6,-26,-47,-8,-32,24,-8
0,-7,-39,-36,,39,-31,-17
-29,-24,-44,-40,8,-39,7,-12
-47,375,-43,-36,-32,,-38,1
-46,-28,-41,-39,8,26,0,-24
-42,-40,-38,-34,-40,-38,-29,27
-50,-43,-38,,-9,5,-2,
-38,-42,-36,-34,-26,-35,-12,-7
-43,-43,-30,-30,-13,-3,32,34
-32,-35,-33,-26,-2,-19,15,13
-39,-42,-37,-31,-16,-8,2,17
-30,-27,-29,-19,25,-2,33,55
-33,-42,-33,-25,-10,-4,10,15
-26,-26,-25,-13,39,24,55,67
-32,-34,-31,-11,-7,-9,11,26
-23,-32,-15,-3,54,34,68,79
-35,-32,-19,2,4,7,21,34
-21,-39,-16,9,60,-3,56,79
-21,-25,-1,16,45,58,57,81
0,-29,-1,11,75,29,52,42
11,-36,8,31,75,30,87,97
11,-20,0,32,75,47,,45
11,-28,8,42,75,34,37,110
6,-13,8,40,44,73,46,46
0,-9,17,36,47,29,84,72
19,-14,25,47,84,34,50,82
23,10,28,39,57,80,86,53
18,-1,43,43,75,34,99,92
38,7,37,41,99,74,51,45
38,26,48,37,53,54,107,71
44,22,43,38,101,77,46,80
43,44,38,33,52,73,69,28
37,41,56,28,61,48,77,74
55,47,40,26,88,108,53,54
40,55,42,15,46,4,88,21
38,6,40,23,,,36,58
,46,29,10,0,100,70,11
46,53,30,13,44,42,35,51
36,39,15,,27,88,50,
33,46,25,9,83,38,32,15
17,25,5,9,15,72,33,33
17,33,17,16,46,35,38,53
26,15,7,6,43,53,13,-4
11,33,17,16,27,38,40,45
22,23,11,9,48,1,7,-2
8,9,18,15,9,74,43,38
21,16,11,10,55,43,3,-7
13,12,10,8,-2,12,27,25
22,11,15,6,54,48,8,-1
17,19,5,0,-6,0,22,9
15,10,8,6,51,45,34,25
11,14,6,-5,-12,-9,-11,-24
9,11,0,-1,40,18,8,22
9,16,6,-6,-5,49,,-23
6,14,-40,1,29,-8,0,27
12,16,3,2,39,43,-17,-10
3,16,-2,-5,-27,44,18,-14
9,10,6,1,40,-18,-10,34
9,12,2,-21,6,48,16,-20
4,4,9,-30,9,-4,23,2
13,3,4,-28,46,5,-9,1
8,6,-4,-45,-23,12,8,-14
-4,3,-6,-40,-6,0,14,11
-5,10,-11,-40,27,44,-14,-36
-26,-2,-26,-39,-24,-28,16,-31
-31,-6,-28,-40,11,31,-16,2
-32,-19,-46,-40,-17,-,-2,2
-51,21,-40,-33,,,-19,
,-32,-47,-11,0,7,-19,0
-42,-33,-36,-41,-15,-15,-43,-24
-52,-36,-35,-31,-29,16,16,27
-36,-43,-35,-33,-4,-48,-30,11
-42,-37,-35,-38,-33,12,18,15
-29,-38,-35,-25,14,-35,-5,29
-38,-35,-33,-31,-32,5,26,29
-25,-31,-32,-18,32,-19,14,45
-32,-39,-29,-27,-19,-24,31,25
-27,-23,-27,-12,43,33,36,64
-32,-37,-30,-11,-9,-13,32,30
-28,-26,-16,1,49,44,54,78
-33,-25,-20,0,12,28,23,33
-30,-41,-8,0,49,10,74,57
-23,-22,-5,15,32,49,39,70
-20,-39,-5,15,55,12,36,51
-7,-31,12,31,49,48,,87
-11,-24,6,30,60,30,0,56
8,-24,9,42,61,53,53,101
1,-6,11,40,35,48,66,46
1,-12,24,41,57,22,91,88
24,1,22,48,74,86,44,70
20,12,22,40,45,64,67,43
28,0,41,44,95,51,87,96
41,28,34,49,57,76,52,72
36,26,43,37,56,43,98,46
51,26,47,39,103,96,59,72
42,46,40,26,52,56,54,31
39,40,52,21,,94,94,63
,58,40,24,0,67,41,37
53,6,39,15,70,,72,36
38,41,48,19,60,81,56,66
43,57,19,14,96,67,50,6
43,40,34,15,26,63,55,60
27,48,15,0,83,70,36,
34,30,22,14,72,42,50,45
13,31,5,7,18,65,17,7
24,22,14,15,71,28,48,45
14,20,10,7,8,64,10,7
15,33,16,12,66,17,45,33
14,6,14,13,-4,54,3,13
16,13,13,12,61,20,43,23
19,15,15,12,-2,-5,4,14
15,9,12,3,48,63,32,7
18,19,18,10,7,-8,27,20
11,14,5,-1,31,17,4,-8
11,14,4,7,12,41,32,25
7,17,10,-8,16,2,-2,-25
13,14,-2,1,51,36,17,23
5,13,,-5,-18,11,,-26
12,10,,-6,40,16,,6
4,10,7,5,-23,20,21,14
1,10,2,-9,-11,-20,-13,-2
9,11,-2,-1,29,46,18,33
5,4,5,-14,-16,-24,-13,-15
11,2,0,-26,30,-22,0,16
10,8,13,-40,-3,36,21,-20
3,4,10,-40,-21,-24,1,-20
-2,11,-8,-43,38,46,14,-41
-19,-3,-6,-43,-30,-34,24,-41
-24,-5,-19,-35,22,41,-19,0
-27,-22,-27,-36,8,,22,-35
-50,,-36,-42,-32,375,-29,-21
,-28,-47,-32,,25,7,8
-41,-37,-42,-39,7,-35,-38,-15
-48,-45,-44,-3,-48,4,-2,
-48,-44,-35,2,-7,-31,-26,24
-35,-44,-42,-33,-27,-8,-3,3
-44,-36,-35,-34,-10,-14,-11,24
-31,-44,-41,-25,-2,-14,-4,21
-40,-28,-33,-31,-16,2,19,39
-34,-37,-38,-18,-12,-11,2,36
-31,-26,-29,-28,35,28,34,36
-33,-33,-30,-9,0,-5,8,54
-36,-32,-25,-9,34,30,56,30
-22,-30,-31,-7,55,10,13,74
-36,-37,-16,3,5,-7,65,42
-21,-23,-15,5,63,59,37,69
-25,-39,-15,16,18,8,54,57
-13,-39,-2,13,72,26,60,36
-10,-19,-4,29,35,47,31,100
-3,-28,7,32,76,30,,43
5,-14,,38,46,73,0,109
-2,-9,12,42,42,31,74,45
22,-7,10,42,87,73,46,103
23,12,26,44,57,80,88,51
19,0,25,38,79,33,56,44
36,4,29,47,101,72,82,93
39,28,43,45,50,57,99,55
45,17,38,40,107,71,51,62
48,35,47,39,55,99,110,59
36,42,44,23,60,48,44,41
55,45,40,25,88,108,65,70
54,5,52,23,50,,78,24
38,5,47,17,,51,35,50
-46,42,41,,0,93,92,
47,56,39,21,47,49,36,68
38,37,29,11,26,81,65,4
32,48,32,11,84,48,40,35
37,22,14,11,45,63,47,29
21,36,24,9,48,44,35,19
26,16,7,11,48,46,23,36
8,8,22,8,22,74,49,10
20,24,6,15,51,8,9,39
12,7,7,8,3,63,35,3
20,17,14,15,63,48,11,28
12,15,11,10,-8,9,30,10
21,5,18,6,58,52,24,11
18,16,9,8,-9,9,19,14
14,7,16,-1,56,32,16,-5
10,11,9,3,-14,48,-4,19
8,19,9,-8,39,-1,32,-21
9,13,14,1,-4,44,17,21
6,15,-2,-7,26,38,2,-19
11,14,8,-4,42,-8,11,19
2,16,5,3,-28,47,-12,-1
9,13,-6,-9,38,-20,,13
10,11,6,0,8,23,0,35
6,9,8,-16,7,7,-3,-23
14,6,3,-23,45,-35,-8,26
6,4,3,-33,-22,43,-8,-29
-5,5,-7,-44,31,-30,-2,8
-3,8,-7,-37,27,43,-2,3
-24,1,-6,-46,-24,-19,22,-35
-26,-11,-9,-34,22,25,-11,4
-42,-17,-27,-38,-46,,16,-37
,-16,-30,-41,,,-15,-8
,-32,-48,-35,,3,-7,0
-41,-35,-35,-41,14,-6,-16,-4
-42,-49,-48,0,-15,-24,-20,
-52,-40,-34,-33,-27,-3,-8,27
-35,-44,-42,-35,-5,-34,-25,-6
-43,-35,-31,-28,-34,9,9,34
-26,-41,-40,-27,13,-35,-24,15
-37,-37,-33,-26,-32,1,31,48
-25,-32,-36,-21,34,-9,-15,25
-31,-38,-29,-24,-21,4,43,48
-25,-25,-31,-8,45,32,0,45
-38,-39,-27,-13,11,-12,60,53
-28,-28,-30,5,51,41,10,60
-34,-35,-20,2,11,0,63,33
-28,-40,-14,11,48,4,57,82
-24,-22,-20,13,33,55,35,45
-21,-39,-2,23,57,9,76,86
-8,-32,-4,32,49,41,40,55
-11,-22,2,30,57,35,69,49
11,-23,12,43,63,48,87,105
0,-9,10,38,39,78,35,48
15,-12,11,45,87,22,,104
24,-13,5,49,75,48,0,74
16,13,26,37,57,64,72,62
27,0,22,48,92,47,43,83
42,26,36,36,58,77,97,39
37,25,39,33,94,43,54,77
51,26,35,39,103,89,59,43
40,47,47,19,49,60,101,53
,41,40,31,,89,45,74
52,62,44,20,99,,87,14
56,7,53,20,72,375,59,65
36,41,38,23,62,74,69,56
49,57,45,9,72,72,93,11
30,39,35,,39,56,23,
27,49,40,15,85,79,80,58
30,29,25,8,19,37,23,13
23,31,14,10,74,70,59,34
23,21,18,10,19,22,19,17
17,14,9,10,1,67,34,23
15,33,18,14,70,28,36,26
15,10,6,8,-5,44,19,8
