x 2 fases 1 ,x desnível 5 ,i 2 fases 1,i desnível 5,x 2 Fases 2,i 2 Fases 2
2,-8,53,3,-9,187
-5,-4,150,74,8,43
1,-6,254,122,-2,0
5,-9,324,166,12,0
2,1,385,245,7,0
6,-9,410,308,4,0
5,-1,457,360,11,0
8,-7,512,377,1,0
8,-8,557,382,5,0
5,1,543,375,1,0
9,-11,472,372,-7,
0,1,393,344,25,
0,-8,341,258,-5,0
1,0,288,195,0,0
-8,-7,163,115,-8,0
-1,-9,30,43,-7,0
-10,0,0,0,-4,0
-3,-6,0,0,-8,0
-8,0,0,0,8,0
3,-3,0,0,5,0
2,-3,0,0,4,67
6,0,0,0,8,170
15,-4,0,0,4,266
-1,-4,0,0,12,339
11,-1,0,0,6,397
9,-5,0,0,10,426
-1,0,0,0,1,481
10,-3,0,,-2,535
-8,3,0,,0,556
-8,-2,0,0,-9,506
-1,-2,0,0,0,444
-11,-4,0,0,-7,372
-8,-1,26,0,2,325
-5,-3,136,10,-2,266
-9,0,244,80,4,106
1,-4,312,129,11,0
-5,-2,382,190,6,0
-3,-3,411,267,9,0
11,-3,471,334,10,0
-2,-1,526,368,5,0
14,-3,567,379,9,0
0,1,529,381,2,
13,-6,464,374,19,
-5,0,377,365,0,0
1,-6,336,304,-1,0
3,-2,280,222,-4,0
-9,-4,162,149,-5,0
0,-5,22,68,-4,0
-10,-3,0,4,-5,0
2,-8,0,0,-6,0
4,1,0,0,-5,0
-5,0,0,0,1,0
11,-6,0,0,-1,0
0,0,0,0,2,38
11,-7,0,0,9,136
10,-4,0,0,1,240
5,2,0,0,9,306
13,-9,0,0,2,377
1,0,0,0,10,410
4,-3,0,0,3,466
5,,0,,-2,532
0,-8,0,0,0,568
-3,-2,0,0,-9,536
0,-7,0,0,-2,471
-6,-4,0,0,-9,399
-6,1,15,0,-9,340
2,-10,121,36,0,283
-5,1,221,100,-4,175
2,-10,297,149,8,32
6,0,366,210,2,0
1,-1,404,288,9,0
8,-9,495,349,13,0
6,2,541,373,2,0
8,-10,550,382,12,0
9,2,500,377,9,
4,-10,425,369,1,
8,2,362,355,0,0
9,-8,313,290,6,0
-1,-8,240,218,-3,0
2,0,89,151,-9,0
-4,-10,0,64,0,0
-5,1,0,0,-3,0
-6,-2,0,0,-11,0
-8,-5,0,0,4,0
0,-2,0,0,-6,0
-8,-6,0,0,3,0
4,0,0,0,9,0
2,-4,0,0,-2,63
-3,-7,0,0,17,172
12,2,0,0,3,268
1,-3,0,0,14,337
6,-2,0,0,0,398
7,-2,0,0,2,424
-6,-4,0,0,7,474
6,0,0,0,-6,535
-7,,0,,6,559
-9,-4,0,0,-3,516
-2,0,39,0,-6,447
-8,-2,157,0,1,384
-9,-4,247,57,-7,332
-4,0,318,109,3,268
-10,-4,386,169,0,127
4,-1,41,246,6,4
3,-4,474,326,4,0
-1,-2,537,366,8,0
11,-2,568,378,9,0
3,-3,516,384,6,0
10,-3,449,376,4,0
8,-3,365,374,4,0
4,-3,325,328,3,0
5,-5,257,235,-2,0
1,0,114,175,0,
-1,-6,0,91,,
0,-2,0,20,-3,0
-9,-6,0,0,-5,0
-6,-4,0,0,-5,0
-3,1,0,0,-6,0
-5,-7,0,0,-3,0
3,0,0,0,-6,0
-3,-5,0,0,2,0
12,-5,0,0,0,0
5,0,0,0,1,61
12,-7,0,0,10,171
10,-3,0,0,4,264
4,0,0,,9,327
13,,0,,6,391
2,-9,0,0,3,421
2,1,0,0,-3,482
4,-4,0,0,-2,546
-1,-7,0,0,-4,569
-5,-3,79,0,-8,509
2,-9,186,29,-5,445
-8,-1,279,97,-10,367
0,-8,392,137,-5,316
1,-9,421,190,-2,232
-5,0,473,276,-1,74
6,-8,528,333,8,0
8,0,560,367,0,0
2,-2,519,379,12,0
8,-8,457,381,7,0
7,0,381,374,1,0
8,-8,332,367,12,0
-56,0,257,329,,
6,-10,116,236,-5,0
9,0,0,182,1,0
-3,-1,0,99,4,0
-2,-6,0,31,-6,0
0,-2,0,0,-10,0
-8,-7,0,0,-1,0
-4,0,0,0,-11,0
-8,-4,0,0,4,0
