normal,2fase,desb,inc,i normal,i 2 fase,i desb ,i inc
8,10,16,-10,0,68,70,344
11,6,12,-4,0,174,0,368
-6,8,15,-7,0,264,0,378
3,9,20,-4,0,341,0,378
4,7,17,-3,0,391,0,373
-1,3,23,-10,0,430,0,355
1,0,14,-2,0,0,0,283
10,0,14,-8,0,0,0,202
-5,3,9,-1,0,473,0,128
-5,0,2,-8,0,528,0,0
9,-7,13,2,0,559,0,0
-5,-4,2,-5,0,516,0,0
4,-7,1,-4,0,441,0,0
0,-4,14,-10,37,378,0,0
-7,-5,-2,2,218,321,0,0
0,-8,5,-2,238,257,0,0
10,4,12,-9,258,122,0,0
10,-2,5,1,297,0,18,0
-8,14,9,-5,350,0,90,0
5,-1,-10,-2,366,0,139,0
2,6,-15,3,374,0,202,0
-6,10,-28,-12,372,0,289,0
9,-5,-37,-6,368,0,346,0
-16,11,-44,-1,349,0,3,0
3,-8,68,-7,279,0,0,0
-8,-1,-53,0,214,0,375,0
8,1,-44,-6,137,0,368,0
6,-15,-32,-1,68,0,364,0
-6,-8,-37,0,0,0,295,26
8,-2,-37,-7,0,0,213,93
-4,-12,-33,0,0,0,128,128
4,2,-35,-3,0,0,60,194
8,-6,-33,-4,0,0,0,271
-7,-7,-38,0,0,0,0,339
8,13,-25,-6,0,82,0,366
0,-4,-36,0,0,186,0,376
-2,14,-37,-6,0,276,0,374
7,2,-24,-1,0,0,0,367
-7,33,-29,-2,0,0,0,363
0,12,-10,-2,0,396,0,297
7,-3,-14,-2,0,440,0,212
7,2,-11,-3,0,488,0,144
-9,4,0,-3,0,547,0,0
1,-9,-7,0,0,553,0,0
0,1,14,-1,0,504,0,0
-9,-2,15,-4,0,420,0,0
8,-11,12,-2,3,360,0,0
5,5,26,0,68,306,0,0
-6,-6,33,-3,120,233,0,0
8,10,43,1,164,88,58,0
-9,-1,48,-4,234,0,109,0
10,7,46,-5,313,0,169,0
-9,10,54,0,354,0,238,0
1,6,45,-6,369,0,319,0
2,13,51,-2,378,0,361,0
-3,1,41,-5,375,0,0,0
5,8,0,-8,373,0,0,0
-7,6,37,3,339,0,378,0
7,2,30,-3,267,0,372,0
-6,-2,17,-7,204,0,369,0
5,2,23,0,129,0,330,3
-2,-6,10,-9,53,0,246,80
1,-6,11,-2,0,0,182,126
11,2,15,-7,0,0,99,181
-7,-5,20,-2,0,0,21,258
11,1,13,-8,0,0,0,322
7,5,19,-5,0,0,0,365
-2,2,18,-2,0,0,0,375
8,6,15,-9,0,53,0,379
-2,5,20,0,0,150,0,373
-4,8,12,-9,0,254,0,364
9,8,15,-2,0,324,0,307
-5,5,8,-6,0,385,0,232
0,9,6,-5,0,410,0,163
1,0,14,-4,0,0,0,0
3,0,0,87,0,457,0,0
-6,0,3,-10,0,512,0,14
10,1,11,0,0,557,0,0
6,-8,0,-8,0,543,0,0
-3,-1,9,-9,0,472,0,0
10,-10,9,-1,20,393,0,0
-3,-3,1,-9,84,341,45,0
5,-8,9,1,126,288,109,0
2,3,-14,-2,173,163,160,0
-7,2,-14,-8,252,30,234,0
11,6,-31,1,321,0,318,0
-6,15,-33,-8,361,0,360,0
10,-1,-45,-8,372,0,0,0
-3,11,33,1,378,0,0,0
5,9,-37,-6,369,0,375,0
-2,-1,-46,-3,365,0,365,0
2,10,-30,-3,322,0,346,0
10,-8,-42,-9,244,0,259,0
-9,-8,-35,0,174,0,186,5
9,-1,-36,-3,97,0,98,76
-9,-11,-29,-6,26,0,34,120
9,-8,-34,-2,0,0,0,183
-5,-5,-31,-6,0,0,0,261
-7,-9,-25,0,0,0,0,320
6,1,-36,-6,0,0,0,366
-2,-5,-30,0,0,0,0,374
3,-3,-26,-2,0,26,0,378
10,11,-26,-3,0,136,0,372
-6,-2,-11,-3,0,244,0,366
7,14,-16,-3,0,312,0,312
3,0,-2,-4,0,382,0,225
-7,13,-3,-3,0,411,0,153
0,0,-8,-2,0,0,0,0
6,0,17,1,0,0,0,0
-5,-5,14,-3,0,471,0,6
1,1,17,-1,0,526,0,0
7,3,37,-3,0,567,0,0
-11,-9,28,0,0,529,15,0
-4,0,48,-3,0,464,86,0
5,-10,44,-3,58,377,128,0
-9,2,50,-2,113,336,198,0
8,4,51,-3,158,280,272,0
-7,-5,40,-1,219,162,339,0
7,11,53,-4,298,22,363,0
-3,0,36,-6,346,0,375,0
1,11,20,2,368,0,370,0
10,10,0,-6,376,0,0,0
-9,5,0,-6,374,0,0,0
10,13,20,1,373,0,369,0
-8,1,33,-8,342,0,348,0
7,4,17,-2,272,0,277,0
-6,5,17,-7,208,0,208,52
5,0,14,-8,135,0,136,113
-1,-3,12,3,65,0,55,157
-8,0,17,-9,0,0,0,235
11,-6,17,1,0,0,0,306
-6,-6,20,-8,0,0,0,363
0,2,17,0,0,0,0,375
8,-5,20,-8,0,0,0,379
-5,2,9,-3,0,0,0,377
8,6,11,-6,0,0,0,369
9,1,12,-5,0,15,0,329
-3,8,4,-3,0,121,0,258
5,6,11,-9,0,221,0,180
2,8,3,-1,0,297,0,10
-7,9,9,5,0,366,0,0
9,4,13,-8,0,404,0,29
4,8,-1,-2,0,0,0,0
0,9,1,-7,0,0,0,0
-1,-1,14,-11,0,495,0,0
5,2,3,2,0,541,42,0
-4,-4,9,-3,0,550,108,0
6,-5,-7,-7,8,500,154,0
-2,-6,-17,-1,65,425,228,0
-3,-8,-26,-8,115,362,309,0
11,0,-39,-1,169,313,357,0
-6,-8,-48,1,238,240,373,0
11,4,-39,-10,316,89,375,0
-5,2,-40,-4,356,0,0,0
9,-3,8,-4,368,0,0,0
7,12,-33,-6,376,0,356,0
-4,1,-36,0,372,0,277,0
9,6,-40,-7,368,0,199,0
-6,7,-35,0,340,0,117,0
8,-6,-38,-1,264,0,45,51
0,6,-32,-8,207,0,0,106
0,-7,-37,0,133,0,0,156
3,-9,-27,-2,63,0,0,229
-3,-2,-34,-3,0,0,0,305
9,-8,-35,-1,0,0,0,363
-6,-9,-24,-5,0,0,0,374
-5,-4,-29,0,0,0,0,378
9,-10,-12,-5,0,0,0,375
-2,4,-11,-2,0,0,0,370
4,3,-12,-5,0,0,0,331
7,-1,1,-2,0,39,0,254
-7,11,-7,-3,0,157,0,174
-1,3,12,-3,0,247,0,11
3,10,17,2,0,318,0,0
-5,8,12,-4,0,386,0,28
6,4,24,-1,0,41,0,0
-7,5,32,-3,0,0,0,0
0,1,41,-2,0,474,70,0
-9,-1,50,-1,0,537,115,0
8,0,42,-4,0,568,171,0
-1,-9,54,-4,0,516,256,0
-2,-6,45,-4,0,449,365,0
10,-3,33,2,66,365,370,0
-9,-5,33,-2,116,325,375,0
10,3,37,-6,166,257,377,0
-8,-3,31,1,237,114,0,0
8,12,0,-6,314,0,370,0
-6,5,15,-7,351,0,366,0
4,12,26,2,370,0,312,0
10,10,10,-5,378,0,229,0
-10,4,11,-5,374,0,160,0
10,13,8,3,369,0,77,30
-10,2,18,-8,319,0,0,103
9,2,17,0,246,0,0,142
-7,4,18,-9,177,0,0,218
5,-1,20,0,104,0,0,290
-3,-5,18,-8,30,0,0,344
4,2,20,-4,0,0,0,369
12,-8,11,-5,0,0,0,379
-7,0,13,-9,0,0,0,376
10,1,5,1,0,0,0,373
5,-5,7,-9,0,0,0,349
-2,6,8,-1,0,0,0,273
8,8,1,-7,0,0,0,196
-2,2,12,-4,0,79,0,123
4,8,10,-6,0,186,0,51
8,7,0,-6,0,279,0,0
-6,8,17,1,0,0,0,0
3,-56,9,59,0,0,1,0
4,6,4,-9,0,392,64,0
0,9,9,-7,0,421,118,0
-7,-3,-11,-2,0,473,174,0
9,-2,-16,-10,0,528,253,0
4,0,-30,-2,0,560,331,0
-3,-8,-39,-5,0,519,364,0
8,-4,-45,-5,50,457,375,0
-3,-8,-36,2,102,381,375,0
7,-5,0,-10,149,332,0,0
0,-2,0,1,204,257,0,0
5,1,-41,-1,282,116,364,0
11,5,-30,-8,341,0,337,0
-7,-1,-40,0,366,0,247,0
9,14,-35,-5,374,0,172,0
-4,3,-38,-3,374,0,86,0
7,2,-34,1,368,0,19,49
-3,10,-35,-7,354,0,0,106
4,-8,-38,0,288,0,0,153
-2,2,-27,-7,225,0,0,233
-8,0,-36,-6,159,0,0,307
9,-9,-35,0,79,0,0,360
-9,-3,-26,-7,6,0,0,370
-2,-2,-27,0,0,0,0,379
5,-13,-11,-8,0,0,0,374
-8,0,-15,-1,0,0,0,369
7,-2,-6,-1,0,0,0,349
-4,-11,-2,0,0,0,0,276
-8,4,-6,-3,0,0,0,192
7,0,16,-5,0,10,0,12
-1,-1,13,0,0,125,0,0
1,12,16,-2,0,228,0,37
8,4,30,-3,0,308,0,0
0,12,31,-2,0,374,21,0
9,-2,47,-3,0,41,90,0
6,4,46,-3,0,0,135,0
4,8,49,-2,0,460,210,0
-6,-5,52,-2,0,530,282,0
5,-2,44,-2,0,560,346,0
-3,-5,52,-8,0,522,365,0
0,-8,39,0,0,458,375,0
9,-1,38,-7,57,378,0,0
-10,-8,0,-4,114,324,0,0
9,3,27,-7,161,272,370,0
-8,-2,16,-8,224,134,346,0
-6,9,14,-5,297,12,282,0
7,12,15,-1,345,0,207,0
-8,4,10,-6,365,0,145,0
11,13,13,0,376,0,62,9
-11,12,19,-8,372,0,0,87
10,6,14,-3,369,0,0,128
6,7,18,-6,244,0,0,183
6,1,17,-8,229,0,0,267
-9,0,19,2,199,0,0,329
-7,7,16,-8,126,0,0,368
